class_id,side,example
aca_0,unsolved,18_6
aca_1,unsolved,15_12
aca_10,unsolved,15_3
aca_100,unsolved,25_10
aca_101,unsolved,25_11
aca_102,unsolved,25_12
aca_103,unsolved,25_13
aca_104,unsolved,25_14
aca_105,unsolved,25_15
aca_106,unsolved,25_16
aca_107,unsolved,25_17
aca_108,unsolved,25_18
aca_109,unsolved,25_19
aca_11,unsolved,15_4
aca_110,unsolved,25_2
aca_111,unsolved,25_20
aca_112,unsolved,25_29
aca_113,unsolved,25_3
aca_114,unsolved,25_31
aca_115,unsolved,13_1
aca_116,unsolved,14_1
aca_117,unsolved,14_2
aca_118,unsolved,15_1
aca_119,unsolved,16_1
aca_12,unsolved,15_5
aca_120,unsolved,16_2
aca_121,unsolved,16_3
aca_122,unsolved,18_2
aca_123,unsolved,20_2
aca_13,unsolved,16_4
aca_14,unsolved,16_7
aca_15,unsolved,17_10
aca_16,unsolved,17_11
aca_17,unsolved,17_12
aca_18,unsolved,17_13
aca_19,unsolved,17_14
aca_2,unsolved,17_41
aca_20,unsolved,17_15
aca_21,unsolved,17_16
aca_22,unsolved,17_17
aca_23,unsolved,17_19
aca_24,unsolved,17_2
aca_25,unsolved,17_26
aca_26,unsolved,17_27
aca_27,unsolved,17_28
aca_28,unsolved,17_29
aca_29,unsolved,17_30
aca_3,unsolved,17_1
aca_30,unsolved,17_31
aca_31,unsolved,17_34
aca_32,unsolved,17_37
aca_33,unsolved,17_38
aca_34,unsolved,18_1
aca_35,unsolved,18_10
aca_36,unsolved,18_4
aca_37,unsolved,19_1
aca_38,unsolved,19_10
aca_39,unsolved,19_11
aca_4,unsolved,18_11
aca_40,unsolved,19_12
aca_41,unsolved,19_13
aca_42,unsolved,19_14
aca_43,unsolved,19_15
aca_44,unsolved,19_16
aca_45,unsolved,19_17
aca_46,unsolved,19_18
aca_47,unsolved,19_19
aca_48,unsolved,19_2
aca_49,unsolved,19_20
aca_5,unsolved,19_40
aca_50,unsolved,19_29
aca_51,unsolved,19_3
aca_52,unsolved,19_31
aca_53,unsolved,19_33
aca_54,unsolved,19_35
aca_55,unsolved,19_39
aca_56,unsolved,19_44
aca_57,unsolved,19_45
aca_58,unsolved,20_1
aca_59,unsolved,20_10
aca_6,unsolved,19_43
aca_60,unsolved,20_4
aca_61,unsolved,20_5
aca_62,unsolved,21_10
aca_63,unsolved,21_11
aca_64,unsolved,21_12
aca_65,unsolved,21_13
aca_66,unsolved,21_14
aca_67,unsolved,21_15
aca_68,unsolved,21_16
aca_69,unsolved,21_17
aca_7,unsolved,16_10
aca_70,unsolved,21_18
aca_71,unsolved,21_19
aca_72,unsolved,21_2
aca_73,unsolved,21_27
aca_74,unsolved,21_28
aca_75,unsolved,21_29
aca_76,unsolved,21_30
aca_77,unsolved,21_31
aca_78,unsolved,21_35
aca_79,unsolved,21_39
aca_8,unsolved,15_10
aca_80,unsolved,21_40
aca_81,unsolved,22_1
aca_82,unsolved,22_10
aca_83,unsolved,22_11
aca_84,unsolved,22_12
aca_85,unsolved,22_2
aca_86,unsolved,22_8
aca_87,unsolved,23_1
aca_88,unsolved,23_10
aca_89,unsolved,23_11
aca_9,unsolved,15_2
aca_90,unsolved,23_12
aca_91,unsolved,23_14
aca_92,unsolved,23_15
aca_93,unsolved,23_16
aca_94,unsolved,23_17
aca_95,unsolved,23_19
aca_96,unsolved,23_20
aca_97,unsolved,24_1
aca_98,unsolved,24_2
aca_99,unsolved,25_1
sol_000,solved,XXYxxy@1
sol_001,solved,Y@1
sol_002,solved,Y@2
sol_003,solved,Y@3
sol_004,solved,Y@4
sol_005,solved,Y@5
sol_006,solved,Y@6
sol_007,solved,Y@7
sol_008,solved,XYxY@2
sol_009,solved,XYxy@3
sol_010,solved,XYxy@4
sol_011,solved,XYxy@5
sol_012,solved,XYxy@6
sol_013,solved,XYxy@7
sol_014,solved,XYxY@1
sol_015,solved,XYxy@1
sol_016,solved,XYxYY@1
sol_017,solved,XYxyy@1
sol_018,solved,XYYxY@1
sol_019,solved,XYYxy@1
sol_020,solved,XYxYY@2
sol_021,solved,XYxYY@3
sol_022,solved,XYYxY@4
sol_023,solved,XYYxY@3
sol_024,solved,XYYxY@2
sol_025,solved,XYxyy@5
sol_026,solved,XYxyy@3
sol_027,solved,XYYxy@4
sol_028,solved,XYxyy@2
sol_029,solved,XYYxy@2
sol_030,solved,XYxYYY@1
sol_031,solved,XYxyyy@1
sol_032,solved,XYYxYY@1
sol_033,solved,XYYxyy@1
sol_034,solved,XYYYxY@1
sol_035,solved,XYYYxy@1
sol_036,solved,XYxYYY@5
sol_037,solved,XYYYxY@6
sol_038,solved,XYxYYY@3
sol_039,solved,XYYYxY@4
sol_040,solved,XYxYYY@2
sol_041,solved,XYYYxY@3
sol_042,solved,XYYYxY@2
sol_043,solved,XYxyyy@5
sol_044,solved,XYYYxy@6
sol_045,solved,XYxyyy@2
sol_046,solved,XYYYxy@3
sol_047,solved,XYYYxy@2
sol_048,solved,XYYxYY@3
sol_049,solved,XYYxYY@4
sol_050,solved,XYYxYY@2
sol_051,solved,XYYxyy@7
sol_052,solved,XYYxyy@6
sol_053,solved,XYYxyy@5
sol_054,solved,XYYxyy@4
sol_055,solved,XYYxyy@3
sol_056,solved,XYYxyy@2
sol_057,solved,XYxYYYY@2
sol_058,solved,XYxyyyy@2
sol_059,solved,XYYxYYY@2
sol_060,solved,XYYxyyy@2
