from_class,from_side,parent_r1,parent_r2,z,iso_gen,iso_index,n_subs,out_r1,out_r2,to_orbit_id,to_rep_r1,to_rep_r2,to_mu,category
sol_000,solved,YXXyx,YYYXyyx,Xy,x,1,2,XXXXyxyXYxxx,YXXXyxx,orb_0029,YXXYx,YYYXyyx,12,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,Xy,y,0,2,XYYYxyXyxx,YXXyx,orb_0049,YXXYx,YYYXYxyX,13,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,xy,x,1,2,YXXYxyxx,YXXyxxx,orb_0078,YYXXYx,YYYXyyx,13,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,xy,y,0,2,xYYXYxyy,YxxyX,orb_0060,YXXyx,YYXYxyyx,13,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,yX,x,1,2,YxxyyX,YxxxyXX,orb_0083,YYXXyx,YXXXyxx,13,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,yX,y,0,2,YYXXYXyxxy,YxxyX,orb_0024,YXXyx,YYXyxx,11,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,yx,x,1,2,xxYxxYXy,YxxyXXX,orb_0083,YYXXyx,YXXXyxx,13,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,yx,y,0,2,YxxYxxYXyy,YXXyx,orb_0024,YXXyx,YYXyxx,11,solved_to_solved
sol_000,solved,YXXyx,YYYXyyx,yy,y,1,2,yXYXXyxYx,YXyxYXyxY,orb_0372,YYXYxyXyx,YXyxYXXyx,18,
sol_000,solved,YXXyx,YYYXyyx,yxY,x,1,2,yxxYxYX,YxxyXXX,orb_0083,YYXXyx,YXXXyxx,13,solved_to_solved
sol_002,solved,X,YYYXyyx,yy,y,1,2,X,YXyxYXyxY,orb_0010,X,YYXyxYXyx,10,
sol_003,solved,X,YYYYXyyyx,yy,y,1,3,X,YYxyyXYxyyX,orb_0027,X,YYXyyxYXyyx,12,
sol_003,solved,X,YYYYXyyyx,yyy,y,1,2,X,YXyxYXyxYXyxY,orb_0087,X,YYXyxYXyxYXyx,14,
sol_004,solved,X,YYYYYXyyyyx,yy,y,1,4,X,YXyyxYYXyyxYY,orb_0088,X,YYYXyyxYYXyyx,14,
sol_004,solved,X,YYYYYXyyyyx,yyyy,y,1,2,X,YXyxYXyxYXyxYXyxY,orb_0318,X,YYXyxYXyxYXyxYXyx,18,
sol_005,solved,X,YYYYYYXyyyyyx,yy,y,1,5,X,YYYxyyyXYYxyyyX,orb_0189,X,YYYXyyyxYYXyyyx,16,
sol_005,solved,X,YYYYYYXyyyyyx,yyyyy,y,1,2,X,YXyxYXyxYXyxYXyxYXyxY,orb_0654,X,YYXyxYXyxYXyxYXyxYXyx,22,
sol_006,solved,X,YYYYYYYXyyyyyyx,yy,y,1,6,X,YXyyyxYYYXyyyxYYY,orb_0319,X,YYYYXyyyxYYYXyyyx,18,
sol_006,solved,X,YYYYYYYXyyyyyyx,yyy,y,1,4,X,YXyyxYYXyyxYYXyyxYY,orb_0489,X,YYYXyyxYYXyyxYYXyyx,20,
sol_006,solved,X,YYYYYYYXyyyyyyx,yyyyyy,y,1,2,X,YXyxYXyxYXyxYXyxYXyxYXyxY,orb_0950,X,YYXyxYXyxYXyxYXyxYXyxYXyx,26,
sol_007,solved,X,YYYYYYYYXyyyyyyyx,yy,y,1,7,X,YYYYxyyyyXYYYxyyyyX,orb_0490,X,YYYYXyyyyxYYYXyyyyx,20,
sol_007,solved,X,YYYYYYYYXyyyyyyyx,yyyyyyy,y,1,2,X,YXyxYXyxYXyxYXyxYXyxYXyxYXyxY,orb_1133,X,YYXyxYXyxYXyxYXyxYXyxYXyxYXyx,30,
sol_008,solved,YXXYx,YYYXyyx,Xy,x,1,2,XXXXyXXyxY,YXXXyxx,orb_0134,YXXXyxx,YYXXXXyx,15,solved_to_solved
sol_008,solved,YXXYx,YYYXyyx,Xy,y,0,2,yxxyxxyxxyXXYx,YXXXY,orb_0050,YXXYx,YYYYXXyx,13,
sol_008,solved,YXXYx,YYYXyyx,xy,x,1,2,YXXYXyxx,YXXyxxx,orb_0083,YYXXyx,YXXXyxx,13,solved_to_solved
sol_008,solved,YXXYx,YYYXyyx,xy,y,0,2,xyyXYxYY,YxxYX,orb_0047,YXXYx,YYXYxyyX,13,
sol_008,solved,YXXYx,YYYXyyx,yX,x,1,2,YxxyyXXX,YxxxyXX,orb_0138,YXXXyxx,YYXXyxxx,15,solved_to_solved
sol_008,solved,YXXYx,YYYXyyx,yX,y,0,2,YxxyxxyXYXXYXX,YYXXX,orb_0048,YXXYx,YYYXXyyx,13,
sol_008,solved,YXXYx,YYYXyyx,yx,x,1,2,xxYXYxyXXX,YxxyXXX,orb_0037,YXXyx,YYYXyyx,12,solved_to_solved
sol_008,solved,YXXYx,YYYXyyx,yx,y,0,2,XyyyXYxy,YXYxx,orb_0049,YXXYx,YYYXYxyX,13,solved_to_solved
sol_008,solved,YXXYx,YYYXyyx,yy,y,1,2,yXYXyXYxx,YXyxYXyxY,orb_0374,YYXyxYXyx,YXyXYXyxx,18,
sol_009,solved,YXXyx,YYYYXyyyx,Xy,x,1,2,XXXXXyxxyXXYxxxx,YXXXXyxxx,orb_0176,YYXXYx,YYYYxyyyX,15,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,Xy,y,0,2,XYYYYxyXyyxx,YXXyx,orb_0150,YXXyXYx,YXyxxxyx,15,
sol_009,solved,YXXyx,YYYYXyyyx,xy,x,1,2,YXXXYxyxxx,YXXXyxxxx,orb_0213,YYXXXyX,YXXXXyxxx,16,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,xy,y,0,2,xYYYXYxyyy,YxxyX,orb_0157,YXXyx,YYYXYxyyyx,15,
sol_009,solved,YXXyx,YYYYXyyyx,yX,x,1,2,YxxxyyXX,YxxxxyXXX,orb_0298,YYXXXyxx,YXXXXyxxx,17,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,yX,y,0,2,YYXXYXXYXyxxyxxy,YxxyX,orb_0073,YXXyx,YYYXyyxx,13,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,yx,x,1,2,xxxYxxYXXy,YxxxyXXXX,orb_0298,YYXXXyxx,YXXXXyxxx,17,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,yx,y,0,2,YxxYxxYxxYXyXXyy,YXXyx,orb_0073,YXXyx,YYYXyyxx,13,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,yy,y,1,3,xYYXyXXYxyy,YYxyyXYxyyX,orb_0712,YYXYxxyXXyx,YXXyxYXXyxx,22,
sol_009,solved,YXXyx,YYYYXyyyx,yxY,x,1,2,yxxxYxYXX,YxxxyXXXX,orb_0298,YYXXXyxx,YXXXXyxxx,17,solved_to_solved
sol_009,solved,YXXyx,YYYYXyyyx,yyy,y,1,2,yXYXXyxYx,YXyxYXyxYXyxY,orb_0686,YXyXXYxyx,YYXyxYXyxYXyx,22,
sol_010,solved,YXXyx,YYYYYXyyyyx,Xy,x,1,2,XXXXXXyxxxyXXXYxxxxx,YXXXXXyxxxx,orb_0348,YYXXXyX,YXXXXyxxxxx,18,solved_to_solved
sol_010,solved,YXXyx,YYYYYXyyyyx,Xy,y,0,2,XYYYYYxyXyyyxx,YXXyx,orb_0227,YXXXyXYx,YXyxxxxyx,17,
