orbit_id,parent_class
orb_0000,sol_001
orb_0000,sol_014
orb_0000,sol_015
orb_0000,sol_016
orb_0000,sol_017
orb_0000,sol_030
orb_0000,sol_031
orb_0000,sol_032
orb_0000,sol_033
orb_0000,sol_068
orb_0000,sol_069
orb_0000,sol_072
orb_0000,sol_073
orb_0000,sol_087
orb_0001,sol_017
orb_0002,sol_002
orb_0002,sol_024
orb_0002,sol_029
orb_0002,sol_040
orb_0002,sol_045
orb_0002,sol_050
orb_0002,sol_056
orb_0002,sol_059
orb_0002,sol_060
orb_0003,sol_056
orb_0004,sol_029
orb_0005,sol_016
orb_0006,sol_060
orb_0007,sol_031
orb_0007,sol_045
orb_0007,sol_087
orb_0008,sol_014
orb_0009,sol_069
orb_0010,sol_002
orb_0010,sol_040
orb_0010,sol_059
orb_0010,sol_060
orb_0011,sol_003
orb_0011,sol_041
orb_0011,sol_046
orb_0011,sol_096
orb_0011,sol_099
orb_0011,sol_106
orb_0011,sol_112
orb_0012,sol_014
orb_0012,sol_015
orb_0012,sol_018
orb_0012,sol_019
orb_0012,sol_030
orb_0012,sol_032
orb_0012,sol_067
orb_0012,sol_072
orb_0012,sol_081
orb_0012,sol_082
orb_0012,sol_084
orb_0013,sol_014
orb_0013,sol_015
orb_0013,sol_019
orb_0013,sol_031
orb_0013,sol_033
orb_0013,sol_067
orb_0013,sol_071
orb_0013,sol_073
orb_0013,sol_082
orb_0013,sol_085
orb_0013,sol_087
orb_0014,sol_046
orb_0015,sol_040
orb_0016,sol_112
orb_0017,sol_016
orb_0017,sol_024
orb_0018,sol_069
orb_0018,sol_099
orb_0019,sol_068
orb_0020,sol_014
orb_0020,sol_019
orb_0020,sol_082
orb_0021,sol_016
orb_0021,sol_032
orb_0021,sol_068
orb_0022,sol_017
orb_0022,sol_033
orb_0022,sol_069
orb_0023,sol_018
orb_0023,sol_019
orb_0023,sol_030
orb_0023,sol_034
orb_0023,sol_035
orb_0023,sol_070
orb_0023,sol_074
orb_0023,sol_076
orb_0023,sol_077
orb_0023,sol_080
orb_0023,sol_081
orb_0023,sol_088
orb_0023,sol_089
orb_0024,sol_000
orb_0024,sol_014
orb_0024,sol_018
orb_0024,sol_019
orb_0024,sol_028
orb_0024,sol_035
orb_0024,sol_067
orb_0024,sol_071
orb_0024,sol_075
orb_0024,sol_076
orb_0024,sol_077
orb_0024,sol_081
orb_0024,sol_082
orb_0024,sol_083
orb_0025,sol_067
orb_0026,sol_060
orb_0027,sol_003
orb_0027,sol_106
orb_0027,sol_112
orb_0028,sol_004
orb_0028,sol_097
orb_0028,sol_100
orb_0029,sol_000
orb_0029,sol_008
orb_0029,sol_028
orb_0029,sol_042
orb_0029,sol_057
orb_0029,sol_058
orb_0029,sol_062
orb_0029,sol_067
orb_0030,sol_018
orb_0030,sol_030
orb_0030,sol_070
orb_0031,sol_031
orb_0031,sol_071
orb_0031,sol_087
orb_0032,sol_032
orb_0032,sol_068
orb_0032,sol_072
orb_0032,sol_084
orb_0033,sol_033
orb_0033,sol_073
orb_0033,sol_085
orb_0034,sol_034
orb_0034,sol_035
orb_0034,sol_070
orb_0034,sol_078
orb_0034,sol_079
orb_0034,sol_080
orb_0034,sol_086
orb_0035,sol_018
orb_0035,sol_034
orb_0035,sol_035
orb_0035,sol_079
orb_0035,sol_083
orb_0035,sol_088
orb_0036,sol_018
orb_0036,sol_076
orb_0036,sol_088
orb_0036,sol_089
orb_0037,sol_000
orb_0037,sol_008
orb_0037,sol_019
orb_0037,sol_020
orb_0037,sol_028
orb_0037,sol_047
orb_0037,sol_058
orb_0037,sol_067
orb_0037,sol_077
orb_0038,sol_081
orb_0039,sol_112
orb_0040,sol_100
orb_0041,sol_096
orb_0042,sol_059
orb_0043,sol_030
orb_0043,sol_041
orb_0044,sol_050
orb_0045,sol_084
orb_0046,sol_029
orb_0047,sol_008
orb_0047,sol_028
orb_0047,sol_067
orb_0048,sol_008
orb_0048,sol_062
orb_0049,sol_000
orb_0049,sol_008
orb_0049,sol_067
orb_0050,sol_008
orb_0050,sol_058
orb_0051,sol_032
orb_0051,sol_068
orb_0052,sol_069
orb_0053,sol_034
orb_0053,sol_070
orb_0053,sol_074
orb_0053,sol_086
orb_0054,sol_071
orb_0054,sol_075
orb_0054,sol_085
orb_0054,sol_087
orb_0055,sol_072
orb_0056,sol_073
orb_0057,sol_070
orb_0057,sol_074
orb_0058,sol_071
orb_0058,sol_075
orb_0059,sol_076
orb_0059,sol_089
orb_0060,sol_000
orb_0060,sol_020
orb_0060,sol_077
orb_0061,sol_078
orb_0061,sol_079
orb_0062,sol_034
orb_0062,sol_078
orb_0062,sol_079
orb_0063,sol_034
orb_0063,sol_080
orb_0064,sol_021
orb_0064,sol_075
orb_0064,sol_081
orb_0065,sol_082
orb_0066,sol_035
orb_0066,sol_074
orb_0066,sol_083
orb_0067,sol_084
orb_0068,sol_085
orb_0069,sol_086
orb_0070,sol_087
orb_0071,sol_088
orb_0071,sol_089
orb_0072,sol_078
orb_0072,sol_090
orb_0073,sol_009
orb_0073,sol_079
orb_0073,sol_086
orb_0073,sol_091
orb_0073,sol_111
orb_0074,aca_115
orb_0075,sol_018
orb_0075,sol_089
orb_0076,sol_076
orb_0077,sol_024
orb_0078,sol_000
orb_0078,sol_020
orb_0078,sol_028
orb_0078,sol_047
orb_0078,sol_061
orb_0078,sol_077
orb_0079,sol_020
orb_0079,sol_047
orb_0080,sol_024
orb_0080,sol_056
orb_0080,sol_063
orb_0081,sol_081
orb_0082,sol_076
orb_0082,sol_089
orb_0083,sol_000
orb_0083,sol_008
orb_0083,sol_019
orb_0083,sol_020
orb_0083,sol_028
orb_0083,sol_062
orb_0084,sol_029
orb_0084,sol_050
orb_0084,sol_064
orb_0085,sol_028
orb_0085,sol_082
orb_0086,sol_026
orb_0086,sol_055
orb_0087,sol_003
orb_0087,sol_096
orb_0088,sol_004
orb_0089,sol_005
orb_0090,sol_059
orb_0091,sol_064
orb_0092,sol_029
orb_0092,sol_050
orb_0092,sol_064
orb_0093,aca_115
orb_0094,sol_070
orb_0095,sol_072
orb_0096,sol_078
orb_0097,sol_074
orb_0097,sol_086
orb_0098,sol_075
orb_0098,sol_087
orb_0099,sol_090
orb_0100,sol_091
orb_0101,sol_045
orb_0101,sol_056
orb_0102,sol_078
orb_0103,sol_076
orb_0104,sol_077
orb_0105,sol_082
orb_0106,sol_083
orb_0107,sol_081
orb_0108,sol_080
orb_0109,sol_090
orb_0110,sol_091
orb_0111,sol_090
orb_0112,sol_091
orb_0113,sol_091
orb_0114,sol_090
orb_0115,sol_090
orb_0116,sol_009
orb_0116,sol_023
orb_0116,sol_038
orb_0116,sol_091
orb_0116,sol_101
orb_0116,sol_111
orb_0117,sol_040
orb_0117,sol_045
orb_0118,sol_042
orb_0118,sol_057
orb_0118,sol_062
orb_0118,sol_065
orb_0119,sol_038
orb_0120,sol_041
orb_0121,sol_088
orb_0121,sol_089
orb_0122,sol_040
orb_0122,sol_045
orb_0123,sol_020
orb_0123,sol_047
orb_0123,sol_061
orb_0123,sol_066
orb_0124,sol_046
orb_0125,sol_029
orb_0125,sol_050
orb_0125,sol_064
orb_0126,sol_024
orb_0126,sol_056
orb_0127,sol_026
orb_0128,aca_116
orb_0129,aca_117
orb_0130,sol_068
orb_0130,sol_097
orb_0131,sol_059
orb_0131,sol_106
orb_0132,sol_106
