category,from_class,from_side,to_class,to_side,z,iso_gen,iso_index,n_subs,out_r1,out_r2,to_rep_r1,to_rep_r2
solved_to_solved,sol_000,solved,sol_008,solved,Xy,x,1,2,XXXXyxyXYxxx,YXXXyxx,YXXYx,YYYXyyx
solved_to_solved,sol_000,solved,sol_067,solved,Xy,y,0,2,XYYYxyXyxx,YXXyx,YXXYx,YYYXYxyX
solved_to_solved,sol_000,solved,sol_020,solved,xy,x,1,2,YXXYxyxx,YXXyxxx,YYXXYx,YYYXyyx
solved_to_solved,sol_000,solved,sol_077,solved,xy,y,0,2,xYYXYxyy,YxxyX,YXXyx,YYXYxyyx
solved_to_solved,sol_000,solved,sol_028,solved,yX,x,1,2,YxxyyX,YxxxyXX,YYXXyx,YXXXyxx
solved_to_solved,sol_000,solved,sol_019,solved,yX,y,0,2,YYXXYXyxxy,YxxyX,YXXyx,YYXyxx
solved_to_solved,sol_000,solved,sol_028,solved,yx,x,1,2,xxYxxYXy,YxxyXXX,YYXXyx,YXXXyxx
solved_to_solved,sol_000,solved,sol_019,solved,yx,y,0,2,YxxYxxYXyy,YXXyx,YXXyx,YYXyxx
solved_to_solved,sol_000,solved,sol_028,solved,yxY,x,1,2,yxxYxYX,YxxyXXX,YYXXyx,YXXXyxx
solved_to_solved,sol_008,solved,sol_058,solved,Xy,x,1,2,XXXXyXXyxY,YXXXyxx,YXXXyxx,YYXXXXyx
solved_to_solved,sol_008,solved,sol_028,solved,xy,x,1,2,YXXYXyxx,YXXyxxx,YYXXyx,YXXXyxx
solved_to_solved,sol_008,solved,sol_062,solved,yX,x,1,2,YxxyyXXX,YxxxyXX,YXXXyxx,YYXXyxxx
solved_to_solved,sol_008,solved,sol_000,solved,yx,x,1,2,xxYXYxyXXX,YxxyXXX,YXXyx,YYYXyyx
solved_to_solved,sol_008,solved,sol_067,solved,yx,y,0,2,XyyyXYxy,YXYxx,YXXYx,YYYXYxyX
solved_to_solved,sol_009,solved,sol_023,solved,Xy,x,1,2,XXXXXyxxyXXYxxxx,YXXXXyxxx,YYXXYx,YYYYxyyyX
solved_to_solved,sol_009,solved,sol_038,solved,xy,x,1,2,YXXXYxyxxx,YXXXyxxxx,YYXXXyX,YXXXXyxxx
solved_to_solved,sol_009,solved,sol_111,solved,yX,x,1,2,YxxxyyXX,YxxxxyXXX,YYXXXyxx,YXXXXyxxx
solved_to_solved,sol_009,solved,sol_091,solved,yX,y,0,2,YYXXYXXYXyxxyxxy,YxxyX,YXXyx,YYYXyyxx
solved_to_solved,sol_009,solved,sol_111,solved,yx,x,1,2,xxxYxxYXXy,YxxxyXXXX,YYXXXyxx,YXXXXyxxx
solved_to_solved,sol_009,solved,sol_091,solved,yx,y,0,2,YxxYxxYxxYXyXXyy,YXXyx,YXXyx,YYYXyyxx
solved_to_solved,sol_009,solved,sol_111,solved,yxY,x,1,2,yxxxYxYXX,YxxxyXXXX,YYXXXyxx,YXXXXyxxx
solved_to_solved,sol_010,solved,sol_039,solved,Xy,x,1,2,XXXXXXyxxxyXXXYxxxxx,YXXXXXyxxxx,YYXXXyX,YXXXXyxxxxx
solved_to_solved,sol_010,solved,sol_094,solved,xy,x,1,2,YXXXXYxyxxxx,YXXXXyxxxxx,YYXXXXyX,YXXXXXyxxxx
solved_to_solved,sol_011,solved,sol_095,solved,Xy,x,1,2,XXXXXXXyxxxxyXXXXYxxxxxx,YXXXXXXyxxxxx,YYXXXXyX,YXXXXXyxxxxxx
solved_to_solved,sol_014,solved,sol_019,solved,Xy,y,1,2,XYYxyX,YXXyx,YXXyx,YYXyxx
solved_to_solved,sol_014,solved,sol_015,solved,xy,y,1,2,xYXYxyXX,YxxyX,YYXyx,YXXyx
solved_to_solved,sol_014,solved,sol_001,solved,yX,y,1,2,YXXYXXXy,YxxyX,X,YYXyx
solved_to_solved,sol_014,solved,sol_001,solved,yx,y,1,2,YYXy,YXXyx,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,Xy,x,0,2,XXXyxx,YXXyx,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,Xy,y,1,2,XYYxyx,YXXyx,X,YYXyx
solved_to_solved,sol_015,solved,sol_014,solved,xy,x,0,2,YXYxyx,YXyxx,YYXyX,YXXyx
solved_to_solved,sol_015,solved,sol_014,solved,xy,y,1,2,xYXYxy,YxxyX,YYXyX,YXXyx
solved_to_solved,sol_015,solved,sol_001,solved,yX,x,0,2,Yxyy,YxxyX,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,yX,y,1,2,YYXy,YxxyX,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,yx,x,0,2,xYxx,YxyXX,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,yx,y,1,2,YxxYxy,YXXyx,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,Xyx,x,1,2,XXy,YxYxyX,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,Xyx,y,1,2,YxYxy,YXXyx,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,yxY,x,0,2,yxYxY,YxyXX,X,YYXyx
solved_to_solved,sol_015,solved,sol_001,solved,yxY,y,0,2,yXX,YXyxYx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,Xy,y,0,2,XYX,YXXyx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,xx,x,0,2,XXYYx,YXyyx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,xy,y,0,2,xYXXX,YxxyX,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,yX,y,0,2,YXXYXXXXy,YxxyX,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,yx,y,0,2,YYXXy,YXXyx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,XXy,x,0,2,XXyXy,YXyXyx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,XXy,y,0,2,XYXX,YXXyx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,xxy,x,0,2,XYxYx,YXyXyx,X,YYXyx
solved_to_solved,sol_016,solved,sol_001,solved,xxy,y,0,2,xYXX,YxxyX,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,Xy,y,0,2,XYx,YXXyx,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,xx,x,0,2,X,YXyyx,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,xy,y,0,2,xYX,YxxyX,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,yX,y,0,2,YYXXy,YxxyX,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,yx,y,0,2,Yxx,YXXyx,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,XXy,x,0,2,X,YXyXyx,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,XXy,y,0,2,XY,YXXyx,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,Xyx,x,0,2,X,YxYxyX,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,Xyx,y,0,2,Yx,YXXyx,X,YYXyx
solved_to_solved,sol_017,solved,sol_001,solved,xxy,y,0,2,xY,YxxyX,X,YYXyx
solved_to_solved,sol_018,solved,sol_035,solved,Xy,y,0,2,XYYxyXX,YXXyx,YXXyx,YYXyxxx
solved_to_solved,sol_018,solved,sol_089,solved,xx,x,0,2,XXXYxxY,YXyyx,YXXyx,YYYXyyX
solved_to_solved,sol_018,solved,sol_019,solved,xy,y,0,2,xYXYxyXXX,YxxyX,YXXyx,YYXyxx
solved_to_solved,sol_018,solved,sol_030,solved,yX,y,0,2,YXXYXXXyX,YxxyX,YXXyx,YYXXXyX
solved_to_solved,sol_018,solved,sol_014,solved,yx,y,0,2,YYXyX,YXXyx,YYXyX,YXXyx
solved_to_solved,sol_019,solved,sol_014,solved,Xy,y,0,2,XYYxyxx,YXXyx,YYXyX,YXXyx
solved_to_solved,sol_019,solved,sol_000,solved,xx,x,0,2,XXXYxxy,YXyyx,YXXyx,YYYXyyx
solved_to_solved,sol_019,solved,sol_028,solved,xx,x,1,2,XYxxyXX,YxyXyXX,YYXXyx,YXXXyxx
solved_to_solved,sol_019,solved,sol_018,solved,xy,y,0,2,xYXYxyx,YxxyX,YXXyx,YYXyXX
solved_to_solved,sol_019,solved,sol_015,solved,yX,y,0,2,YYXyx,YxxyX,YYXyx,YXXyx
solved_to_solved,sol_019,solved,sol_014,solved,yx,y,0,2,YxxYxyx,YXXyx,YYXyX,YXXyx
solved_to_solved,sol_019,solved,sol_014,solved,Xyx,x,0,2,XXyyX,YxYxyX,YYXyX,YXXyx
solved_to_solved,sol_019,solved,sol_014,solved,Xyx,y,0,2,YxYxyx,YXXyx,YYXyX,YXXyx
solved_to_solved,sol_020,solved,sol_000,solved,xy,x,1,2,XYXXYXyxx,YXXyxxx,YXXyx,YYYXyyx
solved_to_solved,sol_020,solved,sol_047,solved,yX,x,1,2,YxyyXXX,YxxxyXX,YYXXXyx,YXXyxxx
solved_to_solved,sol_020,solved,sol_028,solved,yx,x,1,2,xYXYxyXXX,YxxyXXX,YYXXyx,YXXXyxx
solved_to_solved,sol_020,solved,sol_000,solved,xyy,x,1,2,YXYXyx,YXXyxxx,YXXyx,YYYXyyx
solved_to_solved,sol_020,solved,sol_077,solved,xyy,y,0,2,xyXYxYY,YxxYYX,YXXyx,YYXYxyyx
solved_to_solved,sol_020,solved,sol_047,solved,yyX,x,1,2,YxyXyXXX,YxxxyXX,YYXXXyx,YXXyxxx
solved_to_solved,sol_021,solved,sol_026,solved,xy,x,1,2,XYXXXYXyxxx,YXXXyxxxx,YYXXyx,YXXXXyxxx
solved_to_solved,sol_021,solved,sol_055,solved,yx,x,1,2,xxYXXYxxyXXXX,YxxxyXXXX,YYXXyxx,YXXXXyxxx
