orbit_id,kind,source_side,rep_r1,rep_r2,mu,n_parents,L,K,MK,S,xyimb
orb_0000,seed,solved,X,YYXyx,6,14,6.0,2.0,2.0,1.0,0.0
orb_0001,moved_cov,solved,X,YYXXyx,7,1,7.0,2.0,2.0,1.3333333333333333,0.14285714285714285
orb_0002,seed,solved,X,YYYXyyx,8,9,8.0,2.0,2.0,1.0,0.25
orb_0003,moved_cov,solved,X,YYXYXyyx,9,1,9.0,3.0,3.0,1.0,0.1111111111111111
orb_0004,moved_cov,solved,X,YYXYxyyX,9,1,9.0,3.0,3.0,1.0,0.1111111111111111
orb_0005,moved_cov,solved,X,YYXYxyyx,9,1,9.0,3.0,3.0,1.0,0.1111111111111111
orb_0006,moved_cov,solved,X,YYYXXyyx,9,1,9.0,2.0,2.0,1.3333333333333333,0.1111111111111111
orb_0007,moved_cov,solved,X,YYYXyXyx,9,3,9.0,3.0,3.0,1.0,0.1111111111111111
orb_0008,moved_cov,solved,X,YYYXyxyX,9,1,9.0,3.0,3.0,1.0,0.1111111111111111
orb_0009,moved_cov,solved,X,YYXYXyXyx,10,1,10.0,4.0,4.0,1.0,0.0
orb_0010,moved_cov,solved,X,YYXyxYXyx,10,4,10.0,4.0,4.0,1.0,0.0
orb_0011,seed,solved,X,YYYYXyyyx,10,7,10.0,2.0,2.0,1.0,0.4
orb_0012,seed,solved,YYXyX,YXXyx,10,11,10.0,4.0,2.0,1.25,0.0
orb_0013,seed,solved,YYXyx,YXXyx,10,11,10.0,4.0,2.0,1.25,0.0
orb_0014,moved_cov,solved,X,YYYXYxyyyX,11,1,11.0,3.0,3.0,1.0,0.2727272727272727
orb_0015,moved_cov,solved,X,YYYXYxyyyx,11,1,11.0,3.0,3.0,1.0,0.2727272727272727
orb_0016,moved_cov,solved,X,YYYXyyXyyx,11,1,11.0,3.0,3.0,1.0,0.2727272727272727
orb_0017,moved_cov,solved,X,YYYYXyxyyX,11,2,11.0,3.0,3.0,1.0,0.2727272727272727
orb_0018,moved_cov,solved,X,YYYYXyxyyx,11,2,11.0,3.0,3.0,1.0,0.2727272727272727
orb_0019,moved_cov,solved,YX,YYXXyXYxx,11,1,11.0,4.0,3.0,1.25,0.09090909090909091
orb_0020,moved_cov,solved,YXXYx,YYXXyx,11,3,11.0,4.0,2.0,1.25,0.09090909090909091
orb_0021,seed,solved,YXXyx,YYXXyX,11,3,11.0,4.0,2.0,1.25,0.09090909090909091
orb_0022,seed,solved,YXXyx,YYXXyx,11,3,11.0,4.0,2.0,1.25,0.09090909090909091
orb_0023,seed,solved,YXXyx,YYXyXX,11,13,11.0,4.0,2.0,1.25,0.09090909090909091
orb_0024,seed,solved,YXXyx,YYXyxx,11,14,11.0,4.0,2.0,1.25,0.09090909090909091
orb_0025,moved_cov,solved,YYXXX,YXyXYx,11,1,11.0,4.0,3.0,1.25,0.09090909090909091
orb_0026,moved_cov,solved,X,YYXXyxYXXyx,12,1,12.0,4.0,4.0,1.25,0.16666666666666666
orb_0027,moved_cov,solved,X,YYXyyxYXyyx,12,3,12.0,4.0,4.0,1.0,0.16666666666666666
orb_0028,seed,solved,X,YYYYYXyyyyx,12,3,12.0,2.0,2.0,1.0,0.5
orb_0029,seed,solved,YXXYx,YYYXyyx,12,8,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0030,seed,solved,YXXyx,YYXXXyX,12,3,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0031,seed,solved,YXXyx,YYXXXyx,12,3,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0032,seed,solved,YXXyx,YYXXyXX,12,4,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0033,seed,solved,YXXyx,YYXXyxx,12,3,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0034,seed,solved,YXXyx,YYXyXXX,12,7,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0035,seed,solved,YXXyx,YYXyxxx,12,6,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0036,seed,solved,YXXyx,YYYXyyX,12,4,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0037,seed,solved,YXXyx,YYYXyyx,12,9,12.0,4.0,2.0,1.25,0.16666666666666666
orb_0038,moved_cov,solved,YYXXX,YXXyXYx,12,1,12.0,4.0,3.0,1.25,0.16666666666666666
orb_0039,moved_cov,solved,X,YYXyXyxYYXyx,13,1,13.0,5.0,5.0,1.0,0.07692307692307693
orb_0040,moved_cov,solved,X,YYYYXYxyyyyX,13,1,13.0,3.0,3.0,1.0,0.38461538461538464
orb_0041,moved_cov,solved,X,YYYYXYxyyyyx,13,1,13.0,3.0,3.0,1.0,0.38461538461538464
orb_0042,moved_cov,solved,X,YYYYXyyxyyyX,13,1,13.0,3.0,3.0,1.0,0.38461538461538464
orb_0043,moved_cov,solved,X,YYYYYXyxyyyX,13,2,13.0,3.0,3.0,1.0,0.38461538461538464
orb_0044,moved_cov,solved,X,YYYYYXyyxyyX,13,1,13.0,3.0,3.0,1.0,0.38461538461538464
orb_0045,moved_cov,solved,YXXYx,YYXXXYxx,13,1,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0046,moved_cov,solved,YXXYx,YYXYYXyx,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0047,moved_cov,solved,YXXYx,YYXYxyyX,13,3,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0048,moved_cov,solved,YXXYx,YYYXXyyx,13,2,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0049,seed,solved,YXXYx,YYYXYxyX,13,3,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0050,moved_cov,solved,YXXYx,YYYYXXyx,13,2,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0051,seed,solved,YXXyx,YYXXXXyX,13,2,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0052,seed,solved,YXXyx,YYXXXXyx,13,1,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0053,seed,solved,YXXyx,YYXXXyXX,13,4,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0054,seed,solved,YXXyx,YYXXXyxx,13,4,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0055,seed,solved,YXXyx,YYXXyXXX,13,1,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0056,seed,solved,YXXyx,YYXXyxxx,13,1,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0057,seed,solved,YXXyx,YYXYXyyX,13,2,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0058,seed,solved,YXXyx,YYXYXyyx,13,2,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0059,seed,solved,YXXyx,YYXYxyyX,13,2,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0060,seed,solved,YXXyx,YYXYxyyx,13,3,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0061,seed,solved,YXXyx,YYXyXXXX,13,2,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0062,seed,solved,YXXyx,YYXyxxxx,13,3,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0063,seed,solved,YXXyx,YYXyyXYX,13,2,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0064,seed,solved,YXXyx,YYXyyXYx,13,3,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0065,seed,solved,YXXyx,YYXyyXyx,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0066,seed,solved,YXXyx,YYXyyxYx,13,3,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0067,seed,solved,YXXyx,YYYXXyyX,13,1,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0068,seed,solved,YXXyx,YYYXXyyx,13,1,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0069,seed,solved,YXXyx,YYYXyXyX,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0070,seed,solved,YXXyx,YYYXyXyx,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0071,seed,solved,YXXyx,YYYXyxyx,13,2,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0072,seed,solved,YXXyx,YYYXyyXX,13,2,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0073,seed,solved,YXXyx,YYYXyyxx,13,5,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0074,seed,unsolved,YXYxyx,YYYYxxx,13,1,13.0,4.0,3.0,1.5,0.07692307692307693
orb_0075,moved_cov,solved,YYXXYx,YXXXYxx,13,2,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0076,moved_cov,solved,YYXXYx,YXXyxYx,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0077,moved_cov,solved,YYXXYx,YXYXyxx,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0078,seed,solved,YYXXYx,YYYXyyx,13,6,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0079,moved_cov,solved,YYXXYx,YYYxyXX,13,2,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0080,seed,solved,YYXXYx,YYYxyyX,13,3,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0081,moved_cov,solved,YYXXYx,YYxYXYX,13,1,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0082,moved_cov,solved,YYXXyx,YXXXXYx,13,2,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0083,seed,solved,YYXXyx,YXXXyxx,13,6,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0084,seed,solved,YYXXyx,YXXyxxx,13,3,13.0,4.0,2.0,1.25,0.23076923076923078
orb_0085,moved_cov,solved,YYXXyx,YXYXyxx,13,2,13.0,5.0,3.0,1.2,0.07692307692307693
orb_0086,moved_cov,solved,YYXXyx,YYXyyxx,13,2,13.0,4.0,2.0,1.5,0.07692307692307693
orb_0087,moved_cov,solved,X,YYXyxYXyxYXyx,14,2,14.0,6.0,6.0,1.0,0.0
orb_0088,moved_cov,solved,X,YYYXyyxYYXyyx,14,1,14.0,4.0,4.0,1.0,0.2857142857142857
orb_0089,seed,solved,X,YYYYYYXyyyyyx,14,1,14.0,2.0,2.0,1.0,0.5714285714285714
orb_0090,moved_cov,solved,YXX,YYXyXYYXXyX,14,1,14.0,5.0,4.0,1.4,0.0
orb_0091,moved_cov,solved,YXXYx,YYXYYXXyx,14,1,14.0,5.0,3.0,1.4,0.0
