line_idx,r1,r2,greedy_solved,greedy_path_length
0,xxxyy,xyyxY,True,4
1,xxyxy,xyyxY,True,5
2,xxyXy,xyXYY,True,5
3,xxyXY,xyXYY,True,3
4,xxxyy,xxyyXY,True,4
5,xxxyy,xyxyXY,True,6
6,xxxyy,xyXyxY,True,7
7,xxyxy,xxyyXY,True,7
8,xxyxy,xyxyXY,True,4
9,xxyxy,xyXyxY,True,5
10,xxyXy,xxyXyy,True,3
11,xxyXy,xxyyXY,True,6
12,xxyXy,xyxyXy,True,3
13,xxyXy,xyxyXY,True,6
14,xxyXy,xyXyxY,True,3
15,xxyXY,xxyxYY,True,4
16,xxyXY,xxyXYY,True,3
17,xxyXY,xxYxyy,True,8
18,xxyXY,xxYXyy,True,6
19,xxyXY,xyxyxY,True,6
20,xxyXY,xyxyXY,True,3
21,xxyXY,xyxYXy,True,4
22,xxyXY,xyxYXY,True,4
23,xxxyy,xxxyxyy,True,4
24,xxxyy,xxxyyXY,True,4
25,xxxyy,xxyxxyy,True,4
26,xxxyy,xxyxyxy,True,6
27,xxxyy,xxyxyXY,True,7
28,xxxyy,xxyxYXy,True,6
29,xxxyy,xxyXyxY,True,7
30,xxxyy,xyyyxYY,True,5
31,xxyxy,xxxxyyy,True,8
32,xxyxy,xxxyxyy,True,4
33,xxyxy,xxxyyXY,True,6
34,xxyxy,xxyxxyy,True,4
35,xxyxy,xxyxyXY,True,4
36,xxyxy,xxyxYXy,True,4
37,xxyxy,xxyXyxY,True,8
38,xxyxy,xyyyxYY,True,7
39,xxyXy,xxxyXyy,True,3
40,xxyXy,xxyxyXy,True,3
41,xxyXy,xxyXXYY,True,6
42,xxyXy,xxyXyXY,True,3
43,xxyXy,xxyXYXy,True,3
44,xxyXy,xxyXYXY,True,6
45,xxyXy,xxyyyyy,True,6
46,xxyXy,xxYXyXY,True,7
47,xxyXy,xyxyyyy,True,8
48,xxyXy,xyyxyyy,True,6
49,xxyXy,xyyXYYY,True,10
50,xxyXy,xyyyyxY,False,-1
51,xxyXY,xxxyxYY,True,7
52,xxyXY,xxxyXYY,True,3
53,xxyXY,xxxYxyy,True,13
54,xxyXY,xxxYXyy,True,9
55,xxyXY,xxyxxYY,True,5
56,xxyXY,xxyxyxY,True,5
57,xxyXY,xxyxyXY,True,3
58,xxyXY,xxyxYxy,True,7
59,xxyXY,xxyxYXy,True,5
60,xxyXY,xxyxYXY,True,3
61,xxyXY,xxyXXYY,True,3
62,xxyXY,xxyXyXY,True,3
63,xxyXY,xxyXYxy,True,3
64,xxyXY,xxyXYXy,True,3
65,xxyXY,xxYxyxy,True,11
66,xxyXY,xxYxyXy,True,7
67,xxyXY,xxYxYXy,True,7
68,xxyXY,xxYXyXy,True,5
69,xxyXY,xyyxYYY,True,9
70,xxyXY,xyyXYYY,True,7
71,xxxyy,xxxxyxyy,True,4
72,xxxyy,xxxyxxyy,True,4
73,xxxyy,xxxyxyxy,True,4
74,xxxyy,xxxyXyXY,True,5
75,xxxyy,xxxyXYXy,True,4
76,xxxyy,xxxyyXXY,True,4
77,xxxyy,xxyxxyxy,True,7
78,xxxyy,xxyxyXXY,True,7
79,xxxyy,xxyxYXXy,True,7
80,xxxyy,xxyXXyxY,True,8
81,xxxyy,xxyyyXYY,True,5
82,xxxyy,xyxyyXYY,True,5
83,xxxyy,xyXyXYYY,True,8
84,xxxyy,xyXyyxYY,True,5
85,xxxyy,xyXYYxyy,True,5
86,xxxyy,xyXYYYXy,True,8
87,xxyxy,xxxxxyyy,True,7
88,xxyxy,xxxxyxyy,True,4
89,xxyxy,xxxyxxyy,True,4
90,xxyxy,xxxyXyXY,True,9
91,xxyxy,xxxyXYXy,True,5
92,xxyxy,xxxyyXXY,True,9
93,xxyxy,xxyxyXXY,True,4
94,xxyxy,xxyxYXXy,True,4
95,xxyxy,xxyXXyxY,True,7
96,xxyxy,xxyyyXYY,True,8
97,xxyxy,xyxyyXYY,True,6
98,xxyxy,xyXyXYYY,True,5
99,xxyxy,xyXyyxYY,True,5
100,xxyxy,xyXYYxyy,True,7
101,xxyxy,xyXYYYXy,True,9
102,xxyxYY,xxxxxYY,True,4
103,xxyxYY,xxxxYxY,True,8
104,xxyxYY,xxxyxYY,True,4
105,xxyxYY,xxxyXXY,True,12
106,xxyxYY,xxxyXYY,True,9
107,xxyxYY,xxxYxxY,True,10
108,xxyxYY,xxxYXXy,True,7
109,xxyxYY,xxxYYxy,True,8
110,xxyxYY,xxxYYXy,True,13
111,xxyxYY,xxyxxYY,True,4
112,xxyxYY,xxyxYxY,True,4
113,xxyxYY,xxyxYXY,True,4
114,xxyxYY,xxyXYxY,True,8
115,xxyxYY,xxyyXYY,True,4
116,xxyxYY,xxYxyxY,True,8
117,xxyxYY,xxYxyXY,True,8
118,xxyxYY,xxYxYxy,True,11
119,xxyxYY,xxYxYXy,True,15
120,xxyxYY,xxYXyxY,True,12
121,xxyxYY,xxYXYxy,True,10
122,xxyxYY,xxYYXyy,True,9
123,xxyxYY,xyxyXYY,True,9
124,xxyxYY,xyxYYXy,True,4
125,xxyxYY,xyXyxYY,True,4
126,xxyxYY,xyXyXYY,True,11
127,xxyxYY,xyXYYXy,True,13
128,xxyxYY,xyyxYYY,True,9
