name,r1,r2,source,form,note
aca_0,YXXyxYx,YYYYYYXyxyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_0, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_1,YYXXyxx,YYYxyXyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_1, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_2,YXXyXyx,YYYXyyyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_2, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_3,YXXyxYx,YYYYYxyxyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_3, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_4,YYXXXyx,YYxyxyXyXYX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_4, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_5,YYXXXyX,YYYxyXyxyxyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_5, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_6,YYXXyxxyx,YXXXXXyxYx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_6, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_7,YYXXyxx,YYYYxYXYX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_7, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_8,YXyXYxx,YYXYXyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_8, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_9,YXXXyxx,YYYXXyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_9, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_10,YXXXyxx,YYXYXyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_10, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
