name,r1,r2,level,source,form,orbit,pair_id,greedy_nodes,s20_nodes
ac19x_137795,YXXXyXXYxxxx,YXyXXXyxxxx,1,ac19,original,ac19_28131,ac19_28131,894,
ac19x_137936,YXXXYxyXXYxxx,YXXXyxYxx,1,ac19,original,ac19_67055,ac19_67055,569,
ac19x_143359,YYXYxxxYXyXX,YXyXXXyxxxx,1,ac19,original,ac19_55019,ac19_55019,751,
ac19x_144949,YXXyxYXXXYxxx,YXyXXyxxx,1,ac19,original,ac19_67055,ac19_67055,509,
ac19x_16286,YXXXyXXYxxxx,YXyxYXXXyxx,1,ac19,original,ac19_7284,ac19_7284,895,
ac19x_51554,YYxxxYXXyXX,YXyXXXyxxxx,1,ac19,original,ac19_16286,ac19_16286,891,
ac19x_100913,YYYXyXXYYXyX,YYYxYXyXXyX,2,ac19,original,ac19_54616,ac19_54616,1844,
ac19x_101379,YYYXyXXYYXyX,YYXyXyXYx,2,ac19,original,ac19_54765,ac19_54765,1844,
ac19x_101578,YYYXyXyxyyxYX,YYXYxyyx,2,ac19,original,ac19_54835,ac19_54835,5084,
ac19x_102092,YYYYXYxyyyyX,YYYYXyxyyXYXX,2,ac19,original,ac19_55019,ac19_55019,7278,
ac19x_110483,YYXXXyXyxxYxx,YXXyXXyXYxxYxx,2,ac19,original,ac19_57992,ac19_57992,1847,
ac19x_115001,YYYYXYxyyyyX,YYYxyXYxyyX,2,ac19,original,ac19_59576,ac19_59576,5666,
ac19x_130941,YYxYxYxyXyXyXyxYx,YYxyXyXyXyXYxYx,2,ac19,original,ac19_28131,ac19_28131,4193,
ac19x_132233,YYxYxyXXyXX,YXXyXXyXYxxYxx,2,ac19,original,ac19_65206,ac19_65206,1844,
ac19x_133893,YXyXXyXXYxxYxx,YXyXXyXXyxxYxYxYx,2,ac19,original,ac19_65753,ac19_65753,4934,
ac19x_140735,YYXYXyxyxyXXYX,YYXyxyxyxyxYXYX,2,ac19,original,ac19_16286,ac19_16286,1141,
ac19x_15526,YYYXyyyxxYX,YYXYxyyx,2,ac19,original,ac19_12445,ac19_12445,5084,
ac19x_21044,YYYYXYxyyyyX,YYYYXyyxyyXYX,2,ac19,original,ac19_16286,ac19_16286,6467,
ac19x_27180,YYxYxxxyXXyXXyX,YXXyXXyXYxxYxx,2,ac19,original,ac19_20270,ac19_20270,1847,
ac19x_39050,YYxxyXX,YXXXXXYxyxxx,2,ac19,original,ac19_27254,ac19_27254,6605,
ac19x_40647,YYXYXYXyxyxyxyXYX,YYXyxyxyxyxYXYX,2,ac19,original,ac19_28131,ac19_28131,4186,
ac19x_46185,YYxYxyXyXyxxYx,YYxyXyXyXyXYxYx,2,ac19,original,ac19_16286,ac19_16286,1148,
ac19x_46444,YYYXyXyyxyX,YYXYxyyx,2,ac19,original,ac19_31298,ac19_31298,5084,
ac19x_56611,YXXYXXXyXyxYxxYxx,YXXyXXyXYxxYxx,2,ac19,original,ac19_36350,ac19_36350,5774,
ac19x_62350,YYYYYXyyyxyyX,YYYYXYxyyyyX,2,ac19,original,ac19_28131,ac19_28131,6002,
ac19x_62834,YYXyXXyXYxxx,YXXyXYxYx,2,ac19,original,ac19_39288,ac19_39288,1839,
ac19x_65053,YXXXXyxYx,YXXXyXXYxxxx,2,ac19,original,ac19_40312,ac19_40312,1068,
ac19x_72661,YYXyXXyXXYxYxYx,YXXyXYxYx,2,ac19,original,ac19_43611,ac19_43611,1839,
