cls,k,depth,phi_x,phi_y,r1,r2,start_len,initial_len,best_len
aca_34,0,0,x,y,YXXXYxx,YYYYYXyyyyx,18,18,16
aca_34,1,1,Yx,y,YXyXyXYxYx,YYYYYXyyyyx,21,18,16
aca_34,2,1,x,Xy,YXXYxxx,YXyXyXyXyxYxYxYxYx,25,18,16
aca_34,3,1,x,xy,YXXXXYx,YXYXYXYXYXyxyxyxyx,25,18,16
aca_34,4,1,xy,y,YXYXYXYxyx,YYYYYXyyyyx,21,18,16
aca_34,5,2,YYx,y,YYYYYXyyyyx,YYxYYxyXyyXyx,24,18,16
aca_34,6,2,x,XXy,YXYxxxx,YXyXXyXXyXXyxYxxYxxYxxYxx,32,18,16
aca_34,7,2,x,xxy,YYXXXXX,YXyxxyxxyxxyxYXXYXXYXXYXX,32,18,16
aca_34,8,2,xyy,y,YYYYYXyyyyx,YYXYYXYxyyxYX,24,18,16
aca_34,9,2,Yx,Xyy,YXyXYxYxYx,YYxYYxYYxYYxYXyyXyyXyyXyx,35,18,16
aca_34,10,2,Yxx,Xy,YXyXXyXYxxYxx,YXyXyXyXyxYxYxYxYx,31,18,16
aca_34,11,2,xxy,xy,YXyxxyxxyxxyX,YXYXYXYXYXyxyxyxyx,31,18,16
aca_34,12,2,xy,xyy,YXYXYXYXYx,YYXYYXYYXYYXyxyyxyyxyyxYX,35,18,16
aca_34,13,3,YYYx,y,YYYYYXyyyyx,YYYxYYYxyXyyyXyx,27,18,16
aca_34,14,3,x,XXXy,YYxxxxx,YXyXXXyXXXyXXXyxYxxxYxxxYxxxYxxx,39,18,16
aca_34,15,3,x,xxxy,YXYXXXXXX,YXyxxxyxxxyxxxyxYXXXYXXXYXXXYXXX,41,18,16
aca_34,16,3,xyyy,y,YYYYYXyyyyx,YYYXYYYXYxyyyxYX,27,18,16
aca_34,17,3,YYx,Xyyy,YYxYYxYXyyXYx,YYYxYYYxYYYxYYYxYXyyyXyyyXyyyXyx,45,18,16
aca_34,18,3,Yx,XyXyy,YXYxYxYxYx,YYxYxYYxYxYYxYxYYxYxYXyyXyXyyXyXyyXyXyx,49,18,16
aca_34,19,3,YxYxx,Xy,YXyXyXyXyxYxYxYxYx,YXyXyXXyXyXYxxYxYxx,37,18,16
