name,archival_initial_length,saved_rank2_length,previous_any_rank_length,best_any_rank_length,best_rank,new_gain,rank_reduction,solved,best_words,certificate_kind,witness_pointer
aca_0,18,18,18,18,2,0,0,False,"(YXXyxYx, YYYYYYXyxyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/0
aca_1,15,15,15,15,2,0,0,False,"(YYXXyxx, YYYxyXyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/1
aca_2,16,16,16,16,2,0,0,False,"(YXXyXyx, YYYXyyyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/2
aca_3,17,17,17,17,2,0,0,False,"(YXXyxYx, YYYYYxyxyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/3
aca_4,18,18,17,17,3,0,0,False,"(ZXY, XXXZYY, XyzzYxZy)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/4
aca_5,19,19,18,18,3,0,0,False,"(Zxy, YYYzXyzzx, YZXXyX)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/5
aca_6,19,19,17,17,3,0,0,False,"(ZYXX, YzyZx, XXXyxYxz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/6
aca_7,16,16,16,15,3,1,0,False,"(UZuYz, UYZY, UyyyZZ)",theorem_backed_stable_composite,observed_pilot.json#/rows/0/best_witness
aca_8,15,15,15,15,2,0,0,False,"(YXyXYxx, YYXYXyyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/8
aca_9,15,15,15,15,2,0,0,False,"(YXXXyxx, YYYXXyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/9
aca_10,15,15,15,15,2,0,0,False,"(YXXXyxx, YYXYXyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/10
aca_11,15,15,15,15,2,0,0,False,"(YXXXyxx, YYYXyxyx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/11
aca_12,15,15,15,15,2,0,0,False,"(YXXXyxx, YYXYxyyX)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/12
