name,r1,r2,canon_r1,canon_r2,len1,len2,total_len,max_len,n_members,S,MK,W,abelian_det,ex1,ey1,ex2,ey2,x_blocks1,y_blocks1,x_blocks2,y_blocks2,bs_general,bs_m,bs_donor_index,bs_preflight_status,stalled_stable_letters,T,route,prepass_charges,plain_charges,best_state_r1,best_state_r2,best_total_len,best_reduction,two_block_gate,primitive_one_occurrence1,primitive_one_occurrence2,cluster
ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,YYXXyxx,YXXXXXXXXyxxxxxxx,7,17,24,17,6,1.25,2.0,1,-1,0,-1,-1,0,2,2,2,2,True,7,1,reject,3,2,incumbent_restart,8,872,YYXXyxx,YYYYxxxxyXXX,19,5,False,False,False,bs_stalled_lo
ac19_102,YYXXyx,YXXXXXXyxxxxx,YYXXyx,YXXXXXXyxxxxx,6,13,19,13,25,1.25,2.0,1,-1,-1,-1,-1,0,2,2,2,2,True,5,1,reject,3,2,incumbent_restart,8,872,YXXyxYx,YYxYYxyX,15,4,False,False,False,bs_stalled_lo
ac19_103,YYXXXXyX,YXXXXXXyxxxxx,YYXXXXyX,YXXXXXXyxxxxx,8,13,21,13,9,1.25,2.0,1,-1,-5,-1,-1,0,2,2,2,2,True,5,1,reject,3,2,incumbent_restart,8,872,YXXXyXYx,YYXXyXXYX,17,4,False,False,False,bs_stalled_lo
ac19_105,YYXXXXyX,YXXXXXyxxxxxx,YYXXXXyX,YXXXXXyxxxxxx,8,13,21,13,6,1.25,2.0,1,1,-5,-1,1,0,2,2,2,2,True,5,1,reject,3,2,incumbent_restart,8,872,YYXXXXyX,YXyxxyXYx,17,4,False,False,False,bs_stalled_lo
ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,YXXyx,YYYYYYYYXyyyyyyyx,5,17,22,17,10,1.25,2.0,1,1,-1,0,0,-1,2,2,2,2,True,1,0,accept,1,0,plain_s20,250,750,YXXyx,YYYYYYXyyyyyxxxx,21,1,False,False,False,bs_accept_budget_starved
ac19_134,YYXXYXyyx,YYYXXXYXyyX,YYXXYXyyx,YYYXXXYXyyX,9,11,20,11,4,1.5,3.0,1,-1,-2,-1,-5,-2,3,3,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXYxxx,YYYXXyyxx,17,3,False,False,False,non_bs_mid_reduced
ac19_177,YXXXXyXYx,YXXyxYXXXX,YXXXXyXYx,YXXyxYXXXX,9,10,19,10,10,1.0,3.0,0,-1,-4,-1,-5,-1,3,3,3,3,False,,,reject,,0,incumbent_restart,33,872,YYXXyx,YYxYXXX,13,6,False,False,False,non_bs_mid_reduced
ac19_183,YYXXyxx,YYYXYYXyx,YYXXyxx,YYYXYYXyx,7,9,16,9,10,1.4,3.0,1,-1,0,-1,-1,-4,2,2,3,3,False,,,reject,,0,incumbent_restart,18,872,YYXXyxx,YYxyXYx,14,2,False,False,False,non_bs_short_reduced
ac19_230,YYXXyxx,YYYXYXYYx,YYXXyxx,YYYXYXYYx,7,9,16,9,3,1.4,3.0,1,-1,0,-1,-1,-6,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,YYxYXX,YYYXYYXyx,15,1,False,False,False,non_bs_short_reduced
ac19_240,YXXXyXyx,YYXYxxxyXyx,YXXXyXyx,YYXYxxxyXyx,8,11,19,11,2,1.1428571428571428,4.0,0,1,-3,1,2,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YXYxyXX,13,6,False,False,False,non_bs_mid_reduced
ac19_252,YYXXyx,YYXXYxxxxyXXX,YYXXyx,YYXXYxxxxyXXX,6,13,19,13,3,1.4,3.0,1,1,-1,-1,-1,-2,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXyxx,YYxyXYX,14,5,False,False,False,non_bs_mid_reduced
ac19_294,YXXYxYxx,YYYxxYXYx,YXXYxYxx,YYYxxYXYx,8,9,17,9,2,1.3333333333333333,3.0,0,1,1,-3,2,-5,3,3,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXXYx,YYxyXYX,14,3,False,False,False,non_bs_short_reduced
ac19_353,YXYxyx,YYXXXyyXyXyxYxx,YXYxyx,YYXXXyyXyXyxYxx,6,15,21,15,3,1.25,5.0,0,-1,1,-1,-2,1,3,3,5,5,False,,,reject,,0,incumbent_restart,18,872,YXXXyxx,YYxyXYxyX,16,5,False,False,False,non_bs_mid_reduced
ac19_399,YXyxYXXyx,YYXyXXXyxYX,YXyxYXXyx,YYXyXXXyxYX,9,11,20,11,1,1.125,4.0,1,1,-1,0,-4,-1,4,4,4,4,False,,,reject,,0,incumbent_restart,8,872,YXXYxYxx,YYXyxYXyx,17,3,False,False,False,non_bs_mid_reduced
ac19_420,YYXXXyX,YYXyyxxyxx,YYXXXyX,YYXyyxxyxx,7,10,17,10,1,1.6,3.0,2,-1,-4,-1,3,1,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXXyX,YXYxyXXX,15,2,False,False,False,non_bs_short_reduced
ac19_555,YYXXXyX,YXyxYXXXyxx,YYXXXyX,YXyxYXXXyxx,7,11,18,11,16,1.1666666666666667,4.0,1,-1,-4,-1,-1,0,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXXyX,YXYxyXXX,15,3,False,False,False,non_bs_short_reduced
ac19_969,YYXXYXyyx,YYYXXYXXXXX,YYXXYXyyx,YYYXXYXXXXX,9,11,20,11,4,1.8,3.0,1,1,-2,-1,-7,-4,3,3,2,2,False,,,reject,,0,incumbent_restart,8,872,YYXXXYx,YYxyXYX,14,6,False,False,False,non_bs_mid_reduced
