name,r1,r2
ms_000,YYXyx,Yx
ms_001,YYXyx,YX
ms_002,YYXyx,YYx
ms_003,YYX,YYXyx
ms_004,YYYx,YYXyx
ms_005,YYYX,YYXyx
ms_006,YYXyx,YXYxx
ms_007,YYXyx,YXXyx
ms_008,YYYYx,YYXyx
ms_009,YYXyx,YXyxx
ms_010,YYXyx,YXXYx
ms_011,YYYYX,YYXyx
ms_012,YYXYxx,YYXyx
ms_013,YYXyx,YXYxYx
ms_014,YYXyx,YXYxyx
ms_015,YYXyx,YXyXyx
ms_016,YYXyx,YXYXyx
ms_017,YYXXyx,YYXyx
ms_018,YYXyx,YYxxYX
ms_019,YYXyx,YYxxyX
ms_020,YYYYYx,YYXyx
ms_021,YYXyx,YXyxYx
ms_022,YYXyx,YXyXYx
ms_023,YYXyx,YYXyxx
ms_024,YYXXYx,YYXyx
ms_025,YYXyx,YYxyXX
ms_026,YYXyx,YYxYXX
ms_027,YYXyx,YXYxyX
ms_028,YYXyx,YXYXYx
ms_029,YYYYYX,YYXyx
ms_030,YYXyx,YXXYxxx
ms_031,YYXyx,YXXXyxx
ms_032,YYYXYxx,YYXyx
ms_033,YYXYxYx,YYXyx
ms_034,YYXYxyx,YYXyx
ms_035,YYXyx,YYxYXYx
ms_036,YYXyx,YYXyxyX
ms_037,YYXyx,YYxyXYx
ms_038,YYXyxYX,YYXyx
ms_039,YYXyXyx,YYXyx
ms_040,YYXYXyx,YYXyx
ms_041,YYYXXyx,YYXyx
ms_042,YYXYYxx,YYXyx
ms_043,YYXyx,YYxYxYX
ms_044,YYXyx,YYxyxYX
ms_045,YYXyx,YYxYxyX
ms_046,YYXyx,YYxyxyX
ms_047,YYXXyyx,YYXyx
ms_048,YYYxxYX,YYXyx
ms_049,YYYxxyX,YYXyx
ms_050,YYYYYYx,YYXyx
ms_051,YYXyx,YYxYXyx
ms_052,YYXyx,YYxyXyx
ms_053,YYXyxYx,YYXyx
ms_054,YYXyXYx,YYXyx
ms_055,YYXyx,YYxyXyX
ms_056,YYXyx,YYxYXyX
ms_057,YYXyx,YXXyxxx
ms_058,YYXyx,YXXXYxx
ms_059,YYYXyxx,YYXyx
ms_060,YYYXXYx,YYXyx
ms_061,YYXyx,YYXyyxx
ms_062,YYXXYYx,YYXyx
ms_063,YYYxyXX,YYXyx
ms_064,YYYxYXX,YYXyx
ms_065,YYXyx,YYXyxyx
ms_066,YYXYxyX,YYXyx
ms_067,YYXYxYX,YYXyx
ms_068,YYXYXYx,YYXyx
ms_069,YYXyx,YYxyXYX
ms_070,YYXyx,YYxYXYX
ms_071,YYYYYYX,YYXyx
ms_072,YYXXYxxx,YYXyx
ms_073,YYXyx,YXXYxxYx
ms_074,YYXyx,YXXYxYxx
ms_075,YYXyx,YXXYxyxx
ms_076,YYXyx,YXXYxxyx
