index,name,r1,r2,nodes_explored,route,elementary_count
185,ac19_185,YYXXXyx,YXXXXXYxx,922,incumbent_restart,563
2512,ac19_2512,YXXyxYx,YYYxxxYXyX,976,incumbent_restart,755
4366,ac19_4366,YXXYXXyX,YYXYXyyXX,946,incumbent_restart,1245
5527,ac19_5527,YXXyxYx,YYYYYXXyxxYX,927,incumbent_restart,2825
7488,ac19_7488,YXXXXYxxxxyx,YYxxxxyXXXYxx,996,incumbent_restart,881
7752,ac19_7752,YXYxyx,YYXyXXXYxxyyx,944,incumbent_restart,520
8461,ac19_8461,YYXXXYX,YYxyXYxxyXXX,954,incumbent_restart,1120
10118,ac19_10118,YYXXXYX,YYYXyXyx,940,incumbent_restart,1058
11842,ac19_11842,YXXYXXyxx,YYYxxyXyXX,911,incumbent_restart,784
13024,ac19_13024,YXXYXXyX,YYYXyyxyX,983,incumbent_restart,917
13409,ac19_13409,YXXXXYxxxxyx,YYYxxxxyXXYxx,997,incumbent_restart,1348
14060,ac19_14060,YXXXyXyx,YYxyxxYXyxx,968,incumbent_restart,4626
16513,ac19_16513,YXXYx,YYYXYYXyyyxxYX,933,incumbent_restart,677
23150,ac19_23150,YXXyXYx,YYXYXXyXyxxyx,945,incumbent_restart,1299
23458,ac19_23458,YXXYXXyx,YYXYxxyXyXX,943,incumbent_restart,399
24088,ac19_24088,YXXXXyXYxx,YYXXXXyxxyx,989,incumbent_restart,2173
25942,ac19_25942,YXyXXXyX,YYXXyxYXyyx,932,incumbent_restart,533
26260,ac19_26260,YYXXyx,YYXXYYXXYxYXX,993,incumbent_restart,1154
26634,ac19_26634,YXXyXyX,YYxyxYXyxx,953,incumbent_restart,598
28109,ac19_28109,YXXYXXyX,YYxYxyxyXyX,973,incumbent_restart,960
28267,ac19_28267,YYXXyxx,YYxxxYXyX,973,incumbent_restart,3205
29674,ac19_29674,YYXXyx,YYXYXyXyyxx,977,incumbent_restart,927
29844,ac19_29844,YYXXXXXXyx,YYYXXXXXyyx,957,incumbent_restart,11391
32095,ac19_32095,YXYxyx,YYYXyxYxxYx,926,incumbent_restart,549
33415,ac19_33415,YYXXXYX,YYXXXXyxYxyx,934,incumbent_restart,1044
34047,ac19_34047,YYXXXyX,YYXXyXXYXXX,977,incumbent_restart,785
34958,ac19_34958,YXYXXYx,YYYXXYxxYXXX,911,incumbent_restart,1076
36201,ac19_36201,YXXYxxyX,YYXXXXYYxyX,950,incumbent_restart,654
36570,ac19_36570,YXXYxxyX,YYxYXXyXXYX,949,incumbent_restart,997
38944,ac19_38944,YYXXXyx,YYYYYXyyXyX,975,incumbent_restart,839
39777,ac19_39777,YYXXXXXXyx,YYXyXYxyxyx,982,incumbent_restart,11413
40491,ac19_40491,YXXXXYxYx,YYXyyXyxxx,941,incumbent_restart,3151
41110,ac19_41110,YYXXYx,YYxyxyXXXyx,932,incumbent_restart,294
42691,ac19_42691,YXXYx,YYYXYYxyXYxyyX,928,incumbent_restart,1533
43057,ac19_43057,YXYxyx,YYXYXXyyXyxxx,958,incumbent_restart,468
44686,ac19_44686,YXXyXyxx,YYYxyxxYx,941,incumbent_restart,848
44780,ac19_44780,YYXXYXYYx,YYXyXYXYxx,918,incumbent_restart,1712
44891,ac19_44891,YXXYXXyx,YYYXXXyXX,933,incumbent_restart,465
45389,ac19_45389,YXXYx,YYYXyyyXYxyxyx,930,incumbent_restart,1484
47452,ac19_47452,YYXXXXYX,YYXyXXXYx,961,incumbent_restart,1438
48216,ac19_48216,YXXXyXyx,YYXyxYxyx,937,incumbent_restart,1852
48255,ac19_48255,YXYxyx,YYYXXYxyyxxxx,958,incumbent_restart,451
50246,ac19_50246,YXyXYxx,YYXYYXXyxx,979,incumbent_restart,1020
50843,ac19_50843,YXYxyx,YYYXYXyyXyxxx,947,incumbent_restart,385
50867,ac19_50867,YYXXXXXyX,YXyXYxyxx,949,incumbent_restart,3927
51394,ac19_51394,YXXYxxyX,YYYXXXXyxxYXX,985,incumbent_restart,1539
53533,ac19_53533,YYXXYYXXX,YYXYxyXXYYXyX,950,incumbent_restart,982
54075,ac19_54075,YXXYXXyxx,YYxyxYXyXX,955,incumbent_restart,778
54349,ac19_54349,YYXXyxxyX,YYxxyxYxyX,981,incumbent_restart,2260
55069,ac19_55069,YXYXXYx,YYYxxyyXYXX,950,incumbent_restart,696
57315,ac19_57315,YXYxyx,YYYYXXyxxxxyX,925,incumbent_restart,630
58985,ac19_58985,YXYXXYx,YYXyxyXXYYx,915,incumbent_restart,562
60633,ac19_60633,YYYXXXXyxyX,YYXXXXXXXXX,958,incumbent_restart,2559
63971,ac19_63971,YXXyXyxx,YYYYxxyxx,970,incumbent_restart,1696
64878,ac19_64878,YYXYXXXYx,YYXyxyXyxx,954,incumbent_restart,3987
65392,ac19_65392,YYXXyxx,YYYXXYYxxxxYX,967,incumbent_restart,618
66208,ac19_66208,YYXXXXXyX,YXyXXYxyx,958,incumbent_restart,8486
67716,ac19_67716,YXXyxYx,YYYxYxxYXX,948,incumbent_restart,2520
69618,ac19_69618,YXXXXyXyx,YYXXXyXyyX,936,incumbent_restart,2392
71329,ac19_71329,YYXYXXXyX,YXyXYXyXYx,966,incumbent_restart,1892
