index,name,r1,r2,nodes_explored,route,elementary_count
346,ac19_346,YXXyxYx,YYXXYYxxx,977,incumbent_restart,727
368,ac19_368,YYXXyx,YYYYXyyyyxx,973,incumbent_restart,1037
1011,ac19_1011,YYXXyx,YXyXyxxyx,971,incumbent_restart,852
1332,ac19_1332,YXYxyx,YYYXyXXyxxx,950,incumbent_restart,540
1598,ac19_1598,YXXYxxyX,YYxYXXyXXyx,956,incumbent_restart,1045
1641,ac19_1641,YXXYXXyx,YYXXXYxyXyx,980,incumbent_restart,918
2501,ac19_2501,YXYxyx,YYxYXyxYYxx,955,incumbent_restart,318
2512,ac19_2512,YXXyxYx,YYYxxxYXyX,976,incumbent_restart,755
2622,ac19_2622,YXXXXXXyxYx,YYXXXXXyyxYx,965,incumbent_restart,9840
2711,ac19_2711,YXXyXyxx,YYXyxyxxYYx,959,incumbent_restart,1985
3093,ac19_3093,YXXYxxyX,YYYXYXXyyyx,952,incumbent_restart,1027
3508,ac19_3508,YYYXXyyXX,YXXYXXXXX,976,incumbent_restart,980
3518,ac19_3518,YYXXyx,YYYYXyxyyXX,975,incumbent_restart,983
3654,ac19_3654,YYXXXYX,YYYXyxxyXX,950,incumbent_restart,597
3666,ac19_3666,YXXXYxx,YYYXXXyxyxyyxx,994,incumbent_restart,1039
3676,ac19_3676,YXyXYxx,YYYYYYXYYxx,985,incumbent_restart,9267
3696,ac19_3696,YYXXyx,YYYXyXXYX,985,incumbent_restart,1346
3782,ac19_3782,YYXXXXYX,YYXYxyyXX,971,incumbent_restart,1473
3866,ac19_3866,YXXYXXyX,YYxYXyXYXyXyX,974,incumbent_restart,1032
4185,ac19_4185,YXXYxxyx,YYYYxxxyX,968,incumbent_restart,1050
4709,ac19_4709,YYYXXXXyx,YXXXyXYxxx,971,incumbent_restart,815
4775,ac19_4775,YXXXYxx,YYYYXXYYYXX,960,incumbent_restart,144
5492,ac19_5492,YYXXXyx,YYYXYxxyyXyX,971,incumbent_restart,827
5754,ac19_5754,YXXYxxyX,YXyxYxYXXyX,987,incumbent_restart,1376
5879,ac19_5879,YXYXYx,YYYXyyyXyxYYXXYxYYx,982,incumbent_restart,1498
5912,ac19_5912,YXXyXYx,YYXXyxYXXXyxyxx,973,incumbent_restart,2006
6482,ac19_6482,YXXyxYx,YYYYxyXXYxx,961,incumbent_restart,3306
6520,ac19_6520,YXXYXXyx,YYXXYXyyX,976,incumbent_restart,696
6606,ac19_6606,YYXXXYX,YYXyXYXXyxxx,950,incumbent_restart,1140
6718,ac19_6718,YYXXXYX,YXyXXXYxxx,974,incumbent_restart,1014
6758,ac19_6758,YXXYXXyx,YYXyXyxYX,980,incumbent_restart,736
6917,ac19_6917,YXYxyx,YYYXyXXyyXXyxyxYx,993,incumbent_restart,523
7079,ac19_7079,YYXXYXX,YYXYXyXyXYx,955,incumbent_restart,674
7435,ac19_7435,YXXyXyX,YYYXyxyyx,978,incumbent_restart,587
7488,ac19_7488,YXXXXYxxxxyx,YYxxxxyXXXYxx,996,incumbent_restart,881
7579,ac19_7579,YXyXXXyX,YYxYxxyxyxx,951,incumbent_restart,599
7718,ac19_7718,YYXXyXyxyx,YXXyXyxxxyX,973,incumbent_restart,743
7774,ac19_7774,YXXXyxYx,YYXyXYxYX,953,incumbent_restart,1074
8030,ac19_8030,YXXYxxyx,YXYxYxxYxyx,957,incumbent_restart,2943
8099,ac19_8099,YXXXXyXYxx,YYXXYXXXXyxyx,995,incumbent_restart,2195
8274,ac19_8274,YXYxyx,YYYXyXXyyyx,961,incumbent_restart,461
8310,ac19_8310,YYXXXyxx,YYXYYXXyxxYXX,997,incumbent_restart,1843
8461,ac19_8461,YYXXXYX,YYxyXYxxyXXX,954,incumbent_restart,1120
8618,ac19_8618,YYXXyx,YXyXXYXXYxx,991,incumbent_restart,1470
8784,ac19_8784,YXXyXyX,YYYxyxxyxx,964,incumbent_restart,700
9135,ac19_9135,YXXYxxyX,YYYXXXYXXyx,950,incumbent_restart,1002
9837,ac19_9837,YYXXYx,YYxxxYXYXXX,981,incumbent_restart,309
10102,ac19_10102,YXYxyx,YYYXyXXXyxyxx,951,incumbent_restart,570
10469,ac19_10469,YXyXYxx,YYYYYYXyxx,975,incumbent_restart,8326
10487,ac19_10487,YXXXyXyX,YYYxyXXyxyx,980,incumbent_restart,1489
10499,ac19_10499,YXXXyXYx,YYXXXXXYXXXyx,959,incumbent_restart,1399
10775,ac19_10775,YYXXXyx,YXYXyXXYx,974,incumbent_restart,1724
10900,ac19_10900,YXYxyx,YYYXyXyxYxx,959,incumbent_restart,466
11288,ac19_11288,YXYxyx,YYYXyXyxxxYYxYx,990,incumbent_restart,330
11309,ac19_11309,YXYxyx,YYXyXXyyXyx,967,incumbent_restart,507
11633,ac19_11633,YXYxyx,YYXyxYxxxYxyX,958,incumbent_restart,470
12086,ac19_12086,YXXyxYx,YYYXYxxxYYX,961,incumbent_restart,3363
12128,ac19_12128,YYYYYXXXXXX,YYYYXXXXyxYXX,985,incumbent_restart,1631
12520,ac19_12520,YYXXXYX,YYXYxyXXyx,979,incumbent_restart,1156
12557,ac19_12557,YXXyXYxxx,YYYYYYXXyx,975,incumbent_restart,9367
12563,ac19_12563,YXXYxxyX,YYYYXXyXYXYXX,984,incumbent_restart,1331
12570,ac19_12570,YXXyXyx,YYYxxxyxyX,972,incumbent_restart,741
12660,ac19_12660,YXXyXyx,YYXXyxxYXyxx,973,incumbent_restart,728
12878,ac19_12878,YXXYXXyX,YXXXXXyXXYx,951,incumbent_restart,1397
12944,ac19_12944,YYXXyx,YYXYXyXyxxx,975,incumbent_restart,988
13024,ac19_13024,YXXYXXyX,YYYXyyxyX,983,incumbent_restart,917
13211,ac19_13211,YXYxyx,YYXYXyyXyxxxx,951,incumbent_restart,537
13231,ac19_13231,YXXyxYx,YYXXXXyxxyx,980,incumbent_restart,848
13409,ac19_13409,YXXXXYxxxxyx,YYYxxxxyXXYxx,997,incumbent_restart,1348
13795,ac19_13795,YYXXyxx,YYYxxYxYXXXX,981,incumbent_restart,494
13813,ac19_13813,YXXYXXyX,YYXyXYXXyyxYX,974,incumbent_restart,812
14060,ac19_14060,YXXXyXyx,YYxyxxYXyxx,968,incumbent_restart,4626
14419,ac19_14419,YXXXYxx,YYYXXXyxxYYXYX,994,incumbent_restart,1114
14557,ac19_14557,YXXYxxyX,YYYYXXXXyxYXX,990,incumbent_restart,1586
15145,ac19_15145,YXYXYx,YYYxYXyyXYYxyXXyx,978,incumbent_restart,1258
15242,ac19_15242,YYXXXXyx,YYXyXYxyX,965,incumbent_restart,2265
15315,ac19_15315,YXyxYXXyx,YYXyxxxyyx,998,incumbent_restart,2002
15490,ac19_15490,YYXyXyxyXYxyX,YXyxYXyxYXyxx,967,incumbent_restart,677
15562,ac19_15562,YXXXYxxxyx,YYYxxxyXYYx,957,incumbent_restart,1085
15591,ac19_15591,YXXyXyX,YYYxyxYxxyyx,964,incumbent_restart,704
15671,ac19_15671,YXXYXXyx,YXyXYxYXXyX,982,incumbent_restart,732
15727,ac19_15727,YXXyXyx,YYXYxxxYxyxx,977,incumbent_restart,801
16078,ac19_16078,YYXXyx,YYYYxyyXXyX,971,incumbent_restart,979
16224,ac19_16224,YYXXyXYYx,YYxYXXYXX,957,incumbent_restart,804
16768,ac19_16768,YXyXYxx,YYYXXyyXyxx,989,incumbent_restart,1141
17552,ac19_17552,YXYxyx,YYYxYXyxYxx,951,incumbent_restart,375
17957,ac19_17957,YYXXXXyx,YXyxYXXXyxx,964,incumbent_restart,2304
18301,ac19_18301,YXYxyx,YYXyXXyxYXyyx,967,incumbent_restart,600
19439,ac19_19439,YXyXYxx,YYYYXyxYXyxx,997,incumbent_restart,943
19546,ac19_19546,YYXXXyX,YYXYXyXyXX,964,incumbent_restart,807
19552,ac19_19552,YYXXyxxyX,YXXyxYxxxx,999,incumbent_restart,2174
20003,ac19_20003,YXXXyXYx,YXYxxyXXX,956,incumbent_restart,724
20152,ac19_20152,YXXyxYx,YYYxxyXYxyX,972,incumbent_restart,660
20283,ac19_20283,YXXYXXyxx,YYXyXyxyxx,958,incumbent_restart,711
20454,ac19_20454,YYXXXYX,YYXyxxYxyXXX,955,incumbent_restart,1189
20530,ac19_20530,YXXXyxYx,YXXYxxYXXXX,961,incumbent_restart,3442
20744,ac19_20744,YYXXXyx,YXyxxYXyxxYXXyx,979,incumbent_restart,2116
20787,ac19_20787,YXXYxxyX,YYXXyXYxYXX,981,incumbent_restart,1458
21112,ac19_21112,YXYxyx,YYXXyxxxYYxyX,956,incumbent_restart,649
21822,ac19_21822,YXXYXXyx,YXYXXyXyxYx,982,incumbent_restart,684
21846,ac19_21846,YXYxyx,YYYXyyxYYxx,953,incumbent_restart,438
21856,ac19_21856,YXXyXyx,YYYxyXyxxyX,975,incumbent_restart,713
22052,ac19_22052,YXyXYxx,YYXXyyxyxYx,999,incumbent_restart,1040
22476,ac19_22476,YXyXXXyX,YYYxyXXXyyx,984,incumbent_restart,575
22869,ac19_22869,YXXYXXyx,YYXXXyxYXyx,976,incumbent_restart,738
23023,ac19_23023,YYXXYx,YYYXyxYXyyx,968,incumbent_restart,972
23109,ac19_23109,YXXXYxx,YYYYXXYYXXyx,952,incumbent_restart,172
23437,ac19_23437,YXYxyx,YYXYXyyXXyxxx,951,incumbent_restart,562
23626,ac19_23626,YXYxyx,YYxYXyxyxYYxx,962,incumbent_restart,492
23826,ac19_23826,YXXYXXyx,YYXyXYXXyxx,976,incumbent_restart,744
24088,ac19_24088,YXXXXyXYxx,YYXXXXyxxyx,989,incumbent_restart,2173
24171,ac19_24171,YXXXXXyXYx,YXXyxYXXXXX,951,incumbent_restart,889
24186,ac19_24186,YXYXXYx,YXXXXyxYxx,974,incumbent_restart,1118
24758,ac19_24758,YXXYXXyX,YYXyxYxyXyX,962,incumbent_restart,869
25154,ac19_25154,YXYxyx,YYYXXyxxxxyyX,961,incumbent_restart,711
25244,ac19_25244,YYXXyxx,YYxYxYXXX,952,incumbent_restart,1322
26044,ac19_26044,YYXXXXyx,YYXYXXXyX,971,incumbent_restart,2249
26211,ac19_26211,YXXXyXyx,YYxyxYXXyxx,950,incumbent_restart,2571
26260,ac19_26260,YYXXyx,YYXXYYXXYxYXX,993,incumbent_restart,1154
26634,ac19_26634,YXXyXyX,YYxyxYXyxx,953,incumbent_restart,598
26979,ac19_26979,YXXyXyx,YYxyxxYXyX,973,incumbent_restart,824
26982,ac19_26982,YYXYXXXYx,YYXyXXXYxYx,952,incumbent_restart,710
27039,ac19_27039,YXXyxYx,YYxxYXYxYX,977,incumbent_restart,686
27406,ac19_27406,YXXXyxYx,YXYXYxYXXyX,956,incumbent_restart,3459
27503,ac19_27503,YYXXYXXyXYx,YYXXYXyxYxxyyX,968,incumbent_restart,1729
27740,ac19_27740,YXyXXXyX,YYxYxyxyxxx,993,incumbent_restart,601
28048,ac19_28048,YYXXyx,YYXXXYYxYXX,992,incumbent_restart,1120
28109,ac19_28109,YXXYXXyX,YYxYxyxyXyX,973,incumbent_restart,960
28201,ac19_28201,YYXXXXyX,YYxxyXXXXXX,984,incumbent_restart,3442
28267,ac19_28267,YYXXyxx,YYxxxYXyX,973,incumbent_restart,3205
28444,ac19_28444,YYXXXyX,YXyxxYXXXyx,965,incumbent_restart,773
28521,ac19_28521,YXXYxxyX,YXYxYXXyXyx,989,incumbent_restart,1488
28873,ac19_28873,YXyXYxx,YYYYYXXYx,971,incumbent_restart,7729
29061,ac19_29061,YYXXXyxYX,YYXXXXXYx,974,incumbent_restart,1500
29477,ac19_29477,YYXXyx,YXYxyXyxxYXyx,976,incumbent_restart,1019
29674,ac19_29674,YYXXyx,YYXYXyXyyxx,977,incumbent_restart,927
29844,ac19_29844,YYXXXXXXyx,YYYXXXXXyyx,957,incumbent_restart,11391
