index,name,r1,r2,cluster
99,ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,
2696,ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,
6554,ac19_6554,YYXyxYXXyx,YXyxYXyxxyXyx,
11753,ac19_11753,YYXXYxYXX,YYXXyXYYx,
14690,ac19_14690,YXXXyxx,YYXyXYxyXYxyX,
17417,ac19_17417,YYXyxYXXyx,YXyXyxxyXYxyx,
18125,ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,
18413,ac19_18413,YXYxxYXyxYXyx,YYXYxxYYxxYXyx,
22263,ac19_22263,YXyXYXyxx,YYXXyxxYxyX,
25325,ac19_25325,YXYxYXXYXyx,YYxYXXXYxYXX,
31624,ac19_31624,YYXyxYXXyx,YXyxYXXYxyXyx,
33080,ac19_33080,YXYxxYXyxYXyx,YYxYXYxxYXyxyX,
37426,ac19_37426,YXyXYXyxx,YYXyxYxxyX,
38222,ac19_38222,YYXXYxYXX,YYXXYxyXyyxxYX,
40167,ac19_40167,YXYxYXXYx,YYXXYXYxxyyXYx,
45056,ac19_45056,YXYXyXXYXyX,YYYXyXXYXYXyXyyx,
45684,ac19_45684,YYXXYXYYXXX,YYXYYXyXYYXXXyx,
49255,ac19_49255,YYXXYxYxyX,YXyxYXyxYXXYx,
50262,ac19_50262,YYXXXyXYXyX,YXXyxYXXyxx,
50610,ac19_50610,YXYxxYXyxYXyx,YYxyXYxxYXyxYX,
51034,ac19_51034,YYXXXXYX,YYYXYXyyX,
51124,ac19_51124,YXyXYXyxx,YYXXyxYXyXYxyx,
54337,ac19_54337,YXYxYXXYx,YYXXyxxYXYxyXyx,
54514,ac19_54514,YXYXyXXYXyX,YYYXyXXyxYxyxyx,
56260,ac19_56260,YXyXYXyxx,YYXyxYXXyx,
57787,ac19_57787,YYXyxYXXyx,YYYxyXXYXyx,
58570,ac19_58570,YYXXYxYxyX,YXYxyXYxxyX,
60781,ac19_60781,YYXXyxx,YYXYXYxYxYX,
62145,ac19_62145,YXYxYXXYx,YYXXyxxYXXyxx,
62816,ac19_62816,YXYXyXXYXyX,YYYXyXXXYXyXyx,
63737,ac19_63737,YXyXYXyxx,YYXXyxYXyx,
64163,ac19_64163,YXXYxxyx,YYXYXyXyXXyxxyx,
65737,ac19_65737,YXXYxYxx,YYxyxyXyX,
65753,ac19_65753,YXXYxYxxx,YYYYXyXyxxx,
65876,ac19_65876,YYXyxYXXyx,YXYxyXXYxYXyx,
65967,ac19_65967,YXYXyXXYXyX,YYXyXyyxYYxyx,
66385,ac19_66385,YXYxYXXYx,YYYXXyxxYXYXYx,
66543,ac19_66543,YXYXyXXYXyX,YYxYxyXYXyXyxyX,
66724,ac19_66724,YXXyXyxx,YYYxxxxYYxx,
69139,ac19_69139,YXXYxxyx,YYXYXyXyyxx,
70845,ac19_70845,YYXYXyXXyX,YXYXyXYXXyX,
