index,name,r1,r2,cluster
103,ac19_103,YYXXXXyX,YXXXXXXyxxxxx,bs_stalled_lo
105,ac19_105,YYXXXXyX,YXXXXXyxxxxxx,bs_stalled_lo
134,ac19_134,YYXXYXyyx,YYYXXXYXyyX,non_bs_mid_reduced
240,ac19_240,YXXXyXyx,YYXYxxxyXyx,non_bs_mid_reduced
252,ac19_252,YYXXyx,YYXXYxxxxyXXX,non_bs_mid_reduced
294,ac19_294,YXXYxYxx,YYYxxYXYx,non_bs_short_reduced
420,ac19_420,YYXXXyX,YYXyyxxyxx,non_bs_short_reduced
555,ac19_555,YYXXXyX,YXyxYXXXyxx,non_bs_short_reduced
969,ac19_969,YYXXYXyyx,YYYXXYXXXXX,non_bs_mid_reduced
986,ac19_986,YYXXXyx,YYXXYXyXX,non_bs_short_reduced
1375,ac19_1375,YXXyXYx,YYxyXyXYXYX,non_bs_short_reduced
1430,ac19_1430,YXXyXyx,YYYxxxxyx,non_bs_short_reduced
1518,ac19_1518,YYXXyxx,YXYXyXYxx,non_bs_short_reduced
1595,ac19_1595,YYXyxxxxyyX,YYXyXXYYXyxxyX,non_bs_long_reduced
1715,ac19_1715,YXXXYxx,YYYXYXXyxyyxx,non_bs_mid_reduced
1725,ac19_1725,YYXXXXYxyxx,YYXXXXyxxxx,non_bs_long_reduced
1837,ac19_1837,YXXyXyx,YYxyXyxxYX,non_bs_short_reduced
2513,ac19_2513,YYXXXYX,YYYXyXXyxx,non_bs_short_reduced
2671,ac19_2671,YXXYxYxx,YYXXXXyxxxx,non_bs_mid_reduced
2696,ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,non_bs_long_reduced
2715,ac19_2715,YXYXXYx,YYxYxyXYXyX,non_bs_short_reduced
2744,ac19_2744,YXyxYXXyx,YYXYXyxYXyXyX,non_bs_long_reduced
2748,ac19_2748,YXXYxYxx,YYXyxYYxxYX,non_bs_mid_reduced
3797,ac19_3797,YYXXYx,YYYxyXYxyyX,non_bs_short_reduced
4433,ac19_4433,YXXyXyx,YYYxyXYxxyyX,non_bs_mid_reduced
4740,ac19_4740,YXXYxxyxx,YYxxyXYXyx,non_bs_mid_reduced
4974,ac19_4974,YYXXYYxyX,YYXXYYXXYx,non_bs_mid_reduced
5174,ac19_5174,YXXyXYx,YYXXXYXXyxx,non_bs_short_reduced
5230,ac19_5230,YXXyXyx,YYxxYYxxyx,non_bs_short_reduced
5535,ac19_5535,YXyxYXXyx,YYXXXyxYXyXyyX,non_bs_long_reduced
5542,ac19_5542,YYXXXYx,YXYxYxYXXXX,non_bs_short_reduced
5593,ac19_5593,YXXyXyx,YYXyxyXXyX,non_bs_short_reduced
5622,ac19_5622,YXYXyXYxx,YYxxyXYXyX,non_bs_mid_reduced
5981,ac19_5981,YXXYxxyX,YYYXXyxyx,non_bs_short_reduced
6512,ac19_6512,YXyxYXXyx,YYXyXyXYXYXyx,non_bs_long_reduced
6618,ac19_6618,YXXXYxx,YYYXYYYXYX,non_bs_short_stuck
6847,ac19_6847,YYXXXXYX,YYXXYXyyx,non_bs_short_reduced
6939,ac19_6939,YYXXXYX,YYYYXXyxyXX,non_bs_short_reduced
7248,ac19_7248,YYXXXXX,YXYxYXXyXyx,non_bs_short_reduced
7301,ac19_7301,YXXYxYxx,YYXyxYXyx,non_bs_short_stuck
7302,ac19_7302,YXXXXyXyx,YYYxxyxxyX,non_bs_mid_reduced
8412,ac19_8412,YYXXyxx,YYXYxxYXyx,non_bs_short_reduced
8721,ac19_8721,YXXYXXyx,YXXXyXXYx,non_bs_short_reduced
8792,ac19_8792,YXXyXyxx,YYXYxxyxYxx,non_bs_mid_reduced
9041,ac19_9041,YYXYXXXyx,YYYYXyyXyx,non_bs_mid_reduced
9822,ac19_9822,YYXXXXYX,YYYXXyxyX,non_bs_short_reduced
10083,ac19_10083,YXYxYXXYx,YYXyyxYXyyx,non_bs_mid_stuck
10327,ac19_10327,YYYXXXXyyx,YYYYxxyyyXyyx,non_bs_long_reduced
10460,ac19_10460,YXXXXyXYx,YXXyxxxxyx,non_bs_mid_reduced
10617,ac19_10617,YXXXyXXYx,YXyxxYXXXX,non_bs_mid_reduced
10683,ac19_10683,YXyxYXXyx,YYXXYxyXYxyXyX,non_bs_long_reduced
10822,ac19_10822,YYXXYXyxx,YXyXXYxxx,non_bs_short_reduced
10990,ac19_10990,YXXYXXyx,YYXXYxxyXyX,non_bs_mid_reduced
11074,ac19_11074,YYXXXXyx,YYXXXYXyX,non_bs_short_reduced
11120,ac19_11120,YXXYxxyX,YYXXyXYxx,non_bs_short_reduced
11495,ac19_11495,YXyxYXXyx,YYXyxYXyxyxYx,non_bs_long_reduced
11628,ac19_11628,YXXyXYx,YYxyXXXX,non_bs_short_stuck
11852,ac19_11852,YYXYxxxYX,YYXyxYXyx,non_bs_short_stuck
11931,ac19_11931,YYXXXyx,YYYXYXyyX,non_bs_short_reduced
11953,ac19_11953,YXXXyXyX,YYxxYxxyxyX,non_bs_mid_reduced
12070,ac19_12070,YYXXyx,YYYYxyXXyxyXX,non_bs_mid_reduced
12445,ac19_12445,YYXXYx,YYYxyyxyXyX,non_bs_short_stuck
12586,ac19_12586,YYXXyx,YYXXXYxYXXX,non_bs_short_reduced
12596,ac19_12596,YXXyXyx,YYxxxyxYX,non_bs_short_reduced
12854,ac19_12854,YXyXYxx,YYYXYYxyX,non_bs_short_reduced
13142,ac19_13142,YYXXXYx,YYxyXYX,non_bs_short_stuck
13840,ac19_13840,YYXXyXyyx,YYxxyxxYx,non_bs_short_stuck
13890,ac19_13890,YXXXYxx,YYXXYYxyX,non_bs_short_reduced
14385,ac19_14385,YYXXXyxyx,YYXXXyXyyX,non_bs_mid_reduced
14409,ac19_14409,YYXXXXXXyx,YXXXXXyxxxxxx,bs_stalled_lo
14424,ac19_14424,YXyxYXXyx,YYXyXyXYXYxyX,non_bs_long_reduced
14550,ac19_14550,YYXXYxxyXyx,YYxYXYYxYXYx,non_bs_long_reduced
14569,ac19_14569,YYXXyxx,YYXXXYYxyx,non_bs_short_reduced
14905,ac19_14905,YXXyXyxx,YYxYxyxxxYX,non_bs_mid_reduced
15027,ac19_15027,YXyxYXXyx,YYXyxYXYXyXyX,non_bs_long_reduced
15189,ac19_15189,YXyxYXXyx,YYXyXyxYXXX,non_bs_mid_reduced
15216,ac19_15216,YXyxYXXyx,YYYXyyXXYxyX,non_bs_mid_reduced
15507,ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,non_bs_mid_reduced
15540,ac19_15540,YXXYXXyx,YXXXXXXXXyxYxxx,non_bs_long_reduced
15866,ac19_15866,YXXXyXYx,YXyxxxyxx,non_bs_short_reduced
16166,ac19_16166,YXXyXyx,YYxxxxxyXX,non_bs_short_reduced
16286,ac19_16286,YYXXXXyx,YYXXXYXXyXX,non_bs_mid_reduced
16371,ac19_16371,YXXXYxx,YYYXYYXXyxxYX,non_bs_mid_reduced
16657,ac19_16657,YXyxYXXyx,YYYXyyXYxyXX,non_bs_mid_reduced
16878,ac19_16878,YXyxYXXyx,YYXyxYXyyXXyX,non_bs_long_reduced
16980,ac19_16980,YYXXYxYXXYx,YYYXXYxYXyyxxyX,non_bs_long_reduced
17131,ac19_17131,YYXXXyX,YYYXyyXX,non_bs_short_reduced
17204,ac19_17204,YXXXyxYx,YXYxyXXYxyX,non_bs_mid_stuck
17343,ac19_17343,YYYXXXXyyx,YYYYXXyyyyx,non_bs_mid_reduced
