name,r1,r2,start_total_10m,min_total_10m
aca_36,YYXyXyx,YYxyxxyxYx,18,17
aca_55,YYXYxxyyx,YYxxxyXyX,19,18
aca_78,YYXyxYx,YYxxxyxyXYXX,21,19
aca_88,YYYXyyxYx,YYYxxxyXXXyx,23,21
aca_99,YYYXYXyyX,YYYXyXXXXyxxx,25,22
aca_100,YYYXyyxYx,YYXXXyxxxxyyX,25,22
aca_105,YYYXYXyyX,YYYXyyxxyXXXXYx,25,24
aca_106,YYYXyyxYx,YYYxxYXXXXyxyyx,25,24
aca_107,YXyXXYxxx,YYYYYYYxxYXXX,25,22
aca_109,YYXXyxYxxyX,YYYYYYXXXYxx,25,23
aca_111,YYXXYxyxxyX,YYYYYYXXXyxx,25,23
aca_110,YXXYxxxyX,YYYYYYYxxyXXX,25,22
aca_113,YXXYxxxyX,YYYYYYYYxxxYXX,25,23
aca_114,YXyXXYxxx,YYYYYYYYxxxyXX,25,23
