name,r1,r2,mu_in,mu_out,n_hops
aca_34,YXXXYxx,YYYYYXyyyyx,18,16,2
aca_36,YYXYYXXyX,YYXyxYXXX,18,16,4
aca_43,YXXYxYxxx,YYXyyXXyxx,19,18,2
aca_44,YYXXXyxx,YYYYYXXyXyx,19,18,2
aca_55,YXXXyXYx,YYxyxYXXyyX,19,18,7
aca_58,YXXXYxx,YYYYYYXyyyyyx,20,17,2
aca_66,YYXXXYxx,YYYYYYxyyyyyX,21,20,7
aca_67,YYXXXyxx,YYYYYYxyyyyyX,21,20,5
aca_71,YXXXyXyxx,YYYxyyXXXyx,20,19,6
aca_72,YXXYxYxxx,YYYxyyXXYxx,20,18,2
aca_78,YYXXyx,YYYYYYYXyXyxyXX,21,19,7
aca_80,YXXXXyxxYx,YXYxYXyxyXX,21,19,3
aca_81,YXXXYxx,YYYYYYYXyyyyyyx,22,18,2
aca_85,YXXXyxx,YYYYYYYXyyyyyyx,22,18,2
aca_87,YYXXXYxx,YYYYYYYXyyyyyyx,23,20,6
aca_88,YYXXXyxx,YYYYYXXYxyXyXyx,23,19,5
aca_90,YYXXXyxx,YYYYYYYXyyyyyyx,23,20,4
aca_95,YXXYxYxxx,YYYXyyyXXyxx,21,19,2
aca_97,YXXXYxx,YYYYYYYYXyyyyyyyx,24,19,2
aca_98,YXXXyxx,YYYYYYYYXyyyyyyyx,24,19,2
aca_99,YYXXXYxx,YYYYYYYYXyyyyyyyx,25,19,3
aca_100,YYXXXyxx,YYYYYYYXXyXyXyXyx,25,20,9
aca_105,YYXXXYxx,YYYYYYYYxyyyyyyyX,25,21,7
aca_106,YYXXXyxx,YYYYYYYYxyyyyyyyX,25,21,5
aca_107,YXXyXyxx,YYYYYYYYxyyyyyyyX,25,22,6
aca_108,YXXYxxyx,YYYYYYYYXyyyyyyyx,25,24,5
aca_109,YXXYxxyX,YYYYYYYYxyyyyyyyX,25,23,6
aca_110,YXXYxYxx,YYYYYYYYxyyyyyyyX,25,22,6
aca_111,YXXYxxyx,YYYYYYYYxyyyyyyyX,25,24,5
aca_112,YXXYxxyX,YYYYYYYYXyyyyyyyx,25,24,5
aca_113,YXXYxYxx,YYYYYYYYXyyyyyyyx,25,23,5
aca_114,YXXyXyxx,YYYYYYYYXyyyyyyyx,25,23,5
aca_120,YXXXYxx,YYYYXyyyx,16,15,2
aca_121,YXXXyxx,YYYYXyyyx,16,15,2
aca_122,YXXXyxx,YYYYYXyyyyx,18,16,2
aca_123,YXXXyxx,YYYYYYXyyyyyx,20,17,2
