name,solved_at_intermediate,archival_initial_length,starting_best_length,best_length,strict_length_improvement,certificates_checked,elementary_steps,multiplications,prepared_frames_complete,boundary_compiler_complete,critical_pairs_complete,best_elementary_moves
aca_0,False,18,18,18,False,34,49012,502,True,True,,0
aca_1,False,15,15,15,False,46,2812,124,True,True,True,0
aca_2,False,16,16,16,False,44,3909,142,True,True,,0
aca_3,False,17,17,17,False,39,35673,461,True,True,,0
aca_4,False,18,18,18,False,44,11487,219,True,True,,0
aca_5,False,19,19,19,False,52,30935,387,True,True,True,0
aca_6,False,19,19,19,False,44,52324,350,True,True,,0
aca_7,False,16,16,16,False,38,45306,448,True,True,,0
aca_8,False,15,15,15,False,44,1510,96,True,True,,0
aca_9,False,15,15,15,False,46,2216,96,True,True,True,0
aca_10,False,15,15,15,False,44,2654,110,True,True,,0
aca_11,False,15,15,15,False,44,2128,108,True,True,,0
aca_12,False,15,15,15,False,44,2750,116,True,True,,0
aca_13,False,16,16,16,False,46,6717,160,True,True,True,0
aca_14,False,15,15,15,False,56,4873,205,True,True,,0
aca_15,False,17,17,17,False,44,6127,175,True,True,,0
aca_16,False,17,17,17,False,44,7794,192,True,True,,0
aca_17,False,17,17,17,False,44,4020,128,True,True,,0
aca_18,False,17,17,17,False,44,12946,296,True,True,,0
aca_19,False,17,17,17,False,44,4788,166,True,True,,0
aca_20,False,17,17,17,False,44,4320,174,True,True,,0
aca_21,False,17,17,17,False,44,9458,214,True,True,,0
aca_22,False,17,17,17,False,44,10932,238,True,True,,0
aca_23,False,17,17,17,False,44,11204,198,True,True,,0
aca_24,False,17,17,17,False,56,2650,132,True,True,,0
aca_25,False,17,17,17,False,44,12810,222,True,True,,0
aca_26,False,17,17,17,False,44,6680,158,True,True,,0
aca_27,False,17,17,17,False,44,6843,173,True,True,,0
aca_28,False,17,17,17,False,44,3988,128,True,True,,0
aca_29,False,17,17,17,False,55,15542,359,True,True,,0
aca_30,False,17,17,17,False,52,19335,378,True,True,True,0
aca_31,False,17,17,17,False,44,6872,212,True,True,,0
aca_32,False,17,17,17,False,48,18876,296,True,True,,0
aca_33,False,17,17,17,False,44,4186,138,True,True,,0
aca_34,False,18,16,16,False,44,6194,212,True,True,,0
aca_35,False,18,18,18,False,44,12825,249,True,True,,0
aca_36,False,18,16,16,False,35,54148,479,True,True,,0
aca_37,False,19,19,19,False,44,3384,104,True,True,,0
aca_38,False,19,19,19,False,44,3880,160,True,True,,0
