name,archival_initial_length,saved_rank2_length,phase_initial_length,best_length,best_rank,phase_gain,solved,witness_file,witness_pointer,witness_prefix_events
aca_0,18,18,18,18,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/0,
aca_1,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/1,
aca_2,16,16,16,16,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/2,
aca_3,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/3,
aca_4,18,18,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/4,
aca_5,19,19,18,17,3,1,False,aut_collect_pilot21.json,#/rows/0,3
aca_6,19,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/6,
aca_7,16,16,15,15,3,0,False,../rank_unbounded_20260912/all124.json,observed_pilot.json#/rows/0/best_witness,
aca_8,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/8,
aca_9,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/9,
aca_10,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/10,
aca_11,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/11,
aca_12,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/12,
aca_13,16,16,15,15,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/13,
aca_14,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/14,
aca_15,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/15,
aca_16,17,17,15,15,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/16,
aca_17,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/17,
aca_18,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/18,
aca_19,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/19,
aca_20,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/20,
aca_21,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/21,
aca_22,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/22,
aca_23,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/23,
aca_24,17,17,15,15,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/24,
aca_25,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/25,
aca_26,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/26,
aca_27,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/27,
aca_28,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/28,
aca_29,17,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/29,
aca_30,17,17,16,16,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/29/best_witness,
aca_31,17,17,16,16,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/30/best_witness,
aca_32,17,17,16,16,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/32,
aca_33,17,17,16,16,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/33,
aca_34,18,16,16,16,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/34,
aca_35,18,18,18,18,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/35,
aca_36,18,16,15,15,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/35/best_witness,
aca_37,19,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/37,
aca_38,19,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/38,
aca_39,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/39,
aca_40,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/40,
aca_41,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/41,
aca_42,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/42,
aca_43,19,18,17,16,3,1,False,aut_collect_pilot21.json,#/rows/1,3
aca_44,19,18,17,16,3,1,False,aut_collect_pilot21.json,#/rows/2,2
aca_45,19,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/45,
aca_46,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/46,
aca_47,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/47,
aca_48,19,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/48,
aca_49,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/49,
aca_50,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/50,
aca_51,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/51,
aca_52,19,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/52,
aca_53,18,18,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/53,
aca_54,19,19,16,16,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/54,
aca_55,19,18,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/55,
aca_56,19,19,18,17,3,1,False,aut_collect_pilot21.json,#/rows/3,3
aca_57,19,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/56/best_witness,
aca_58,20,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/58,
aca_59,20,20,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/59,
aca_60,20,20,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/60,
aca_61,20,20,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/61,
aca_62,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/62,
aca_63,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/63,
aca_64,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/64,
aca_65,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/65,
aca_66,21,20,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/66,
aca_67,21,20,19,18,3,1,False,aut_collect_pilot21.json,#/rows/4,2
aca_68,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/68,
aca_69,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/69,
