name,retained_source_rank,retained_source_total,retained_source_max_relator,retained_rank,retained_total,retained_max_relator,new_definitions
aca_0,2,18,11,9,27,3,7
aca_1,2,15,8,8,24,3,6
aca_2,2,16,9,8,24,3,6
aca_3,2,17,10,9,27,3,7
aca_4,3,17,8,10,30,3,7
aca_5,3,17,8,10,30,3,7
aca_6,3,17,8,9,27,3,6
aca_7,3,15,6,9,27,3,6
aca_8,2,15,8,7,21,3,5
aca_9,2,15,8,8,24,3,6
aca_10,2,15,8,8,24,3,6
aca_11,2,15,8,8,24,3,6
aca_12,2,15,8,7,21,3,5
aca_13,3,15,5,7,21,3,4
aca_14,2,15,8,8,24,3,6
aca_15,2,17,9,9,27,3,7
aca_16,3,15,6,8,24,3,5
aca_17,2,17,9,9,27,3,7
aca_18,2,17,9,9,27,3,7
aca_19,2,17,9,9,27,3,7
aca_20,2,17,9,9,27,3,7
aca_21,2,17,9,8,24,3,6
aca_22,2,17,9,8,24,3,6
aca_23,2,17,9,9,27,3,7
aca_24,3,15,5,8,24,3,5
aca_25,2,17,9,9,27,3,7
aca_26,2,17,9,9,27,3,7
aca_27,2,17,9,9,27,3,7
aca_28,2,17,9,9,27,3,7
aca_29,2,17,10,9,27,3,7
aca_30,3,16,7,9,27,3,6
aca_31,3,16,7,9,27,3,6
aca_32,3,16,7,8,24,3,5
aca_33,3,16,7,9,27,3,6
aca_34,2,16,9,9,27,3,7
aca_35,2,18,11,10,30,3,8
aca_36,3,15,6,8,24,3,5
aca_37,3,17,7,9,27,3,6
aca_38,3,17,7,9,27,3,6
aca_39,3,18,8,9,27,3,6
aca_40,3,18,8,10,30,3,7
aca_41,3,18,8,9,27,3,6
aca_42,3,18,8,9,27,3,6
aca_43,3,16,6,8,24,3,5
aca_44,3,16,7,8,24,3,5
aca_45,3,17,8,8,24,3,5
aca_46,3,18,8,9,27,3,6
aca_47,3,18,8,9,27,3,6
aca_48,3,17,8,9,27,3,6
aca_49,3,18,8,9,27,3,6
aca_50,3,18,8,9,27,3,6
aca_51,3,18,8,9,27,3,6
aca_52,3,18,8,9,27,3,6
aca_53,3,17,9,10,30,3,7
aca_54,3,16,7,8,24,3,5
aca_55,3,17,6,9,27,3,6
aca_56,3,17,7,8,24,3,5
aca_57,3,17,7,9,27,3,6
aca_58,2,17,10,9,27,3,7
aca_59,3,17,8,9,27,3,6
aca_60,3,18,9,10,30,3,7
aca_61,3,18,9,9,27,3,6
aca_62,3,19,8,11,33,3,8
aca_63,3,19,8,10,30,3,7
aca_64,3,19,8,11,33,3,8
aca_65,3,19,8,11,33,3,8
aca_66,3,18,7,10,30,3,7
aca_67,3,18,7,10,30,3,7
aca_68,3,19,8,10,30,3,7
aca_69,3,19,8,10,30,3,7
aca_70,3,19,8,10,30,3,7
aca_71,3,17,7,9,27,3,6
aca_72,3,16,7,8,24,3,5
aca_73,3,19,8,10,30,3,7
aca_74,3,19,8,11,33,3,8
aca_75,3,18,9,10,30,3,7
aca_76,3,19,10,10,30,3,7
aca_77,3,19,10,9,27,3,6
aca_78,3,18,9,10,30,3,7
aca_79,3,17,6,8,24,3,5
aca_80,3,16,6,9,27,3,6
aca_81,3,17,7,10,30,3,7
aca_82,3,19,9,10,30,3,7
aca_83,3,19,10,10,30,3,7
aca_84,3,19,10,10,30,3,7
aca_85,3,17,7,10,30,3,7
aca_86,3,19,8,10,30,3,7
aca_87,3,18,7,10,30,3,7
aca_88,3,17,7,9,27,3,6
aca_89,3,19,8,10,30,3,7
aca_90,3,18,7,9,27,3,6
aca_91,3,19,8,10,30,3,7
aca_92,3,19,8,10,30,3,7
aca_93,3,19,8,11,33,3,8
aca_94,3,19,8,10,30,3,7
aca_95,3,17,7,9,27,3,6
aca_96,3,19,8,10,30,3,7
aca_97,3,18,8,10,30,3,7
aca_98,3,18,8,10,30,3,7
aca_99,3,17,8,10,30,3,7
aca_100,3,18,7,10,30,3,7
aca_101,3,20,8,11,33,3,8
aca_102,3,20,8,10,30,3,7
aca_103,3,20,8,12,36,3,9
aca_104,3,20,8,12,36,3,9
aca_105,3,19,8,10,30,3,7
aca_106,3,19,8,10,30,3,7
aca_107,3,20,11,10,30,3,7
aca_108,3,21,10,11,33,3,8
aca_109,3,20,10,10,30,3,7
aca_110,3,20,11,11,33,3,8
aca_111,3,20,10,11,33,3,8
aca_112,3,21,10,11,33,3,8
aca_113,3,20,8,9,27,3,6
aca_114,3,20,8,10,30,3,7
aca_115,2,13,7,7,21,3,5
aca_116,2,14,7,8,24,3,6
aca_117,2,14,7,8,24,3,6
aca_118,2,15,8,7,21,3,5
aca_119,2,16,9,8,24,3,6
aca_120,2,15,8,8,24,3,6
aca_121,2,15,8,9,27,3,7
aca_122,2,16,9,9,27,3,7
aca_123,2,17,10,10,30,3,8
