id,archival_initial_length,best_known_input_length,best_certified_ordinary_ac_length,best_certified_stable_ac_length,max_stable_rank_used,solved,route_theorem,certificate_status,r1_best,r2_best,r1_initial,r2_initial,n_members,abelian_det_best,exp_r1_best,exp_r2_best,one_occurrence_best,two_block_both_best,bs_mm1_donor_best,bs_m,ms_floor_shape,leftover_10m_observed_min_total,leftover_10m_observed_is_certified,reduce_kind
aca_0,18,18,18,,,unsolved,none,no_certificate,YXXyxYx,YYYYYYXyxyX,YXXyxYx,YYYYYYXyxyX,8,-1,"0,-1","-1,-4",0,0,0,,,,no,none
aca_1,15,15,15,,,unsolved,none,no_certificate,YYXXyxx,YYYxyXyX,YYXXyxx,YYYxyXyX,6,-1,"0,-1","-1,-1",0,0,0,,,,no,none
aca_2,16,16,16,,,unsolved,none,no_certificate,YXXyXyx,YYYXyyyxx,YXXyXyx,YYYXyyyxx,5,-1,"-2,1","1,0",0,0,0,,,,no,none
aca_3,17,17,17,,,unsolved,none,no_certificate,YXXyxYx,YYYYYxyxyX,YXXyxYx,YYYYYxyxyX,4,1,"0,-1","1,-3",0,0,0,,,,no,none
aca_4,18,18,18,,,unsolved,none,no_certificate,YYXXXyx,YYxyxyXyXYX,YYXXXyx,YYxyxyXyXYX,4,-1,"-2,-1","-1,0",0,0,0,,,,no,none
aca_5,19,19,19,,,unsolved,none,no_certificate,YYXXXyX,YYYxyXyxyxyx,YYXXXyX,YYYxyXyxyxyx,4,-1,"-4,-1","3,1",0,0,0,,,,no,none
aca_6,19,19,19,,,unsolved,none,no_certificate,YYXXyxxyx,YXXXXXyxYx,YYXXyxxyx,YXXXXXyxYx,4,-1,"1,0","-3,-1",0,0,0,,,,no,none
aca_7,16,16,16,,,unsolved,none,no_certificate,YYXXyxx,YYYYxYXYX,YYXXyxx,YYYYxYXYX,3,-1,"0,-1","-1,-6",0,0,0,,,,no,none
aca_8,15,15,15,,,unsolved,none,no_certificate,YXyXYxx,YYXYXyyx,YXyXYxx,YYXYXyyx,2,-1,"0,-1","-1,-1",0,0,0,,,,no,none
aca_9,15,15,15,,,unsolved,none,no_certificate,YXXXyxx,YYYXXyyX,YXXXyxx,YYYXXyyX,2,1,"-1,0","-3,-1",0,0,1,2,,,no,none
aca_10,15,15,15,,,unsolved,none,no_certificate,YXXXyxx,YYXYXyyX,YXXXyxx,YYXYXyyX,2,1,"-1,0","-3,-1",0,0,1,2,,,no,none
aca_11,15,15,15,,,unsolved,none,no_certificate,YXXXyxx,YYYXyxyx,YXXXyxx,YYYXyxyx,2,1,"-1,0","1,-1",0,0,1,2,,,no,none
aca_12,15,15,15,,,unsolved,none,no_certificate,YXXXyxx,YYXYxyyX,YXXXyxx,YYXYxyyX,2,1,"-1,0","-1,-1",0,0,1,2,,,no,none
aca_13,16,16,16,,,unsolved,none,no_certificate,YYXXYYx,YXXXyxxYx,YYXXYYx,YXXXyxxYx,2,1,"-1,-4","0,-1",0,0,0,,,,no,none
aca_14,15,15,15,,,unsolved,none,no_certificate,YXXyXyx,YYYXyyxx,YXXyXyx,YYYXyyxx,2,1,"-2,1","1,-1",0,0,0,,,,no,none
aca_15,17,17,17,,,unsolved,none,no_certificate,YXXyXyxx,YYYYxyyyX,YXXyXyxx,YYYYxyyyX,2,1,"-1,1","0,-1",0,0,1,3,,,no,none
aca_16,17,17,17,,,unsolved,none,no_certificate,YYXXXyxx,YXyxxyXYx,YYXXXyxx,YXyxxyXYx,2,1,"-1,-1","1,0",0,0,0,,,,no,none
aca_17,17,17,17,,,unsolved,none,no_certificate,YXXXYxYx,YYYYXyyyx,YXXXYxYx,YYYYXyyyx,2,1,"-1,-3","0,-1",0,0,1,3,,,no,none
aca_18,17,17,17,,,unsolved,none,no_certificate,YXXXyxYx,YYYYxyyyX,YXXXyxYx,YYYYxyyyX,2,1,"-1,-1","0,-1",0,0,1,3,,,no,none
aca_19,17,17,17,,,unsolved,none,no_certificate,YXyXYxxx,YYYYXyyyx,YXyXYxxx,YYYYXyyyx,2,-1,"1,-1","0,-1",0,0,1,3,,,no,none
aca_20,17,17,17,,,unsolved,none,no_certificate,YXXXyxYx,YYYYXyyyx,YXXXyxYx,YYYYXyyyx,2,1,"-1,-1","0,-1",0,0,1,3,,,no,none
aca_21,17,17,17,,,unsolved,none,no_certificate,YXXYxxyX,YYYYxyyyX,YXXYxxyX,YYYYxyyyX,2,1,"-1,-1","0,-1",0,0,1,3,,,no,none
aca_22,17,17,17,,,unsolved,none,no_certificate,YXXYxxyx,YYYYxyyyX,YXXYxxyx,YYYYxyyyX,2,-1,"1,-1","0,-1",0,0,1,3,,,no,none
aca_23,17,17,17,,,unsolved,none,no_certificate,YXXYxxyx,YYYYXyyyx,YXXYxxyx,YYYYXyyyx,2,-1,"1,-1","0,-1",0,0,1,3,,,no,none
aca_24,17,17,17,,,unsolved,none,no_certificate,YYXXXYxx,YYYXXYXYx,YYXXXYxx,YYYXXYXYx,2,-1,"-1,-3","-2,-5",0,0,0,,,,no,none
aca_25,17,17,17,,,unsolved,none,no_certificate,YXXYxxyX,YYYYXyyyx,YXXYxxyX,YYYYXyyyx,2,1,"-1,-1","0,-1",0,0,1,3,,,no,none
aca_26,17,17,17,,,unsolved,none,no_certificate,YXXYxYxx,YYYYxyyyX,YXXYxYxx,YYYYxyyyX,2,-1,"1,-3","0,-1",0,0,1,3,,,no,none
aca_27,17,17,17,,,unsolved,none,no_certificate,YXXyXyxx,YYYYXyyyx,YXXyXyxx,YYYYXyyyx,2,1,"-1,1","0,-1",0,0,1,3,,,no,none
aca_28,17,17,17,,,unsolved,none,no_certificate,YXXYxYxx,YYYYXyyyx,YXXYxYxx,YYYYXyyyx,2,-1,"1,-3","0,-1",0,0,1,3,,,no,none
aca_29,17,17,17,,,unsolved,none,no_certificate,YYXXXyx,YYxxyxyXyX,YYXXXyx,YYxxyxyXyX,2,-1,"-2,-1","1,1",0,0,0,,,,no,none
