representation,preproc,metric,algorithm,k,ari,nmi,bal_acc
all,z+pca10,cosine,complete,4,0.3183746711519745,0.29692951077002844,0.8116825290810931
all,z+pca10,cosine,complete,2,0.31716244602086174,0.36727043112455626,0.8119051594590081
all,z+pca10,cosine,complete,3,0.3152591741117643,0.3278990981969377,0.8119051594590081
ring_dual,z,cosine,spectral,3,0.31138717742862376,0.29118849511928946,0.809929314855012
ring_dual,z,correlation,spectral,3,0.3054967101602744,0.2691069898051224,0.8073690655089887
ring_dual,z+pca10,cosine,spectral,3,0.30355496579432106,0.2805667004189933,0.8067846607669616
ring_autocorr,z+pca10,cosine,spectral,3,0.2967692882461045,0.2752662291618324,0.800495352590861
knots,z,euclidean,ward,2,0.2924858335681343,0.21312970579531673,0.7589469583124617
knots,z+pca10,euclidean,ward,2,0.2924858335681343,0.21312970579531673,0.7589469583124617
ring_autocorr,z,cosine,spectral,3,0.28257579842783315,0.2559041837659758,0.7973506985028107
ring_dual,z,euclidean,spectral,3,0.28068834589680697,0.2595725207590606,0.7986308231758223
knots+ring,z,correlation,spectral,3,0.27896572548947907,0.2605749836634597,0.7929259197417488
knots+ring,z+pca10,cosine,spectral,3,0.2781380634905002,0.2819066713579474,0.7270551566761285
ring_dual_sym,z,cosine,average,3,0.2778812663474602,0.2843408396422129,0.7232147826570936
ring+whitehead+syll,z,correlation,spectral,3,0.27710643343857605,0.2578316951335351,0.795486169087772
knots+ring,z+pca10,cosine,ward,3,0.27530611960449763,0.23383711724485243,0.7795402682696053
ring_dual,z+pca10,euclidean,spectral,3,0.275112063040464,0.25638227241207295,0.795486169087772
all,z+pca10,correlation,spectral,3,0.2750671630663511,0.24986741642075633,0.7942060444147604
all,z,euclidean,spectral,3,0.27369317971373514,0.2400339785442101,0.7885011409806868
knots+ring,z,cosine,spectral,3,0.27162816344586027,0.2513521999741186,0.7910613903267101
ring_autocorr,z,correlation,spectral,3,0.271498678836026,0.24360026595855974,0.7885011409806868
ring_dual,z+pca10,euclidean,kmeans,3,0.2707530207982577,0.2373670209052347,0.7853564868926365
ring_dual,z+pca10,cosine,kmeans,3,0.2707530207982577,0.2373670209052347,0.7853564868926365
ring_dual,z+pca10,correlation,kmeans,3,0.2707530207982577,0.2373670209052347,0.7853564868926365
whitehead,z,correlation,ward,3,0.27046635510935757,0.22570056926553828,0.7328713752991596
ring_dual_sym,z+pca10,cosine,average,3,0.27018124942615346,0.2742693686566199,0.7187900038960316
ring+whitehead+syll,z,euclidean,spectral,3,0.26955130580781844,0.240863178461397,0.7897812656536984
ring+whitehead+syll,z+pca10,euclidean,spectral,3,0.26955130580781844,0.240863178461397,0.7897812656536984
ring_dual_sym,z,cosine,average,2,0.26925794920538,0.276435931094209,0.7853564868926365
syllable,z,euclidean,complete,4,0.26860060981014006,0.21597987605966507,0.7442811821673068
syllable,z+pca10,euclidean,complete,4,0.26860060981014006,0.21597987605966507,0.7442811821673068
ring+whitehead+syll,z+pca10,correlation,spectral,3,0.26835651568266333,0.26086674568367174,0.7879167362386598
ring_dual,z+pca10,euclidean,ward,3,0.2677016399228578,0.22596362428331004,0.7751154895085435
ring+whitehead+syll,z+pca10,cosine,spectral,3,0.26766477029980895,0.24401885076690372,0.7910613903267101
ring_dual,z,cosine,ward,3,0.2672563055220077,0.21640892100502884,0.7833806422886402
ring_dual,z,correlation,ward,3,0.2672563055220077,0.21640892100502884,0.7833806422886402
knots+ring,z+pca10,euclidean,ward,3,0.2669896698788626,0.21032733740939968,0.7795402682696053
all,z+pca10,euclidean,spectral,3,0.2661798402976955,0.230520456795845,0.7840763622196248
knots+ring,z,euclidean,spectral,3,0.26583276249868654,0.24267815982560176,0.7910613903267101
knots+ring,z+pca10,euclidean,spectral,3,0.26583276249868654,0.24267815982560176,0.7910613903267101
ring+whitehead+syll,z,cosine,spectral,3,0.26583276249868654,0.24267815982560176,0.7910613903267101
ring_dual_sym,z+pca10,cosine,spectral,3,0.2656344388984646,0.2774094792390341,0.7239105025880781
ring_autocorr,z,euclidean,spectral,3,0.26418632065244996,0.23531285631105123,0.7866366115656481
knots+ring,z,euclidean,kmeans,3,0.2630308719236335,0.22178690689590316,0.7348472199031558
knots+ring,z,cosine,kmeans,3,0.2630308719236335,0.22178690689590316,0.7348472199031558
knots+ring,z,correlation,kmeans,3,0.2630308719236335,0.22178690689590316,0.7348472199031558
ring+whitehead+syll,z,euclidean,complete,5,0.2624485706668938,0.26421988873106544,0.7872210163076752
all,z+pca10,cosine,spectral,3,0.2620844315139826,0.22742023816536688,0.7840763622196248
ring+whitehead+syll,z+pca10,euclidean,average,4,0.2617822410948738,0.30403269615440875,0.7168141592920354
knots+ring,z-length,cosine,spectral,3,0.26059030721718524,0.21129332154483063,0.7833806422886402
knots+ring,z-length,correlation,spectral,3,0.26059030721718524,0.21129332154483063,0.7833806422886402
all,z+pca10,euclidean,average,4,0.2599633995715316,0.2576684167533668,0.7878054210497022
knots+ring,z+pca10,correlation,spectral,3,0.2582074281339977,0.25935789147696564,0.7829075527355708
knots+ring,z+pca10,cosine,ward,4,0.2581175313026612,0.24325221397741426,0.7795402682696053
ring+whitehead+syll,z,cosine,average,4,0.25806516381365113,0.25224881094853013,0.7393833138531754
ring+whitehead+syll,z,correlation,average,4,0.25806516381365113,0.25224881094853013,0.7393833138531754
ring_dual,z+pca10,cosine,ward,4,0.25787986224617365,0.23810977364151303,0.7355429398341404
ring_autocorr,z+pca10,euclidean,spectral,3,0.25684184591924386,0.22550389691632067,0.7822118328045862
knots+ring,z+pca10,euclidean,kmeans,3,0.2567898042638473,0.22304950990019812,0.7809317081315745
knots+ring,z+pca10,cosine,kmeans,3,0.2567898042638473,0.22304950990019812,0.7809317081315745
knots+ring,z+pca10,correlation,kmeans,3,0.2567898042638473,0.22304950990019812,0.7809317081315745
all,z,cosine,spectral,3,0.2567898042638473,0.22304950990019806,0.7809317081315745
all,z,correlation,spectral,3,0.25672374089620714,0.21987969938110818,0.7796515834585629
ring+whitehead+syll,z,correlation,average,6,0.25649564018523513,0.29129643265284366,0.7461457115823454
ring+whitehead+syll,z,euclidean,kmeans,3,0.25576741282877763,0.21932525290149804,0.7752268046975009
ring+whitehead+syll,z,cosine,kmeans,3,0.25576741282877763,0.21932525290149804,0.7752268046975009
ring+whitehead+syll,z,correlation,kmeans,3,0.25576741282877763,0.21932525290149804,0.7752268046975009
ring+whitehead+syll,z,cosine,average,3,0.255667046521036,0.2865879607204993,0.7189013190849891
ring+whitehead+syll,z,correlation,average,3,0.255667046521036,0.2865879607204993,0.7189013190849891
ring_dual,z+pca10,cosine,ward,3,0.25548054498588435,0.27067876184399325,0.7150609450659542
ring+whitehead+syll,z+pca10,euclidean,average,3,0.25500601753732743,0.2542216227321786,0.7815161128736016
ring_autocorr,z+pca10,correlation,average,3,0.25489034426246593,0.26790688235590765,0.7073801970278845
knots,z,correlation,complete,2,0.25471942129696945,0.20985611946709884,0.7637056826403963
ring_dual,z,euclidean,kmeans,2,0.25440770034584886,0.2369550739530911,0.7726665553514778
ring_dual,z,cosine,kmeans,2,0.25440770034584886,0.2369550739530911,0.7726665553514778
ring_dual,z,correlation,kmeans,2,0.25440770034584886,0.2369550739530911,0.7726665553514778
kmer2,z,cosine,ward,2,0.2543307420746706,0.242021512326067,0.7739466800244893
ring_dual,z,euclidean,kmeans,3,0.25356901428488043,0.21438599867823374,0.7752268046975009
ring_dual,z,cosine,kmeans,3,0.25356901428488043,0.21438599867823374,0.7752268046975009
ring_dual,z,correlation,kmeans,3,0.25356901428488043,0.21438599867823374,0.7752268046975009
ring+whitehead+syll,z+pca10,euclidean,kmeans,3,0.25356901428488043,0.21438599867823374,0.7752268046975009
ring+whitehead+syll,z+pca10,cosine,kmeans,3,0.25356901428488043,0.21438599867823374,0.7752268046975009
ring+whitehead+syll,z+pca10,correlation,kmeans,3,0.25356901428488043,0.21438599867823374,0.7752268046975009
ring_dual,z-length,cosine,spectral,3,0.2534373799004942,0.20323896500647695,0.7789558635275784
ring+whitehead+syll,z-length,cosine,spectral,3,0.2534373799004942,0.20323896500647698,0.7789558635275784
all,z+pca10,euclidean,average,5,0.2533281505991772,0.22641851710481634,0.7878054210497022
knots+ring,z,euclidean,ward,4,0.2523028504656139,0.2253738186044175,0.7839650470306674
kmer4,z+pca10,correlation,average,3,0.25226026576219335,0.21095653715344764,0.771970835420493
kmer3,z+pca10,correlation,ward,3,0.25212516972635457,0.21090910278562885,0.7706907107474814
ring_dual,z,cosine,ward,4,0.24995719302590888,0.24036800344682163,0.7833806422886402
ring_dual,z,cosine,average,4,0.24995719302590888,0.24036800344682158,0.7833806422886402
ring_dual,z,correlation,ward,4,0.24995719302590888,0.24036800344682163,0.7833806422886402
ring_dual,z,correlation,average,4,0.24995719302590888,0.24036800344682155,0.7833806422886402
knots+ring,z,cosine,ward,4,0.249830240173093,0.22240597813238544,0.7795402682696053
