representation,preproc,metric,algorithm,k,ari,nmi,bal_acc
ring_autocorr,z,cosine,ward,2,0.5815350717454587,0.5219089618196461,0.877283756779903
all,z,correlation,ward,2,0.5686371435671747,0.47608168842139004,0.8748215815015701
ring+whitehead+syll,z+pca10,cosine,ward,3,0.5643544883570578,0.5284562002459309,0.9266343134456181
ring_autocorr,z+pca10,cosine,complete,2,0.5559055634691445,0.46148867667621546,0.870789323437054
all,z-length,euclidean,complete,3,0.5180080730232236,0.4450745939976172,0.8607622038252927
all,z-length,euclidean,complete,4,0.4710119948376617,0.4166232079405306,0.8607622038252927
all,z-length,euclidean,complete,5,0.4701527693694987,0.41153821192023726,0.8607622038252927
ring_autocorr,z,cosine,ward,3,0.45365499991252517,0.4380682757216938,0.877283756779903
all,z+pca10,euclidean,average,5,0.4504619040277244,0.41590304162005054,0.8917356551527262
ring_dual,z+pca10,euclidean,ward,3,0.4449244055613758,0.42192060544442134,0.8732514987153868
all,z,correlation,ward,3,0.4425686164446663,0.3938680270097987,0.8748215815015701
ring_dual_sym,z+pca10,correlation,ward,2,0.43647635964821974,0.3732504345502519,0.8351769911504425
letters,z,cosine,average,2,0.43645529702420216,0.35066795399475365,0.8328218669711676
letters,z,correlation,average,2,0.43645529702420216,0.35066795399475365,0.8328218669711676
letters,z+pca10,cosine,average,2,0.43645529702420216,0.35066795399475365,0.8328218669711676
all,z-length,euclidean,complete,6,0.4330528889844646,0.38802870175219206,0.8607622038252927
all,z+pca10,cosine,ward,3,0.4232460005631316,0.4129255961228268,0.8647944618898087
kmer4,z,euclidean,kmeans,3,0.41335879709160106,0.35646491347524134,0.8627248073080217
kmer4,z,cosine,kmeans,3,0.41335879709160106,0.35646491347524134,0.8627248073080217
kmer4,z,correlation,kmeans,3,0.41335879709160106,0.35646491347524134,0.8627248073080217
knots+ring,z,cosine,ward,4,0.40919532671782805,0.46106449274857875,0.930773622609192
ring_dual,z,cosine,ward,4,0.40768541150401316,0.47237690687694045,0.9348058806737083
ring+whitehead+syll,z+pca10,euclidean,ward,3,0.4043259132067395,0.3898388221113345,0.8555523836711391
ring_dual,z+pca10,correlation,spectral,2,0.4034707264181378,0.37003201862585444,0.8242577790465315
ring_dual,z+pca10,cosine,spectral,2,0.40346205633296334,0.3623738900401297,0.8238652583499857
kmer2,z,cosine,spectral,2,0.40341321604300856,0.3178148205603227,0.8191550099914359
kmer2,z,correlation,spectral,2,0.40341321604300856,0.3178148205603227,0.8191550099914359
ring_dual_sym,z,cosine,complete,2,0.40341321604300856,0.3178148205603227,0.8191550099914359
letters,z,cosine,average,3,0.40334312687375695,0.33339403382662486,0.8328218669711676
letters,z,correlation,average,3,0.40334312687375695,0.33339403382662486,0.8328218669711676
letters,z+pca10,cosine,average,3,0.40334312687375695,0.33339403382662486,0.8328218669711676
ring_autocorr,z+pca10,cosine,complete,3,0.4010360457255491,0.3902987847554247,0.870789323437054
knots+ring,z,correlation,ward,5,0.39518052482705524,0.4607383554495046,0.9348058806737083
ring_dual,z,correlation,ward,5,0.39297564631964615,0.4403069017518736,0.926741364544676
ring_autocorr,z,correlation,ward,2,0.39268689135718027,0.3074155265216437,0.8143377105338282
