pres_id,n_hop1,n_hop2,greedy_solved,greedy_nodes,greedy_tried,hop1_topk_solved,hop1_topk_nodes,hop1_topk_tried,hop2_topk_solved,hop2_topk_nodes,hop2_topk_tried,hop2_all_solved,hop2_all_nodes,hop2_all_tried,pooled_topk_solved,pooled_topk_nodes,pooled_topk_tried,hop1_caps,hop2_caps,wall_s
0,11,9,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1,24|24|24,24|24|24,2.5
496,110,9,True,4,1,True,3,1,True,3,1,True,3,1,True,3,1,31|31|31,31|31|31,0.05
521,143,9,True,5,1,True,3,1,True,3,1,True,3,1,True,3,1,33|33|33,33|33|33,0.08
323,46,9,True,7,1,True,18,1,True,3,1,True,6,1,True,3,1,29|25|25,25|25|25,0.07
228,43,9,True,9,1,True,4,1,True,3,1,True,3,1,True,3,1,24|24|25,24|24|24,0.02
455,85,9,True,10,1,True,3,1,True,3,1,True,3,1,True,3,1,27|28|28,27|27|27,0.05
77,43,9,True,11,1,True,8,1,True,6,1,True,6,1,True,6,1,25|25|25,24|24|25,0.02
43,36,9,True,13,1,True,7,1,True,4,1,True,4,1,True,4,1,24|24|24,24|25|25,0.02
141,40,9,True,12,1,True,10,1,True,13,1,True,13,1,True,13,1,27|27|27,25|25|25,0.03
48,32,9,True,18,1,True,9,1,True,6,1,True,6,1,True,6,1,26|25|24,25|27|27,0.03
155,36,9,True,18,1,True,10,1,True,13,1,True,8,1,True,13,1,27|24|26,25|25|25,0.03
505,133,9,True,34,1,True,32,1,True,33,1,True,32,1,True,33,1,31|31|31,31|31|31,0.14
247,55,9,True,46,1,True,14,1,True,9,1,True,9,1,True,9,1,24|24|24,24|24|24,0.04
217,43,9,True,57,1,True,9,1,True,9,1,True,9,1,True,9,1,24|25|25,24|24|24,0.05
201,48,9,True,61,1,True,10,1,True,11,1,True,32,1,True,11,1,27|28|30,25|25|25,0.08
288,48,9,True,106,1,True,12,1,True,12,1,True,11,1,True,12,1,28|24|25,24|25|27,0.09
367,70,9,True,83,1,True,1025,2,True,11,1,True,3012,4,True,11,1,35|34|25,25|27|27,9.03
331,65,9,True,93,1,True,11,1,True,9,1,True,11,1,True,9,1,33|31|25,25|25|25,0.1
203,49,9,True,116,1,True,33,1,True,9,1,True,12,1,True,9,1,25|25|27,24|24|25,0.09
265,52,9,True,121,1,True,62,1,True,12,1,True,12,1,True,12,1,26|28|25,24|24|25,0.11
579,109,9,True,366,1,True,16,1,True,11,1,True,11,1,True,11,1,29|39|41,29|29|29,0.5
327,58,9,True,273,1,True,97,1,True,24,1,True,24,1,True,24,1,25|31|29,25|25|25,0.3
333,65,9,True,313,1,True,22,1,True,22,1,True,22,1,True,22,1,25|25|25,25|25|25,0.24
380,63,9,True,381,1,True,22,1,True,22,1,True,22,1,True,22,1,25|27|27,25|25|25,0.3
546,90,9,True,398,1,True,15,1,True,14,1,True,15,1,True,14,1,37|35|27,27|27|27,0.55
548,91,9,True,661,1,True,16,1,True,16,1,True,16,1,True,16,1,27|27|27,27|27|27,0.59
533,69,9,True,438,1,True,1025,2,True,67,1,True,607,1,True,67,1,29|31|34,27|27|29,2.1
589,113,9,True,558,1,True,13,1,True,15,1,True,15,1,True,15,1,29|31|33,29|29|29,0.58
580,109,9,True,875,1,True,106,1,True,24,1,True,24,1,True,24,1,29|31|33,29|29|29,1.4
609,140,9,False,1000,1,True,110,1,True,110,1,True,110,1,True,110,1,31|31|31,31|31|31,1.3
538,85,9,False,1000,1,True,13,1,True,16,1,True,16,1,True,16,1,27|27|29,27|27|27,1.18
606,138,9,False,1000,1,True,19,1,True,17,1,True,17,1,True,17,1,31|31|33,31|31|31,1.77
544,89,9,False,1000,1,True,121,1,True,121,1,True,121,1,True,121,1,27|27|27,27|27|27,1.4
549,89,9,False,1000,1,True,297,1,True,128,1,True,128,1,True,128,1,27|37|27,27|27|27,1.52
543,85,9,False,1000,1,True,296,1,True,121,1,True,296,1,True,121,1,39|27|28,27|27|27,1.59
565,109,9,False,1000,1,True,626,1,True,626,1,True,626,1,True,626,1,29|29|29,29|29|29,2.77
602,134,9,False,1000,1,True,37,1,True,110,1,True,110,1,True,110,1,31|31|31,31|31|31,1.63
632,169,9,False,1000,1,True,39,1,True,109,1,True,109,1,True,109,1,33|33|33,33|33|33,1.55
573,109,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,29|39|41,29|29|29,19.08
586,109,9,False,1000,1,False,3000,3,True,615,1,True,615,1,True,615,1,29|39|37,29|29|29,7.79
581,109,9,False,1000,1,False,3000,3,True,631,1,True,631,1,True,631,1,29|31|37,29|29|29,7.39
575,113,9,False,1000,1,True,626,1,True,626,1,True,626,1,True,626,1,29|29|29,29|29|29,2.92
568,108,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,29|29|29,29|29|29,20.6
578,115,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,29|29|29,29|29|29,20.85
583,116,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,29|29|29,29|29|29,20.77
628,173,9,False,1000,1,True,396,1,True,410,1,True,436,1,True,410,1,33|33|33,33|33|33,2.89
633,173,9,False,1000,1,True,429,1,True,436,1,True,429,1,True,429,1,33|33|33,33|33|33,3.14
596,138,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,31|31|31,31|31|31,17.43
605,142,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,31|31|31,31|31|31,17.25
610,141,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,31|31|31,31|31|31,18.24
625,169,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,21.63
622,169,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,21.52
624,169,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,21.17
623,169,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,21.12
634,138,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,31|31|31,31|31|31,27.74
635,134,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,31|31|31,31|31|31,28.5
637,173,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,20.94
639,172,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,21.03
638,173,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,20.84
636,172,9,False,1000,1,False,3000,3,False,3000,3,False,9000,9,False,3000,3,33|33|33,33|33|33,21.27
