pres_id,bin,aut_class,n_cand,n_solving_cand,oracle,greedy_b1k,abel_solved,abel_first_solve,abel_deployed,abel_len_lex_solved,abel_len_lex_first_solve,abel_len_lex_deployed,len_only_solved,len_only_first_solve,len_only_deployed,abel_mean_len_solved,abel_mean_len_first_solve,abel_mean_len_deployed,abel_len_mean_solved,abel_len_mean_first_solve,abel_len_mean_deployed,abel_min_len_solved,abel_min_len_first_solve,abel_min_len_deployed,abel_len_min_solved,abel_len_min_first_solve,abel_len_min_deployed,abel_min_solved,abel_min_first_solve,abel_min_deployed,abel_S_len_solved,abel_S_len_first_solve,abel_S_len_deployed,abel_len_S_solved,abel_len_S_first_solve,abel_len_S_deployed,abel_S_solved,abel_S_first_solve,abel_S_deployed,S_only_solved,S_only_first_solve,S_only_deployed,abel_s20mk2_solved,abel_s20mk2_first_solve,abel_s20mk2_deployed,abel_len_s20mk2_solved,abel_len_s20mk2_first_solve,abel_len_s20mk2_deployed,s20mk2_only_solved,s20mk2_only_first_solve,s20mk2_only_deployed
0,0,0,11,11,1,1,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3
496,0,68,110,110,1,1,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,6,6,1,3,3,1,3,3,1,3,3
521,0,83,143,143,1,1,1,3,3,1,3,3,1,4,4,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,4,4,1,3,3,1,3,3,1,5,5
323,0,2,46,46,1,1,1,18,18,1,18,18,1,5,5,1,18,18,1,18,18,1,18,18,1,18,18,1,18,18,1,18,18,1,18,18,1,18,18,1,6,6,1,18,18,1,18,18,1,4,4
228,0,52,43,43,1,1,1,6,6,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,36,36,1,4,4,1,4,4,1,6,6,1,9,9,1,4,4,1,4,4,1,4,4
455,0,89,85,85,1,1,1,5,5,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,5,5,1,10,10,1,3,3,1,3,3,1,3,3
77,1,25,43,43,1,1,1,8,8,1,8,8,1,10,10,1,8,8,1,8,8,1,8,8,1,8,8,1,8,8,1,8,8,1,8,8,1,8,8,1,7,7,1,8,8,1,8,8,1,25,25
43,1,7,36,36,1,1,1,7,7,1,7,7,1,9,9,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,20,20,1,7,7,1,7,7,1,8,8
141,1,46,40,40,1,1,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,18,18,1,8,8,1,8,8,1,50,50
48,1,13,32,32,1,1,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,31,31,1,9,9,1,9,9,1,19,19
155,1,31,36,36,1,1,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,29,29,1,10,10,1,10,10,1,21,21
505,1,105,133,118,1,1,1,32,32,1,32,32,1,32,32,1,32,32,1,32,32,1,38,38,1,38,38,1,38,38,1,119,119,1,38,38,1,119,119,1,140,140,1,32,32,1,32,32,1,119,119
247,2,23,55,55,1,1,1,12,12,1,14,14,1,60,60,1,14,14,1,14,14,1,14,14,1,14,14,1,12,12,1,14,14,1,14,14,1,12,12,1,11,11,1,14,14,1,14,14,1,33,33
217,2,51,43,43,1,1,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,9,9,1,23,23,1,9,9,1,23,23,1,57,57,1,9,9,1,9,9,1,58,58
201,2,19,48,48,1,1,1,10,10,1,10,10,1,37,37,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,65,65,1,10,10,1,10,10,1,33,33
288,2,55,48,35,1,1,1,12,12,1,12,12,1,47,47,1,12,12,1,12,12,1,12,12,1,12,12,1,12,12,1,12,12,1,12,12,1,12,12,1,116,116,1,12,12,1,12,12,1,70,70
367,2,72,70,64,1,1,1,1025,1025,1,1025,1025,1,61,61,1,1025,1025,1,1025,1025,1,1025,1025,1,1025,1025,1,1025,1025,1,1025,1025,1,1025,1025,1,1025,1025,1,108,108,1,1025,1025,1,1025,1025,1,40,40
331,2,65,65,65,1,1,1,11,11,1,11,11,1,29,29,1,11,11,1,11,11,1,11,11,1,11,11,1,11,11,1,11,11,1,11,11,1,11,11,1,219,219,1,11,11,1,11,11,1,93,93
203,3,10,49,38,1,1,1,33,33,1,33,33,1,60,60,1,33,33,1,33,33,1,33,33,1,33,33,1,33,33,1,33,33,1,33,33,1,33,33,1,58,58,1,33,33,1,33,33,1,100,100
265,3,49,52,40,1,1,1,62,62,1,62,62,1,88,88,1,62,62,1,62,62,1,62,62,1,62,62,1,62,62,1,62,62,1,62,62,1,62,62,1,112,112,1,62,62,1,62,62,1,88,88
579,3,100,109,103,1,1,1,16,16,1,16,16,1,374,374,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,16,16,1,282,282,1,16,16,1,16,16,1,242,242
