pres_id,bin,n_cand,abel_min,n_tied_at_min,oracle_solved,oracle_nodes,greedy_orig_solved,greedy_orig_nodes,top1_solved,top1_nodes,top1_z,top1_iso_gen,top1_cap,top3_solved,top3_cum_nodes,top3_first_solver_rank,adv_top3_solved,len_top3_solved
0,0,11,2,2,True,2,True,3,True,3,yyX,x,24,True,3,1,True,True
496,0,110,2,12,True,3,True,4,True,3,yyyyyyxYYYYY,x,31,True,3,1,True,True
521,0,143,2,11,True,3,True,5,True,3,yyyyyyyyXYYYY,x,33,True,3,1,True,True
323,0,46,3,1,True,4,True,7,True,18,yyy,y,29,True,18,1,True,True
228,0,43,4,6,True,4,True,9,True,4,yyx,x,24,True,4,1,True,True
455,0,85,3,5,True,3,True,10,True,3,yyyyx,x,27,True,3,1,True,True
77,1,43,2,5,True,7,True,11,True,8,xxYXyX,x,25,True,8,1,True,True
43,1,36,3,1,True,7,True,13,True,7,xyX,x,24,True,7,1,True,True
141,1,40,2,5,True,8,True,12,True,10,xxYXyX,x,27,True,10,1,True,True
48,1,32,3,1,True,9,True,18,True,9,xyX,x,26,True,9,1,True,True
155,1,36,2,1,True,9,True,18,True,10,xYXy,x,27,True,10,1,True,True
505,1,133,2,15,True,15,True,34,True,32,xx,x,31,True,32,1,True,True
247,2,55,2,10,True,9,True,46,True,14,xYYXyy,x,24,True,14,1,True,True
217,2,43,2,4,True,9,True,57,True,9,Xyy,x,24,True,9,1,True,True
201,2,48,3,3,True,10,True,61,True,10,Xyx,x,27,True,10,1,True,True
288,2,48,3,1,True,12,True,106,True,12,Xyx,x,28,True,12,1,True,True
367,2,70,2,1,True,25,True,83,True,5312,yyy,y,35,True,5312,1,True,True
331,2,65,2,2,True,9,True,93,True,11,Xyyy,x,33,True,11,1,True,True
203,3,49,3,3,True,32,True,116,True,33,Xyx,x,25,True,33,1,True,True
265,3,52,3,2,True,62,True,121,True,62,xyX,x,26,True,62,1,True,True
579,3,109,2,4,True,11,True,366,True,16,yyyyyyX,x,29,True,16,1,True,True
327,3,58,2,3,True,25,True,273,True,97,yyyxY,x,25,True,97,1,True,True
333,3,65,2,9,True,22,True,313,True,22,yXYx,x,25,True,22,1,True,True
380,3,63,2,4,True,22,True,381,True,22,Xyyy,x,25,True,22,1,True,True
546,4,90,2,2,True,15,True,398,True,15,Xyyyy,x,37,True,15,1,True,True
548,4,91,2,7,True,13,True,661,True,16,YYXyyyy,x,27,True,16,1,True,True
533,4,69,3,3,True,23,True,438,True,2161,yyy,y,29,True,2161,1,True,True
589,4,113,2,4,True,13,True,558,True,13,xyyyyyy,x,29,True,13,1,True,True
580,4,109,2,4,True,25,True,875,True,106,YXyyyyy,x,29,True,106,1,True,True
609,4,140,2,12,True,37,True,1217,True,110,YYYYXyyyyyy,x,31,True,110,1,True,True
538,5,85,2,4,True,13,True,2261,True,13,YXyyyy,x,27,True,13,1,True,True
606,5,138,2,6,True,17,True,2023,True,19,YYXyyyyyy,x,31,True,19,1,True,True
544,5,89,2,9,True,117,True,1569,True,121,yXYx,x,27,True,121,1,True,True
549,5,89,2,2,True,226,True,1411,True,297,Xyyyy,x,27,True,297,1,True,True
543,5,85,2,1,True,118,True,1813,True,296,Xyyyy,x,39,True,296,1,True,True
565,5,109,2,13,True,615,True,1404,True,626,yXYx,x,29,True,626,1,True,True
602,6,134,2,7,True,37,True,6285,True,37,yyyyxY,x,31,True,37,1,True,True
632,6,169,2,8,True,39,True,6425,True,39,YYxyyyyyyyy,x,33,True,39,1,True,True
573,6,109,2,4,True,3182,False,10000,True,6757,yyyyyyX,x,29,True,6757,1,True,False
586,6,109,2,3,True,616,True,9162,True,1380,yyyyyxY,x,29,True,1380,1,True,True
581,6,109,2,3,True,632,True,9567,True,1389,YXyyyyy,x,29,True,1389,1,True,True
575,6,113,2,11,True,615,False,10000,True,626,yXYx,x,29,True,626,1,True,True
568,7,108,2,15,True,3181,False,10000,True,3181,XYxy,x,29,True,3181,1,True,True
578,7,115,2,10,True,3181,False,10000,True,3181,XYxy,x,29,True,3181,1,True,True
583,7,116,2,10,True,3320,False,10000,True,3420,yyyyX,x,29,True,3420,1,True,True
628,7,173,2,18,True,158,False,10000,True,396,yxYYXy,x,33,True,396,1,True,True
633,7,173,2,18,True,158,False,10000,True,429,XYYxyy,x,33,True,429,1,True,True
596,7,138,2,16,True,3353,False,10000,True,3368,yXYx,x,31,True,3368,1,True,True
605,8,142,2,14,True,3353,False,10000,True,3368,XYxy,x,31,True,3368,1,True,True
610,8,141,2,14,True,3359,False,10000,True,3359,XYxy,x,31,True,3359,1,True,True
625,8,169,2,17,False,,False,10000,False,10000,XYxy,x,33,False,,,False,False
622,8,169,2,17,False,,False,10000,False,10000,yXYx,x,33,False,,,False,False
624,8,169,2,21,False,,False,10000,False,10000,XYxy,x,33,False,,,False,False
623,8,169,2,21,False,,False,10000,False,10000,XYxy,x,33,False,,,False,False
634,9,138,2,18,True,410,False,10000,True,7838,yyXX,x,31,True,7838,1,True,False
635,9,134,2,16,True,410,False,10000,True,7875,YYYYYxyyyyyyy,x,31,True,7875,1,True,False
637,9,173,2,16,False,,False,10000,False,10000,XYxy,x,33,False,,,False,False
639,9,172,2,16,False,,False,10000,False,10000,XYxy,x,33,False,,,False,False
638,9,173,2,15,False,,False,10000,False,10000,yXYx,x,33,False,,,False,False
636,9,172,2,15,False,,False,10000,False,10000,XYxy,x,33,False,,,False,False
