pres_id,bin,aut_class,n_cand,n_solving_cand,abel_min,n_tied_at_min,oracle_solved,oracle_nodes,greedy_orig_solved,greedy_orig_nodes,abel_top1_solved,abel_top1_nodes,abel_top1_z,abel_top1_iso_gen,abel_top1_cap,abel_top3_solved,abel_top3_cum_nodes,abel_top3_first_solver_rank,abel_top3_max_cap,adv_abel_top3_solved,lex_top3_solved,len_top3_solved,len_top3_max_cap,p_random_top3
0,0,0,11,11,2,2,True,2,True,3,True,3,Yxy,x,24,True,3,1,24,True,True,True,24,1.0
496,0,68,110,110,2,12,True,3,True,4,True,3,YYYYxyyyyyyy,x,31,True,3,1,31,True,True,True,31,1.0
521,0,83,143,143,2,11,True,3,True,5,True,3,YXyyy,x,33,True,3,1,33,True,True,True,33,1.0
323,0,2,46,46,3,1,True,4,True,7,True,18,yyy,y,29,True,18,1,29,True,True,True,25,1.0
228,0,52,43,43,4,6,True,4,True,9,True,6,xyy,x,24,True,6,1,25,True,True,True,25,1.0
455,0,89,85,85,3,5,True,3,True,10,True,5,xyX,x,28,True,5,1,36,True,True,True,27,1.0
77,1,25,43,43,2,5,True,7,True,11,True,8,XyXXyx,x,25,True,8,1,25,True,True,True,24,1.0
43,1,7,36,36,3,1,True,7,True,13,True,7,xyX,x,24,True,7,1,24,True,True,True,24,1.0
141,1,46,40,40,2,5,True,8,True,12,True,10,xxYXyX,x,27,True,10,1,27,True,True,True,24,1.0
48,1,13,32,32,3,1,True,9,True,18,True,9,xyX,x,26,True,9,1,26,True,True,True,24,1.0
155,1,31,36,36,2,1,True,9,True,18,True,10,xYXy,x,27,True,10,1,28,True,True,True,24,1.0
505,1,105,133,118,2,15,True,15,True,34,True,32,YYYYYxyyyyyy,x,31,True,32,1,31,True,True,True,33,0.9988
247,2,23,55,55,2,10,True,9,True,46,True,12,YXyy,x,25,True,12,1,25,True,True,True,24,1.0
217,2,51,43,43,2,4,True,9,True,57,True,9,Xyy,x,24,True,9,1,25,True,True,True,24,1.0
201,2,19,48,48,3,3,True,10,True,61,True,10,Xyx,x,27,True,10,1,30,True,True,True,24,1.0
288,2,55,48,35,3,1,True,12,True,106,True,12,Xyx,x,28,True,12,1,28,True,True,True,24,0.9835
367,2,72,70,64,2,1,True,25,True,83,False,1000,yyy,y,35,True,1025,2,35,True,True,True,25,0.9996
331,2,65,65,65,2,2,True,9,True,93,True,11,Xyyy,x,33,True,11,1,33,True,True,True,25,1.0
203,3,10,49,38,3,3,True,32,True,116,True,33,Xyx,x,25,True,33,1,27,True,True,True,24,0.991
265,3,49,52,40,3,2,True,62,True,121,True,62,xyX,x,26,True,62,1,28,True,True,True,24,0.99
579,3,100,109,103,2,4,True,11,True,366,True,16,Xyyyy,x,41,True,16,1,41,True,True,True,29,0.9999
327,3,66,58,46,2,3,True,25,True,273,True,97,xyyyy,x,31,True,97,1,31,True,True,True,25,0.9929
333,3,54,65,65,2,9,True,22,True,313,True,67,Xyy,x,27,True,67,1,27,True,True,True,25,1.0
380,3,77,63,53,2,4,True,22,True,381,True,22,Xyyy,x,25,True,22,1,27,True,True,True,25,0.997
546,4,85,90,78,2,2,True,15,True,398,True,15,Xyyyy,x,37,True,15,1,37,True,True,True,27,0.9981
548,4,82,91,52,2,7,True,13,True,661,True,16,YXyyy,x,27,True,16,1,29,True,True,True,27,0.9248
533,4,69,69,60,3,3,True,23,True,438,True,25,Xyx,x,31,True,25,1,34,True,True,True,25,0.9984
589,4,94,113,104,2,4,True,13,True,558,True,13,xyyyyyy,x,29,True,13,1,37,True,True,True,29,0.9996
580,4,101,109,64,2,4,True,25,True,875,True,106,Xyyyy,x,31,True,106,1,37,True,True,True,29,0.9324
609,4,104,140,59,2,12,True,37,False,1000,True,37,Xyyy,x,31,True,37,1,31,True,True,True,31,0.8094
538,5,81,85,35,2,4,True,13,False,1000,True,13,Xyyy,x,27,True,13,1,33,True,True,True,27,0.8016
606,5,107,138,56,2,6,True,17,False,1000,True,19,Xyyyy,x,33,True,19,1,33,True,True,True,31,0.7933
544,5,74,89,40,2,9,True,117,False,1000,True,296,Xyyy,x,29,True,296,1,31,True,True,True,27,0.8378
549,5,84,89,12,2,2,True,226,False,1000,True,297,Xyyyy,x,27,True,297,1,37,True,True,True,27,0.3559
543,5,88,85,19,2,1,True,118,False,1000,True,296,Xyyyy,x,39,True,296,1,39,True,True,True,27,0.5367
565,5,87,109,11,2,13,True,615,False,1000,False,1000,Xyy,x,31,True,1626,2,31,False,True,True,29,0.2755
602,6,103,134,38,2,7,True,37,False,1000,True,37,YYxyyyyyyy,x,35,True,37,1,39,True,True,False,31,0.6356
632,6,111,169,68,2,8,True,39,False,1000,True,39,YYxyyyyyyyy,x,33,True,39,1,33,True,True,False,31,0.7891
573,6,98,109,0,2,4,False,,False,1000,False,1000,Xyyyy,x,41,False,,,41,False,False,False,29,0.0
586,6,99,109,1,2,3,True,616,False,1000,False,1000,xyyyyyy,x,39,False,,,39,False,False,False,29,0.0275
581,6,99,109,1,2,3,True,632,False,1000,False,1000,YXyyyyy,x,29,False,,,37,False,False,False,29,0.0275
575,6,87,113,10,2,11,True,615,False,1000,False,1000,Xyyy,x,31,True,1626,2,31,False,True,True,29,0.2447
568,7,93,108,0,2,15,False,,False,1000,False,1000,XYxy,x,29,False,,,29,False,False,False,29,0.0
578,7,93,115,0,2,10,False,,False,1000,False,1000,XYxy,x,29,False,,,29,False,False,False,29,0.0
583,7,93,116,0,2,10,False,,False,1000,False,1000,XYxy,x,31,False,,,33,False,False,False,29,0.0
628,7,110,173,41,2,18,True,158,False,1000,True,410,XyXy,x,37,True,410,1,37,True,True,True,33,0.5582
633,7,110,173,41,2,18,True,158,False,1000,True,429,XYYxyy,x,33,True,429,1,33,True,True,True,33,0.5582
