pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bmax_w1_solved,bmax_w1_nodes,bmax_w1_path,bmax_w2_solved,bmax_w2_nodes,bmax_w2_path,bmax_w3_solved,bmax_w3_nodes,bmax_w3_path,bmax_w4_solved,bmax_w4_nodes,bmax_w4_path,bmax_w6_solved,bmax_w6_nodes,bmax_w6_path,bmax_w8_solved,bmax_w8_nodes,bmax_w8_path,bmax_w10_solved,bmax_w10_nodes,bmax_w10_path,bmax_w12_solved,bmax_w12_nodes,bmax_w12_path,bmax_w16_solved,bmax_w16_nodes,bmax_w16_path
0,0,YYXyx,Yx,True,3,2,True,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2
43,1,YYXyx,YYxYxYX,True,13,9,True,14,11,true,13,11,true,15,11,true,19,13,true,23,15,true,28,14,true,37,14,true,46,13,true,57,13,true,65,14
48,1,YYYxxYX,YYXyx,True,18,11,True,13,11,true,18,13,true,20,13,true,21,15,true,27,17,true,33,16,true,39,16,true,48,15,true,59,15,true,65,16
77,1,YYXyx,YXyXXyxx,True,11,8,True,11,10,true,9,8,true,12,8,true,11,8,true,17,10,true,23,9,true,23,9,true,34,8,true,41,8,true,41,9
141,1,YYXyx,YXyXyxxx,True,12,10,True,12,10,true,12,10,true,14,10,true,12,10,true,19,12,true,32,17,true,39,17,true,48,16,true,56,16,true,64,17
155,1,YYYYxyXX,YYXyx,True,18,12,True,13,12,true,19,14,true,21,14,true,22,16,true,28,18,true,36,19,true,39,19,true,48,18,true,56,18,true,65,19
201,2,YYYXyyx,YYXYxYx,True,61,15,True,49,20,true,52,15,true,55,15,true,57,19,true,74,31,true,84,30,true,83,30,true,93,30,true,101,29,true,109,36
203,3,YYYXyyx,YYxYXYx,True,116,16,True,98,20,true,146,16,true,305,16,true,620,16,true,82,19,true,265,19,true,307,19,true,255,20,true,158,19,true,161,23
217,2,YYYXyyx,YYYxxyX,True,57,13,True,48,18,true,42,11,true,42,11,true,42,11,true,59,24,true,79,24,true,71,24,true,75,24,true,83,23,true,75,22
228,0,YYYXyyx,YYXXYYx,True,9,7,True,8,7,true,10,7,true,9,7,true,8,6,true,8,6,true,10,6,true,90,6,true,99,22,true,163,22,true,424,22
247,2,YYYXyyx,YYXyyXyx,True,46,9,True,70,13,true,47,9,true,50,9,true,64,9,true,54,8,true,68,7,true,64,7,true,190,8,true,144,13,true,144,14
265,3,YYYXyyx,YYYxYxYX,True,121,21,True,99,25,true,147,21,true,307,21,true,622,21,true,430,24,false,1000,,false,1000,,false,1000,,true,977,27,true,677,27
288,2,YYYYXXYx,YYYXyyx,True,106,17,True,97,21,true,144,17,true,305,17,true,620,17,true,180,20,true,536,20,true,308,20,true,254,20,true,157,19,true,159,23
323,0,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,true,7,6,true,13,9,true,17,11,true,17,11,true,24,10,true,9,8,true,9,8,true,9,8,true,9,8
327,3,YYYYXyyyx,YYxYXX,True,273,29,True,198,34,true,463,40,false,1000,,true,835,45,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
331,2,YYYYXyyyx,YYXYxYx,True,93,24,True,51,23,true,55,25,true,60,25,true,55,21,true,49,21,true,61,19,true,79,19,true,102,19,true,131,22,true,133,29
