pres_id,bin,aut_class,cov_z,cov_iso_gen,cov_iso_index,r1,r2,cov_r1,cov_r2,mu_orig,autmin_r1,autmin_r2,mu_cov,autmin_cov_r1,autmin_cov_r2,same_aut_orbit,L_orig_raw,L_cov_raw,d_L_raw,L_orig_autmin,L_cov_autmin,d_L_autmin,K_orig_raw,K_cov_raw,d_K_raw,K_orig_autmin,K_cov_autmin,d_K_autmin,MK_orig_raw,MK_cov_raw,d_MK_raw,MK_orig_autmin,MK_cov_autmin,d_MK_autmin,S_orig_raw,S_cov_raw,d_S_raw,S_orig_autmin,S_cov_autmin,d_S_autmin,xyimb_orig_raw,xyimb_cov_raw,d_xyimb_raw,xyimb_orig_autmin,xyimb_cov_autmin,d_xyimb_autmin,prio_orig_raw,prio_cov_raw,d_prio_raw,prio_orig_autmin,prio_cov_autmin,d_prio_autmin
48,1,13,Xy,x,1,YYYxxYX,YYXyx,XXYYXy,YXXyx,12,YXXyx,YYXyXXX,11,YXXyx,YYXyXX,False,12.0,11.0,-1.0,12.0,11.0,-1.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.25,1.25,0.0,1.25,1.25,0.0,0.16666666666666666,0.09090909090909091,-0.07575757575757575,0.16666666666666666,0.09090909090909091,-0.07575757575757575,46.07716666666666,44.82777272727272,-1.24939393939394,46.07716666666666,44.82777272727272,-1.24939393939394
77,1,25,Xy,x,0,YYXyx,YXyXXyxx,XyXXyxxYxx,YXXyx,13,YXXyx,YYXYxyyX,11,YXXyx,YYXyXX,False,13.0,15.0,2.0,13.0,11.0,-2.0,5.0,5.0,0.0,5.0,4.0,-1.0,3.0,3.0,0.0,3.0,2.0,-1.0,1.2,1.0,-0.19999999999999996,1.2,1.25,0.050000000000000044,0.07692307692307693,0.3333333333333333,0.2564102564102564,0.07692307692307693,0.09090909090909091,0.013986013986013984,55.30683076923077,56.45933333333333,1.1525025641025621,55.30683076923077,44.82777272727272,-10.479058041958048
141,1,46,yx,x,0,YYXyx,YXyXyxxx,xYxxxyXXyXX,YxyXX,13,YXXyx,YYYXyxyx,12,YXXyx,YYXyxxx,False,13.0,16.0,3.0,13.0,12.0,-1.0,5.0,5.0,0.0,5.0,4.0,-1.0,3.0,3.0,0.0,3.0,2.0,-1.0,1.2,1.0,-0.19999999999999996,1.2,1.25,0.050000000000000044,0.07692307692307693,0.375,0.2980769230769231,0.07692307692307693,0.16666666666666666,0.08974358974358973,55.30683076923077,57.5965,2.2896692307692277,55.30683076923077,46.07716666666666,-9.229664102564108
203,3,10,Xyy,x,0,YYYXyyx,YYxYXYx,YXXXXyXYxxx,YXXXyxx,12,YXXYx,YYYXyyx,15,YXXXyxx,YYXXXXyX,False,14.0,18.0,4.0,12.0,15.0,3.0,5.0,5.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.25,1.25,0.0,0.2857142857142857,0.4444444444444444,0.15873015873015872,0.16666666666666666,0.3333333333333333,0.16666666666666666,55.302571428571426,59.82511111111111,4.522539682539687,46.07716666666666,49.62583333333333,3.5486666666666693
217,2,51,Xyy,x,0,YYYXyyx,YYYxxyX,XYYxy,YXXXyxx,14,YYXXXyx,YXXyxxx,12,YXXyx,YYYXyyx,False,14.0,12.0,-2.0,14.0,12.0,-2.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.25,1.25,0.0,1.25,1.25,0.0,0.2857142857142857,0.16666666666666666,-0.11904761904761904,0.2857142857142857,0.16666666666666666,-0.11904761904761904,48.469071428571425,46.07716666666666,-2.3919047619047618,48.469071428571425,46.07716666666666,-2.3919047619047618
228,0,52,yyx,x,0,YYYXyyx,YYXXYYx,xYXXX,YxxyXXX,14,YYXXyXX,YXXXyxx,8,X,YYYXyyx,False,14.0,12.0,-2.0,14.0,8.0,-6.0,4.0,3.0,-1.0,4.0,2.0,-2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.25,1.0,-0.25,1.25,1.0,-0.25,0.2857142857142857,0.5,0.2142857142857143,0.2857142857142857,0.25,-0.0357142857142857,48.469071428571425,42.53,-5.939071428571424,48.469071428571425,35.177,-13.292071428571425
380,3,77,Xyyy,x,0,YYYYXyyyx,YYYYxxyX,XYYxy,YXXXXyxxx,17,YYXXXXyx,YXXXyxxxx,14,YXXyx,YYYYXyyyx,False,17.0,14.0,-3.0,17.0,14.0,-3.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.25,1.25,0.0,1.25,1.25,0.0,0.4117647058823529,0.2857142857142857,-0.12605042016806722,0.4117647058823529,0.2857142857142857,-0.12605042016806722,51.88402941176471,48.469071428571425,-3.4149579831932826,51.88402941176471,48.469071428571425,-3.4149579831932826
455,0,89,yyyyx,x,0,YYYYYXyyyyx,YYYYxYXX,XY,YxxxxyXXXXX,19,YYXXXXyX,YXXXXyxxxxx,12,X,YYYYYXyyyyx,False,19.0,13.0,-6.0,19.0,12.0,-7.0,4.0,3.0,-1.0,4.0,2.0,-2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.25,1.0,-0.25,1.25,1.0,-0.25,0.47368421052631576,0.5384615384615384,0.06477732793522267,0.47368421052631576,0.5,0.026315789473684237,54.08786842105263,43.656615384615385,-10.431253036437248,54.08786842105263,40.0,-14.087868421052633
505,1,105,Yxyy,y,1,YYYYYYYXyyyyyyx,YYXyyxx,xxYxxYxxYxxYxxYXXyXXyXXyXXyX,YxxYxyXXyXX,22,YYXXyxx,YXXXXXXXyxxxxxx,19,YYXXyxx,YYxxxxxyXXXX,False,22.0,39.0,17.0,22.0,19.0,-3.0,4.0,13.0,9.0,4.0,4.0,0.0,2.0,9.0,7.0,2.0,2.0,0.0,1.25,1.0,-0.25,1.25,1.5,0.25,0.5454545454545454,0.3333333333333333,-0.2121212121212121,0.5454545454545454,0.3684210526315789,-0.1770334928229665,57.32413636363636,139.20733333333334,81.88319696969697,57.32413636363636,55.85584210526316,-1.4682942583732057
549,5,84,Xyyy,x,0,YYYYYXyyyyx,YYYxYxYX,YXXYXyx,YXXXXXyxxxx,18,YYXXXyX,YXXXXyxxxxx,16,YXXyx,YYYYYXyyyyx,False,19.0,18.0,-1.0,18.0,16.0,-2.0,5.0,5.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.25,1.25,0.0,0.47368421052631576,0.4444444444444444,-0.029239766081871343,0.4444444444444444,0.375,-0.06944444444444442,60.921368421052634,59.82511111111111,-1.096257309941521,52.99161111111111,50.763,-2.228611111111114
609,4,104,Xyyy,x,0,YYYYYYYXyyyyyyx,YYYxYxyX,YXXXXYxyxxx,YXXXXXXXyxxxxxx,22,YYXXXyx,YXXXXXXyxxxxxxx,22,YYXXXyX,YXXXXXXyxxxxxxx,False,23.0,26.0,3.0,22.0,22.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.25,1.25,0.0,0.5652173913043478,0.6153846153846154,0.050167224080267636,0.5454545454545454,0.5454545454545454,0.0,65.22269565217391,68.38784615384616,3.165150501672244,57.32413636363636,57.32413636363636,0.0
623,8,106,yx,x,1,YYYYYYYYXyyyyyyyx,YYXyxYX,XXXXXXXyxYxxxxxxy,YxyXYX,22,YXXyx,YYYYYYYYXyyyyyyyx,23,YXXXXXXyXYx,YXyxxxxxxxyx,False,24.0,23.0,-1.0,22.0,23.0,1.0,5.0,6.0,1.0,4.0,6.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,1.25,1.0,-0.25,0.5833333333333334,0.4782608695652174,-0.10507246376811596,0.5454545454545454,0.4782608695652174,-0.06719367588932801,66.28233333333333,67.4664347826087,1.1841014492753743,57.32413636363636,67.4664347826087,10.142298418972338
624,8,106,Xy,x,1,YYYYYYYYXyyyyyyyx,YYxYXyx,XXXXXXXXyxxxxxxYxyx,YXYXyx,22,YXXyx,YYYYYYYYXyyyyyyyx,23,YXXXXXXyXYx,YXyxxxxxxxyx,False,24.0,25.0,1.0,22.0,23.0,1.0,5.0,6.0,1.0,4.0,6.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,1.25,1.0,-0.25,0.5833333333333334,0.52,-0.06333333333333335,0.5454545454545454,0.4782608695652174,-0.06719367588932801,66.28233333333333,69.60384,3.3215066666666786,57.32413636363636,67.4664347826087,10.142298418972338
634,9,108,YYxyy,y,1,YYYYYYYXyyyyyyx,YYYXyyxx,XXyXXyXXyXXyXXYxxYxxYxxYxxx,YXXyXXyxYxxYxx,23,YYXXXyxx,YXXXXXXXyxxxxxx,19,YYXXXyxx,YYxxxxyXXXX,False,23.0,41.0,18.0,23.0,19.0,-4.0,4.0,13.0,9.0,4.0,4.0,0.0,2.0,8.0,6.0,2.0,2.0,0.0,1.25,1.0,-0.25,1.25,1.5,0.25,0.5652173913043478,0.36585365853658536,-0.19936373276776242,0.5652173913043478,0.3684210526315789,-0.19679633867276886,58.38919565217391,134.89639024390243,76.50719459172852,58.38919565217391,55.85584210526316,-2.533353546910753
635,9,108,yyxYY,y,1,YYYYYYYXyyyyyyx,YYYXXyyx,xxYxxYxxYxxYXyXXyXXyXXy,YXXyXXyxYxxYxx,23,YYXXXyxx,YXXXXXXXyxxxxxx,19,YYXXXyxx,YYxxxxyXXXX,False,23.0,37.0,14.0,23.0,19.0,-4.0,4.0,13.0,9.0,4.0,4.0,0.0,2.0,8.0,6.0,2.0,2.0,0.0,1.25,1.0,-0.25,1.25,1.5,0.25,0.5652173913043478,0.2972972972972973,-0.26792009400705047,0.5652173913043478,0.3684210526315789,-0.19679633867276886,58.38919565217391,130.6707027027027,72.28150705052879,58.38919565217391,55.85584210526316,-2.533353546910753
637,9,106,xyyy,x,0,YYYYYYYYXyyyyyyyx,YYYXyxYX,YXXXXXXyXYxxxxxxx,YXXXXXXXyxxxxxxxx,22,YXXyx,YYYYYYYYXyyyyyyyx,27,YYXXXXXXyX,YXXXXXXXyxxxxxxxx,False,25.0,34.0,9.0,22.0,27.0,5.0,5.0,5.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.25,1.25,0.0,0.6,0.7058823529411765,0.10588235294117654,0.5454545454545454,0.6296296296296297,0.08417508417508424,67.3372,76.68576470588235,9.348564705882353,57.32413636363636,62.60124074074074,5.277104377104379
