pres_id,bin,aut_class,start_length,r1,r2,cov_z,cov_iso_gen,cov_iso_index,cov_class,cov_cap,cov_found_at_budget,cov_r1,cov_r2,cov_n_tied_starts,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,b1k_covgreedy_solved,b1k_covgreedy_nodes,b1k_covgreedy_path,b1k_covheur_solved,b1k_covheur_nodes,b1k_covheur_path
0,0,0,7,YYXyx,Yx,Yxy,y,0,relabel,24,10000,Xyx,YXyxYx,2,True,3,2,True,3,2,True,2,1,True,2,1
43,1,7,12,YYXyx,YYxYxYX,xyX,x,1,relabel,24,10000,XXXYxyx,YxxyxYXX,1,True,13,9,True,14,11,True,7,6,True,7,6
48,1,13,12,YYYxxYX,YYXyx,Xy,x,1,moved,24,10000,XXYYXy,YXXyx,2,True,18,11,True,13,11,True,9,8,True,9,8
77,1,25,13,YYXyx,YXyXXyxx,Xy,x,0,moved,26,10000,XyXXyxxYxx,YXXyx,1,True,11,8,True,11,10,True,7,6,True,7,6
141,1,46,13,YYXyx,YXyXyxxx,yx,x,0,moved,27,10000,xYxxxyXXyXX,YxyXX,1,True,12,10,True,12,10,True,8,7,True,8,7
155,1,31,13,YYYYxyXX,YYXyx,xyX,x,0,relabel,28,10000,XXYxy,YXXXXyxYxxxx,1,True,18,12,True,13,12,True,9,8,True,9,8
201,2,19,14,YYYXyyx,YYXYxYx,Xyx,x,1,relabel,27,10000,XXXXXYxxyxx,YXXYxyxx,2,True,61,15,True,49,20,True,10,8,True,9,8
203,3,10,14,YYYXyyx,YYxYXYx,Xyy,x,0,moved,27,10000,YXXXXyXYxxx,YXXXyxx,1,True,116,16,True,98,20,True,32,9,True,70,12
217,2,51,14,YYYXyyx,YYYxxyX,Xyy,x,0,moved,24,10000,XYYxy,YXXXyxx,1,True,57,13,True,48,18,True,9,7,True,8,7
228,0,52,14,YYYXyyx,YYXXYYx,yyx,x,0,moved,24,10000,xYXXX,YxxyXXX,1,True,9,7,True,8,7,True,4,3,True,4,3
247,2,23,15,YYYXyyx,YYXyyXyx,XyyXy,x,1,relabel,27,10000,XXXXXyxxYxx,YXXyyx,5,True,46,9,True,70,13,True,9,7,True,8,7
265,3,49,15,YYYXyyx,YYYxYxYX,xyX,x,1,relabel,26,10000,XXXXYxxyx,YxxxyxYXXX,1,True,121,21,True,99,25,True,62,11,True,74,15
288,2,55,15,YYYYXXYx,YYYXyyx,Xyx,x,0,relabel,28,10000,xyxxYXXXX,YxxxxyxYXXXX,1,True,106,17,True,97,21,True,12,9,True,10,9
323,0,2,15,YYYYYx,YYYYXyyyx,Xyyy,x,1,relabel,25,10000,XXY,YXXXXyxxx,4,True,7,6,True,7,6,True,4,3,True,4,3
327,3,66,15,YYYYXyyyx,YYxYXX,yyyx,x,0,relabel,26,10000,XXyXYxxxxY,YxxxyXXXX,1,True,273,29,True,198,34,True,25,16,True,26,16
331,2,65,16,YYYYXyyyx,YYXYxYx,Xyx,x,1,relabel,29,10000,XXXXXXYxxxyxx,YXXYxyxx,4,True,93,24,True,51,23,True,9,8,True,10,8
333,3,54,16,YYYYXyyyx,YYxyXYx,YYXyyy,x,0,relabel,25,10000,XXYxyXYxx,YXXXXyxxx,4,True,313,35,True,224,31,True,22,15,True,24,15
367,2,72,17,YYYYXyyyx,YYXYYxYx,Xyyy,x,0,relabel,34,10000,XXXXXXyXXYxxxYxxxx,YXXXXyxxx,1,True,83,21,True,64,25,True,25,10,True,11,9
380,3,77,17,YYYYXyyyx,YYYYxxyX,Xyyy,x,0,moved,25,10000,XYYxy,YXXXXyxxx,1,True,381,39,True,226,36,True,22,15,True,24,15
455,0,89,19,YYYYYXyyyyx,YYYYxYXX,yyyyx,x,0,moved,27,10000,XY,YxxxxyXXXXX,1,True,10,9,True,10,9,True,3,2,True,3,2
496,0,68,18,YYYYYYYXyyyyyyx,YYX,YYYYYxyyyyyyy,x,0,relabel,31,10000,XXYx,YXXXXXXyxxxxxxx,29,True,4,3,True,4,3,True,3,2,True,3,2
505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,Yxyy,y,1,moved,44,10000,xxYxxYxxYxxYxxYXXyXXyXXyXXyX,YxxYxyXXyXX,1,True,34,23,True,23,17,True,15,14,True,15,14
521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,YXyy,x,0,relabel,33,10000,XXXXXXXXYxxxxxxx,YXXXXXXXXyxxxxxxx,29,True,5,4,True,5,4,True,3,2,True,3,2
533,4,69,17,YYYYXyyyx,YYYXYxYx,Xyyy,x,0,relabel,34,10000,XXXXXXXyXYxxxYxxxx,YXXXXyxxx,1,True,438,43,True,227,38,True,23,16,True,25,16
538,5,81,18,YYYYYXyyyyx,YYxYxYX,Xyyy,x,0,relabel,27,10000,XXXYxxxYXyx,YXXXXXyxxxx,3,False,1000,,True,531,32,True,13,12,True,14,12
543,5,88,19,YYYYYXyyyyx,YYYYXYxx,Xyx,x,1,relabel,35,10000,XXXXXXXXXYxxxxyxxxx,YXXXXYxyxxxx,1,False,1000,,True,160,52,True,118,42,True,56,32
544,5,74,19,YYYYYXyyyyx,YYYxyXYx,xYXy,x,1,relabel,31,10000,XXXXXXXYxxxxyxx,YxyXY,2,False,1000,,True,160,48,True,117,41,True,55,31
546,4,85,19,YYYYYXyyyyx,YYXYYxYx,Xyyyy,x,0,relabel,37,10000,XXXXXXXyXXYxxxxYxxxxx,YXXXXXyxxxx,1,True,398,24,True,111,23,True,15,12,True,12,10
548,4,82,19,YYYYYXyyyyx,YYxYYxyX,Xyyy,x,0,relabel,27,10000,XXXYxxYxyx,YXXXXXyxxxx,4,True,661,28,True,496,34,True,13,12,True,13,12
549,5,84,19,YYYYYXyyyyx,YYYxYxYX,Xyyy,x,0,moved,27,10000,YXXYXyx,YXXXXXyxxxx,1,False,1000,,True,137,47,True,226,54,True,90,36
565,5,87,20,YYYYYYXyyyyyx,YYxyXYx,xYXy,x,1,relabel,31,10000,XXXXXXXYxxxxxyx,YxyXY,2,False,1000,,True,422,99,True,615,99,True,278,83
568,7,93,20,YYYYYYXyyyyyx,YYXYXyx,XYxy,x,1,relabel,29,10000,XXXXyxxxxxYXX,YxxyXYX,2,False,1000,,False,1000,,False,1000,,False,1000,
573,6,98,21,YYYYYYXyyyyyx,YYYYXYxx,Xyyy,x,0,relabel,40,10000,XXXXXXXXXXyXYxxxxYxxxxxx,YXXXXXXyxxxxx,5,False,1000,,False,1000,,False,1000,,False,1000,
575,6,87,21,YYYYYYXyyyyyx,YYYxyXYx,xYXy,x,1,relabel,33,10000,XXXXXXXXYxxxxxyxx,YxyXY,2,False,1000,,True,422,102,True,615,99,True,278,83
578,7,93,21,YYYYYYXyyyyyx,YYXYYXyx,XYxy,x,1,relabel,29,10000,XXXXyxxxxxYXX,YxxyXYX,2,False,1000,,False,1000,,False,1000,,False,1000,
579,3,100,21,YYYYYYXyyyyyx,YYYXYYxx,Xyyy,x,0,relabel,40,10000,XXXXXXXXXyXXYxxxxYxxxxxx,YXXXXXXyxxxxx,5,True,366,26,True,101,25,True,11,10,True,12,11
580,4,101,21,YYYYYYXyyyyyx,YYYxxYYX,Xyyyyy,x,0,relabel,30,10000,XXXYxxxxxxYXXy,YXXXXXXyxxxxx,1,True,875,47,True,252,42,True,25,17,True,22,17
581,6,99,21,YYYYYYXyyyyyx,YYYYxxYX,Xyyyyy,x,0,relabel,30,10000,XXXXYxxxxxxYXy,YXXXXXXyxxxxx,1,False,1000,,True,385,99,True,632,100,True,280,84
583,7,93,21,YYYYYYXyyyyyx,YYXyxYYx,XYxy,x,1,relabel,31,10000,XXXXXXXYxxxxxyx,YXYXyxx,2,False,1000,,False,1000,,False,1000,,False,1000,
586,6,99,21,YYYYYYXyyyyyx,YYYYxYXX,yyyyyx,x,0,relabel,30,10000,XXXXyXYxxxxxxY,YxxxxxyXXXXXX,1,False,1000,,True,388,99,True,616,100,True,279,84
589,4,94,21,YYYYYYXyyyyyx,YYYXYXYx,xyyyyyy,x,0,relabel,29,10000,XXXYxxxxYXy,YXXXXXyxxxxxx,3,True,558,46,True,575,38,True,13,12,True,15,12
596,7,97,22,YYYYYYYXyyyyyyx,YYxyXYx,xYXy,x,1,relabel,33,10000,XXXXXXXXYxxxxxxyx,YxyXY,2,False,1000,,False,1000,,False,1000,,False,1000,
602,6,103,22,YYYYYYYXyyyyyyx,YYYxYXX,YYxyyyyyyy,x,0,relabel,35,10000,XXXXXXXyXYxxxxYxxxx,YXXXXXXyxxxxxxx,7,False,1000,,True,824,52,True,37,22,True,29,20
605,8,97,23,YYYYYYYXyyyyyyx,YYYXyxYX,YYYxyyyyyyy,x,0,relabel,31,10000,XXXYxyXYxxx,YXXXXXXyxxxxxxx,9,False,1000,,False,1000,,False,1000,,False,1000,
606,5,107,23,YYYYYYYXyyyyyyx,YYYxxYYX,Xyyyyy,x,0,relabel,32,10000,XXXXYxxxxxxYXXyx,YXXXXXXXyxxxxxx,3,False,1000,,True,829,45,True,17,14,True,136,22
609,4,104,23,YYYYYYYXyyyyyyx,YYYxYxyX,Xyyy,x,0,moved,31,10000,YXXXXYxyxxx,YXXXXXXXyxxxxxx,8,False,1000,,True,821,45,True,37,22,True,29,20
610,8,97,23,YYYYYYYXyyyyyyx,YYYxYXyx,XYxy,x,1,relabel,31,10000,XXXXXXXYxxxxxxy,YYXyx,2,False,1000,,False,1000,,False,1000,,False,1000,
622,8,106,24,YYYYYYYYXyyyyyyyx,YYxyXYx,xyX,x,1,relabel,37,20000,XXXXXXXXXXyxxxxxxxYxx,YxYxyX,1,False,1000,,False,1000,,False,1000,,False,1000,
623,8,106,24,YYYYYYYYXyyyyyyyx,YYXyxYX,yx,x,1,moved,33,20000,XXXXXXXyxYxxxxxxy,YxyXYX,1,False,1000,,False,1000,,False,1000,,False,1000,
624,8,106,24,YYYYYYYYXyyyyyyyx,YYxYXyx,Xy,x,1,moved,35,20000,XXXXXXXXyxxxxxxYxyx,YXYXyx,1,False,1000,,False,1000,,False,1000,,False,1000,
