pres_id,bin,aut_class,start_length,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bestcov_z,bestcov_iso_gen,bestcov_iso_index,bestcov_class,bestcov_cap,bestcov_r1,bestcov_r2,bestcov_n_tied_starts,bestcov_prio,b1k_covgreedy_solved,b1k_covgreedy_nodes,b1k_covgreedy_path,b1k_covheur_solved,b1k_covheur_nodes,b1k_covheur_path,hsel_z,hsel_iso_gen,hsel_iso_index,hsel_class,hsel_cap,hsel_r1,hsel_r2,hsel_n_tied_starts,hsel_n_candidates,hsel_prio,same_as_bestcov,hsel_covgreedy_solved,hsel_covgreedy_nodes,hsel_covgreedy_path,hsel_covheur_solved,hsel_covheur_nodes,hsel_covheur_path
0,0,0,7,YYXyx,Yx,true,3,2,true,3,2,Yxy,y,0,relabel,24,Xyx,YXyxYx,2,47.19777777777778,true,2,1,true,2,1,yyX,x,0,,21,Y,YxxyX,1,11,32.354,false,true,3,2,true,3,2
43,1,7,12,YYXyx,YYxYxYX,true,13,9,true,14,11,xyX,x,1,relabel,24,XXXYxyx,YxxyxYXX,1,56.45933333333333,true,7,6,true,7,6,Yxy,x,0,,22,XXyyXY,YXyxx,4,36,44.82777272727272,false,true,9,8,true,11,8
48,1,13,12,YYYxxYX,YYXyx,true,18,11,true,13,11,Xy,x,1,moved,24,XXYYXy,YXXyx,2,44.82777272727272,true,9,8,true,9,8,Xy,x,1,moved,22,XXYYXy,YXXyx,1,32,44.82777272727272,true,true,9,8,true,9,8
77,1,25,13,YYXyx,YXyXXyxx,true,11,8,true,11,10,Xy,x,0,moved,26,XyXXyxxYxx,YXXyx,1,56.45933333333333,true,7,6,true,7,6,xy,x,0,,23,YYYxyyx,YXyxx,1,43,46.07716666666666,false,true,10,9,true,11,9
141,1,46,13,YYXyx,YXyXyxxx,true,12,10,true,12,10,yx,x,0,moved,27,xYxxxyXXyXX,YxyXX,1,57.5965,true,8,7,true,8,7,xy,x,0,,23,YYxyyyx,YXyxx,1,40,46.07716666666666,false,true,10,9,true,11,9
155,1,31,13,YYYYxyXX,YYXyx,true,18,12,true,13,12,xyX,x,0,relabel,28,XXYxy,YXXXXyxYxxxx,1,58.71752941176471,true,9,8,true,9,8,yx,x,1,,23,YXXXyxY,YxyXX,1,36,46.07716666666666,false,true,10,9,true,10,9
201,2,19,14,YYYXyyx,YYXYxYx,true,61,15,true,49,20,Xyx,x,1,relabel,27,XXXXXYxxyxx,YXXYxyxx,2,60.921368421052634,true,10,8,true,9,8,Xyxyy,x,1,,23,XXXYxxy,YYxyxx,3,48,47.288192307692306,false,true,37,12,true,85,17
203,3,10,14,YYYXyyx,YYxYXYx,true,116,16,true,98,20,Xyy,x,0,moved,27,YXXXXyXYxxx,YXXXyxx,1,59.82511111111111,true,32,9,true,70,12,Xyxy,x,1,,23,XXXYxxy,YYxyx,2,49,46.07716666666666,false,true,60,10,true,73,14
217,2,51,14,YYYXyyx,YYYxxyX,true,57,13,true,48,18,Xyy,x,0,moved,24,XYYxy,YXXXyxx,1,46.07716666666666,true,9,7,true,8,7,Xyy,x,0,moved,23,XYYxy,YXXXyxx,1,43,46.07716666666666,true,true,9,7,true,8,7
228,0,52,14,YYYXyyx,YYXXYYx,true,9,7,true,8,7,yyx,x,0,moved,24,xYXXX,YxxyXXX,1,42.53,true,4,3,true,4,3,yyx,x,0,moved,23,xYXXX,YxxyXXX,1,43,42.53,true,true,4,3,true,4,3
