pres_id,bin,aut_class,cov_class,cov_z,r1,r2,cov_r1,cov_r2,L_orig,L_cov,d_L,K_orig,K_cov,d_K,MK_orig,MK_cov,d_MK,K_den_orig,K_den_cov,d_K_den,MK_den_orig,MK_den_cov,d_MK_den,S_orig,S_cov,d_S,mu_orig,mu_cov,same_aut_orbit,L_orig_autmin,L_cov_autmin,d_L_autmin,K_orig_autmin,K_cov_autmin,d_K_autmin,MK_orig_autmin,MK_cov_autmin,d_MK_autmin,K_den_orig_autmin,K_den_cov_autmin,d_K_den_autmin,MK_den_orig_autmin,MK_den_cov_autmin,d_MK_den_autmin,S_orig_autmin,S_cov_autmin,d_S_autmin
0,0,0,relabel,Yxy,YYXyx,Yx,Xyx,YXyxYx,7.0,9.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,0.42857142857142855,0.4444444444444444,0.015873015873015872,0.5,0.5,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
43,1,7,relabel,xyX,YYXyx,YYxYxYX,XXXYxyx,YxxyxYXX,12.0,15.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,0.4166666666666667,0.3333333333333333,-0.08333333333333337,0.42857142857142855,0.375,-0.05357142857142855,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
48,1,13,moved,Xy,YYYxxYX,YYXyx,XXYYXy,YXXyx,12.0,11.0,-1.0,4.0,4.0,0.0,2.0,2.0,0.0,0.3333333333333333,0.36363636363636365,0.03030303030303033,0.4,0.4,0.0,1.25,1.25,0.0,12,11,false,12.0,11.0,-1.0,4.0,4.0,0.0,2.0,2.0,0.0,0.3333333333333333,0.36363636363636365,0.03030303030303033,0.4,0.4,0.0,1.25,1.25,0.0
77,1,25,moved,Xy,YYXyx,YXyXXyxx,XyXXyxxYxx,YXXyx,13.0,15.0,2.0,5.0,5.0,0.0,3.0,3.0,0.0,0.38461538461538464,0.3333333333333333,-0.05128205128205132,0.4,0.4,0.0,1.2,1.0,-0.19999999999999996,13,11,false,13.0,11.0,-2.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.38461538461538464,0.36363636363636365,-0.02097902097902099,0.4,0.4,0.0,1.2,1.25,0.050000000000000044
141,1,46,moved,yx,YYXyx,YXyXyxxx,xYxxxyXXyXX,YxyXX,13.0,16.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,0.38461538461538464,0.3125,-0.07211538461538464,0.4,0.4,0.0,1.2,1.0,-0.19999999999999996,13,12,false,13.0,12.0,-1.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.38461538461538464,0.3333333333333333,-0.05128205128205132,0.4,0.4,0.0,1.2,1.25,0.050000000000000044
155,1,31,relabel,xyX,YYYYxyXX,YYXyx,XXYxy,YXXXXyxYxxxx,13.0,17.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,0.3076923076923077,0.29411764705882354,-0.01357466063348417,0.4,0.4,0.0,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
201,2,19,relabel,Xyx,YYYXyyx,YYXYxYx,XXXXXYxxyxx,YXXYxyxx,14.0,19.0,5.0,5.0,5.0,0.0,3.0,3.0,0.0,0.35714285714285715,0.2631578947368421,-0.09398496240601506,0.42857142857142855,0.375,-0.05357142857142855,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
203,3,10,moved,Xyy,YYYXyyx,YYxYXYx,YXXXXyXYxxx,YXXXyxx,14.0,18.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,0.35714285714285715,0.2777777777777778,-0.07936507936507936,0.42857142857142855,0.2857142857142857,-0.14285714285714285,1.0,1.0,0.0,12,15,false,12.0,15.0,3.0,4.0,4.0,0.0,2.0,2.0,0.0,0.3333333333333333,0.26666666666666666,-0.06666666666666665,0.4,0.2857142857142857,-0.11428571428571432,1.25,1.25,0.0
217,2,51,moved,Xyy,YYYXyyx,YYYxxyX,XYYxy,YXXXyxx,14.0,12.0,-2.0,4.0,4.0,0.0,2.0,2.0,0.0,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.2857142857142857,0.4,0.11428571428571432,1.25,1.25,0.0,14,12,false,14.0,12.0,-2.0,4.0,4.0,0.0,2.0,2.0,0.0,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.2857142857142857,0.4,0.11428571428571432,1.25,1.25,0.0
228,0,52,moved,yyx,YYYXyyx,YYXXYYx,xYXXX,YxxyXXX,14.0,12.0,-2.0,4.0,3.0,-1.0,2.0,2.0,0.0,0.2857142857142857,0.25,-0.0357142857142857,0.2857142857142857,0.2857142857142857,0.0,1.25,1.0,-0.25,14,8,false,14.0,8.0,-6.0,4.0,2.0,-2.0,2.0,2.0,0.0,0.2857142857142857,0.25,-0.0357142857142857,0.2857142857142857,0.2857142857142857,0.0,1.25,1.0,-0.25
