arm,k1,k2,k3,deployed_total,median_first_solve,mean_first_solve,waste_lists,waste_slots,budget
abel__plain,38,41,41,63790,18,165.6,51,72,1000
abel__rd,38,41,41,63790,18,165.6,0,0,1000
abel__rd_s,36,41,41,65975,19,218.9,0,0,1000
abel__rd_mk,40,41,41,61540,18,110.7,0,0,1000
abel_len__plain,40,41,41,61627,18,112.9,48,83,1000
abel_len__rd,40,41,41,61627,18,112.9,0,0,1000
abel_len__rd_s,40,41,41,61633,18,113,0,0,1000
abel_len__rd_mk,40,41,41,61625,18,112.8,0,0,1000
len__plain,37,39,39,72549,60,244.8,37,49,1000
len__rd,37,39,39,72549,60,244.8,0,0,1000
len__rd_s,37,39,39,72378,60,240.5,0,0,1000
len__rd_mk,37,38,39,73549,60,270.5,0,0,1000
abel__plain,52,52,52,297372,35.0,1103.3,51,72,10000
abel__rd,52,52,52,297372,35.0,1103.3,0,0,10000
abel__rd_s,50,52,52,319982,38.0,1538.1,0,0,10000
abel__rd_mk,50,52,52,325829,32.5,1650.6,0,0,10000
abel_len__plain,51,52,52,304030,32.5,1231.3,48,83,10000
abel_len__rd,51,52,52,304030,32.5,1231.3,0,0,10000
abel_len__rd_s,52,52,52,294036,35.0,1039.2,0,0,10000
abel_len__rd_mk,52,52,52,294028,32.5,1039,0,0,10000
len__plain,47,48,49,418090,270,1797.8,37,49,10000
len__rd,47,48,50,415965,271.0,2319.3,0,0,10000
len__rd_s,47,48,51,411695,272,2778.3,0,0,10000
len__rd_mk,47,48,50,415965,271.0,2319.3,0,0,10000
