pres_id,bin,mu_in,best_mu,hits_stop,best_rep,treat_cap,beam_k,budget,length_solved,length_nodes,length_path,s20_mk2_solved,s20_mk2_nodes,s20_mk2_path,b1k_greedy_solved,b1k_heur_solved,b1k_covgreedy_solved,climb_source
0,0,6,6,True,"[""X"", ""YYXyx""]",24,4,1000,True,3,2,True,3,2,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
43,1,11,11,True,"[""YXXyx"", ""YYXyXX""]",24,4,1000,True,9,8,True,9,8,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
48,1,12,12,True,"[""YXXyx"", ""YYXyXXX""]",24,4,1000,True,17,11,True,13,11,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
77,1,13,11,True,"[""YXXyx"", ""YYXyxx""]",24,4,1000,True,7,6,True,9,8,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
141,1,13,11,True,"[""YXXyx"", ""YYXyXX""]",24,4,1000,True,9,8,True,9,8,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
155,1,13,12,True,"[""YXXyx"", ""YYXyXXX""]",24,4,1000,True,17,11,True,13,11,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
201,2,13,12,True,"[""YXXyx"", ""YYYXyyx""]",24,4,1000,True,8,7,True,10,9,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
203,3,12,12,True,"[""YXXYx"", ""YYYXyyx""]",24,4,1000,True,55,10,True,17,11,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
217,2,14,12,True,"[""YXXyx"", ""YYYXyyx""]",24,4,1000,True,8,7,True,10,9,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
228,0,14,8,True,"[""X"", ""YYYXyyx""]",24,4,1000,True,3,2,True,3,2,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
247,2,13,11,True,"[""YXXyx"", ""YYXyxx""]",24,4,1000,True,7,6,True,9,8,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
265,3,14,12,True,"[""YXXYx"", ""YYYXyyx""]",24,4,1000,True,55,10,True,17,11,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
288,2,15,12,True,"[""YXXYx"", ""YYYXyyx""]",24,4,1000,True,55,10,True,17,11,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
323,0,10,10,True,"[""X"", ""YYYYXyyyx""]",25,4,1000,True,3,2,True,3,2,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
327,3,15,12,True,"[""YXXyx"", ""YYXyxxx""]",24,4,1000,True,10,9,True,12,9,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
331,2,15,10,True,"[""YYXyX"", ""YXXyx""]",24,4,1000,True,6,5,True,6,5,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
333,3,14,12,True,"[""YXXyx"", ""YYXyxxx""]",24,4,1000,True,10,9,True,12,9,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
367,2,16,11,True,"[""YXXyx"", ""YYXyxx""]",24,4,1000,True,7,6,True,9,8,True,True,True,/workspace/results/comparison/covbeam_nonsym_beam_k4_climb_subset60.jsonl
