pres_id,beam_k,mu_in,best_mu,hits_stop,descended,best_rep,best_chain,chain_len,n_orbits_seen,stopped_reason,n_aut_canon,n_expanded,n_rungs,rungs_cap,stop_mu
0,1,6,6,True,False,"[""X"", ""YYXyx""]",[],0,1,stop_mu,1,0,0,256,12
496,1,16,16,False,False,"[""X"", ""YYYYYYYXyyyyyyx""]",[],0,4,closed,12,2,2,256,12
521,1,18,18,False,False,"[""X"", ""YYYYYYYYXyyyyyyyx""]",[],0,4,closed,14,3,3,256,12
323,1,10,10,True,False,"[""X"", ""YYYYXyyyx""]",[],0,1,stop_mu,1,0,0,256,12
228,1,14,8,True,True,"[""X"", ""YYYXyyx""]","[""yX""]",1,6,stop_mu,12,1,1,256,12
455,1,19,12,True,True,"[""X"", ""YYYYYXyyyyx""]","[""Xy""]",1,9,stop_mu,20,1,1,256,12
77,1,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yX""]",1,9,stop_mu,14,1,1,256,12
43,1,11,11,True,False,"[""YXXyx"", ""YYXyXX""]",[],0,1,stop_mu,1,0,0,256,12
141,1,13,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",1,8,stop_mu,11,1,1,256,12
48,1,12,12,True,False,"[""YXXyx"", ""YYXyXXX""]",[],0,1,stop_mu,1,0,0,256,12
155,1,13,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""Xy""]",1,6,stop_mu,10,1,1,256,12
505,1,22,19,False,True,"[""YYXXyxx"", ""YYxxxxxyXXXX""]","[""XXyx""]",1,148,closed,484,57,57,256,12
247,1,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""XXy""]",1,8,stop_mu,15,1,1,256,12
217,1,14,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,13,1,1,256,12
201,1,13,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,9,stop_mu,12,1,1,256,12
288,1,15,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,12,1,1,256,12
367,1,16,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yx"", ""XXy"", ""yy""]",3,15,stop_mu,36,3,3,256,12
331,1,15,10,True,True,"[""YYXyX"", ""YXXyx""]","[""yy"", ""yx""]",2,17,stop_mu,26,2,2,256,12
203,1,12,12,True,False,"[""YXXYx"", ""YYYXyyx""]",[],0,1,stop_mu,1,0,0,256,12
265,1,14,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,10,1,1,256,12
579,1,21,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""Xy""]",4,21,stop_mu,61,4,4,256,12
327,1,15,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",8,45,stop_mu,83,8,8,256,12
333,1,14,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",7,39,stop_mu,71,7,7,256,12
380,1,17,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",8,46,stop_mu,88,8,8,256,12
546,1,18,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""yy"", ""yx"", ""Xyx"", ""Xy""]",4,18,stop_mu,50,4,4,256,12
548,1,17,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""xx"", ""xy""]",4,24,stop_mu,42,4,4,256,12
533,1,16,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",8,45,stop_mu,85,8,8,256,12
589,1,20,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xxx"", ""yXy"", ""xy""]",3,17,stop_mu,31,3,3,256,12
580,1,21,19,False,True,"[""YYXXXXyx"", ""YYXyXYYXyXX""]","[""xx""]",1,15,closed,40,5,5,256,12
609,1,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxx"", ""yxY"", ""yy"", ""xy"", ""yX"", ""xy"", ""yX"", ""yX""]",8,40,stop_mu,87,8,8,256,12
538,1,17,15,False,True,"[""YXYXXYx"", ""YYYXXyyx""]","[""yy""]",1,24,closed,43,6,6,256,12
606,1,23,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""XXyxx"", ""yx"", ""xx""]",6,30,stop_mu,78,6,6,256,12
544,1,16,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""Xy"", ""xx"", ""yX"", ""xy"", ""yX"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx""]",18,84,stop_mu,158,18,18,256,12
549,1,18,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""Xy"", ""xx"", ""yX"", ""xy"", ""yX"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx""]",19,90,stop_mu,172,19,19,256,12
543,1,19,15,False,True,"[""YXyXYxx"", ""YYYYXXYx""]","[""xxxx""]",1,34,closed,104,12,12,256,12
565,1,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,124,closed,230,26,26,256,12
602,1,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxx"", ""yxY"", ""yXy"", ""xy"", ""yX"", ""xy"", ""yX"", ""yX""]",8,41,stop_mu,83,8,8,256,12
632,1,25,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxxx"", ""yXy"", ""xy"", ""yX"", ""xy"", ""yX"", ""yX""]",7,37,stop_mu,78,7,7,256,12
573,1,21,14,False,True,"[""YYXXyxx"", ""YYxYxyX""]","[""xxxxy"", ""xx""]",2,53,closed,115,16,16,256,12
586,1,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,131,closed,247,27,27,256,12
581,1,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,131,closed,247,27,27,256,12
