step,pres_id,bin,aut_class,r1,r2,start_length,nodes_greedy_b1M,nodes_stdcov_b1M,nodes_dualcov_b1M,stdcov_vs_greedy,dualcov_vs_greedy
1,0,0,0,YYXyx,Yx,7,3,3,3,1.0,1.0
2,496,0,68,YYYYYYYXyyyyyyx,YYX,18,4,4,3,1.0,1.33
3,521,0,83,YYYYYYYYXyyyyyyyx,YYYx,21,5,5,3,1.0,1.67
4,323,0,2,YYYYYx,YYYYXyyyx,15,7,5,3,1.4,2.33
5,228,0,52,YYYXyyx,YYXXYYx,14,9,7,9,1.29,1.0
6,455,0,89,YYYYYXyyyyx,YYYYxYXX,19,10,7,10,1.43,1.0
7,77,1,25,YYXyx,YXyXXyxx,13,11,8,9,1.38,1.22
8,43,1,7,YYXyx,YYxYxYX,12,13,18,13,0.72,1.0
9,141,1,46,YYXyx,YXyXyxxx,13,12,21,12,0.57,1.0
10,48,1,13,YYYxxYX,YYXyx,12,18,27,17,0.67,1.06
11,155,1,31,YYYYxyXX,YYXyx,13,18,31,41,0.58,0.44
12,505,1,105,YYYYYYYXyyyyyyx,YYXyyxx,22,34,58,36,0.59,0.94
13,247,2,23,YYYXyyx,YYXyyXyx,15,46,18,9,2.56,5.11
14,217,2,51,YYYXyyx,YYYxxyX,14,57,21,56,2.71,1.02
15,201,2,19,YYYXyyx,YYXYxYx,14,61,22,35,2.77,1.74
16,288,2,55,YYYYXXYx,YYYXyyx,15,106,28,189,3.79,0.56
17,367,2,72,YYYYXyyyx,YYXYYxYx,17,83,20,56,4.15,1.48
18,331,2,65,YYYYXyyyx,YYXYxYx,16,93,14,47,6.64,1.98
19,203,3,10,YYYXyyx,YYxYXYx,14,116,23,53,5.04,2.19
20,265,3,49,YYYXyyx,YYYxYxYX,15,121,32,94,3.78,1.29
21,579,3,100,YYYYYYXyyyyyx,YYYXYYxx,21,366,14,176,26.14,2.08
22,327,3,66,YYYYXyyyx,YYxYXX,15,273,48,238,5.69,1.15
23,333,3,54,YYYYXyyyx,YYxyXYx,16,313,48,22,6.52,14.23
24,380,3,77,YYYYXyyyx,YYYYxxyX,17,381,71,535,5.37,0.71
25,546,4,85,YYYYYXyyyyx,YYXYYxYx,19,398,22,123,18.09,3.24
26,548,4,82,YYYYYXyyyyx,YYxYYxyX,19,661,22,64,30.05,10.33
27,533,4,69,YYYYXyyyx,YYYXYxYx,17,438,68,317,6.44,1.38
28,589,4,94,YYYYYYXyyyyyx,YYYXYXYx,21,558,33,211,16.91,2.64
29,580,4,101,YYYYYYXyyyyyx,YYYxxYYX,21,875,56,448,15.62,1.95
30,609,4,104,YYYYYYYXyyyyyyx,YYYxYxyX,23,1217,105,429,11.59,2.84
