pres_id,bin,aut_class,start_length,r1,r2,greedy_budget,greedy_cap,greedy_solved,greedy_nodes,greedy_path,bestcov_budget,bestcov_cap,bestcov_solved,bestcov_nodes,bestcov_path,bestcov_z,bestcov_class,bestcov_found_at_budget,bestcov_n_tried,nodes_greedy_over_bestcov
0,0,0,7,YYXyx,Yx,1000000,24,True,3,2,20000,24,True,2,1,Yxy,relabel,10000,11,1.5
496,0,68,18,YYYYYYYXyyyyyyx,YYX,1000000,24,True,4,3,20000,31,True,3,2,YYYYYxyyyyyyy,relabel,10000,110,1.33
521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,1000000,24,True,5,4,20000,33,True,3,2,YXyy,relabel,10000,143,1.67
323,0,2,15,YYYYYx,YYYYXyyyx,1000000,24,True,7,6,20000,25,True,4,3,Xyyy,relabel,10000,46,1.75
228,0,52,14,YYYXyyx,YYXXYYx,1000000,24,True,9,7,20000,24,True,4,3,yyx,moved,10000,43,2.25
455,0,89,19,YYYYYXyyyyx,YYYYxYXX,1000000,24,True,10,9,20000,27,True,3,2,yyyyx,moved,10000,85,3.33
77,1,25,13,YYXyx,YXyXXyxx,1000000,24,True,11,8,20000,26,True,7,6,Xy,moved,10000,43,1.57
43,1,7,12,YYXyx,YYxYxYX,1000000,24,True,13,9,20000,24,True,7,6,xyX,relabel,10000,36,1.86
141,1,46,13,YYXyx,YXyXyxxx,1000000,24,True,12,10,20000,27,True,8,7,yx,moved,10000,40,1.5
48,1,13,12,YYYxxYX,YYXyx,1000000,24,True,18,11,20000,24,True,9,8,Xy,moved,10000,32,2.0
155,1,31,13,YYYYxyXX,YYXyx,1000000,24,True,18,12,20000,28,True,9,8,xyX,relabel,10000,36,2.0
505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,1000000,24,True,34,23,20000,44,True,15,14,Yxyy,moved,10000,133,2.27
247,2,23,15,YYYXyyx,YYXyyXyx,1000000,24,True,46,9,20000,27,True,9,7,XyyXy,relabel,10000,55,5.11
217,2,51,14,YYYXyyx,YYYxxyX,1000000,24,True,57,13,20000,24,True,9,7,Xyy,moved,10000,43,6.33
201,2,19,14,YYYXyyx,YYXYxYx,1000000,24,True,61,15,20000,27,True,10,8,Xyx,relabel,10000,48,6.1
288,2,55,15,YYYYXXYx,YYYXyyx,1000000,24,True,106,17,20000,28,True,12,9,Xyx,relabel,10000,48,8.83
367,2,72,17,YYYYXyyyx,YYXYYxYx,1000000,24,True,83,21,20000,34,True,25,10,Xyyy,relabel,10000,70,3.32
331,2,65,16,YYYYXyyyx,YYXYxYx,1000000,24,True,93,24,20000,29,True,9,8,Xyx,relabel,10000,65,10.33
203,3,10,14,YYYXyyx,YYxYXYx,1000000,24,True,116,16,20000,27,True,32,9,Xyy,moved,10000,49,3.62
265,3,49,15,YYYXyyx,YYYxYxYX,1000000,24,True,121,21,20000,26,True,62,11,xyX,relabel,10000,52,1.95
579,3,100,21,YYYYYYXyyyyyx,YYYXYYxx,1000000,24,True,366,26,20000,40,True,11,10,Xyyy,relabel,10000,109,33.27
327,3,66,15,YYYYXyyyx,YYxYXX,1000000,24,True,273,29,20000,26,True,25,16,yyyx,relabel,10000,58,10.92
333,3,54,16,YYYYXyyyx,YYxyXYx,1000000,24,True,313,35,20000,25,True,22,15,YYXyyy,relabel,10000,65,14.23
380,3,77,17,YYYYXyyyx,YYYYxxyX,1000000,24,True,381,39,20000,25,True,22,15,Xyyy,moved,10000,63,17.32
546,4,85,19,YYYYYXyyyyx,YYXYYxYx,1000000,24,True,398,24,20000,37,True,15,12,Xyyyy,relabel,10000,90,26.53
548,4,82,19,YYYYYXyyyyx,YYxYYxyX,1000000,24,True,661,28,20000,27,True,13,12,Xyyy,relabel,10000,91,50.85
533,4,69,17,YYYYXyyyx,YYYXYxYx,1000000,24,True,438,43,20000,34,True,23,16,Xyyy,relabel,10000,69,19.04
589,4,94,21,YYYYYYXyyyyyx,YYYXYXYx,1000000,24,True,558,46,20000,29,True,13,12,xyyyyyy,relabel,10000,113,42.92
580,4,101,21,YYYYYYXyyyyyx,YYYxxYYX,1000000,24,True,875,47,20000,30,True,25,17,Xyyyyy,relabel,10000,109,35.0
609,4,104,23,YYYYYYYXyyyyyyx,YYYxYxyX,1000000,24,True,1217,56,20000,31,True,37,22,Xyyy,moved,10000,140,32.89
538,5,81,18,YYYYYXyyyyx,YYxYxYX,1000000,24,True,2261,25,20000,27,True,13,12,Xyyy,relabel,10000,85,173.92
606,5,107,23,YYYYYYYXyyyyyyx,YYYxxYYX,1000000,24,True,2023,39,20000,32,True,17,14,Xyyyyy,relabel,10000,138,119.0
544,5,74,19,YYYYYXyyyyx,YYYxyXYx,1000000,24,True,1569,75,20000,31,True,117,41,xYXy,relabel,10000,89,13.41
549,5,84,19,YYYYYXyyyyx,YYYxYxYX,1000000,24,True,1411,79,20000,27,True,226,54,Xyyy,moved,10000,89,6.24
543,5,88,19,YYYYYXyyyyx,YYYYXYxx,1000000,24,True,1813,81,20000,35,True,118,42,Xyx,relabel,10000,85,15.36
565,5,87,20,YYYYYYXyyyyyx,YYxyXYx,1000000,24,True,1404,145,20000,31,True,615,99,xYXy,relabel,10000,109,2.28
602,6,103,22,YYYYYYYXyyyyyyx,YYYxYXX,1000000,24,True,6285,56,20000,35,True,37,22,YYxyyyyyyy,relabel,10000,134,169.86
632,6,111,25,YYYYYYYYXyyyyyyyx,YYYYXXYx,1000000,24,True,6425,56,20000,33,True,39,22,YYxyyyyyyyy,relabel,10000,169,164.74
573,6,98,21,YYYYYYXyyyyyx,YYYYXYxx,1000000,24,True,13393,63,20000,40,True,3182,42,Xyyy,relabel,10000,109,4.21
586,6,99,21,YYYYYYXyyyyyx,YYYYxYXX,1000000,24,True,9162,153,20000,30,True,616,100,yyyyyx,relabel,10000,109,14.87
581,6,99,21,YYYYYYXyyyyyx,YYYYxxYX,1000000,24,True,9567,153,20000,30,True,632,100,Xyyyyy,relabel,10000,109,15.14
575,6,87,21,YYYYYYXyyyyyx,YYYxyXYx,1000000,24,True,14383,156,20000,33,True,615,99,xYXy,relabel,10000,113,23.39
568,7,93,20,YYYYYYXyyyyyx,YYXYXyx,1000000,24,True,15814,48,20000,29,True,3181,42,XYxy,relabel,10000,108,4.97
578,7,93,21,YYYYYYXyyyyyx,YYXYYXyx,1000000,24,True,15873,50,20000,29,True,3181,42,XYxy,relabel,10000,115,4.99
583,7,93,21,YYYYYYXyyyyyx,YYXyxYYx,1000000,24,True,16111,52,20000,31,True,3320,39,XYxy,relabel,10000,116,4.85
628,7,110,25,YYYYYYYYXyyyyyyyx,YYXyXyyx,1000000,24,True,26774,81,20000,46,True,158,51,YYYYYYYxyyyyyyy,relabel,10000,173,169.46
633,7,110,25,YYYYYYYYXyyyyyyyx,YYXyyxyx,1000000,24,True,26838,83,20000,46,True,158,51,XYYxyy,relabel,10000,173,169.86
596,7,97,22,YYYYYYYXyyyyyyx,YYxyXYx,1000000,24,True,16168,337,20000,33,True,3353,231,xYXy,relabel,10000,138,4.82
605,8,97,23,YYYYYYYXyyyyyyx,YYYXyxYX,1000000,24,True,60593,307,20000,31,True,3353,231,YYYxyyyyyyy,relabel,10000,142,18.07
610,8,97,23,YYYYYYYXyyyyyyx,YYYxYXyx,1000000,24,True,61366,309,20000,31,True,3359,225,XYxy,relabel,10000,141,18.27
625,8,106,24,YYYYYYYYXyyyyyyyx,YYXYxyX,1000000,24,True,78770,665,20000,34,True,14447,489,xyyyy,relabel,20000,169,5.45
622,8,106,24,YYYYYYYYXyyyyyyyx,YYxyXYx,1000000,24,True,78774,671,20000,37,True,14469,489,xyX,relabel,20000,169,5.44
624,8,106,24,YYYYYYYYXyyyyyyyx,YYxYXyx,1000000,24,True,59971,706,20000,35,True,14385,488,Xy,moved,20000,169,4.17
623,8,106,24,YYYYYYYYXyyyyyyyx,YYXyxYX,1000000,24,True,59710,708,20000,33,True,14352,488,yx,moved,20000,169,4.16
634,9,108,23,YYYYYYYXyyyyyyx,YYYXyyxx,1000000,24,True,574348,80,20000,43,True,410,38,YYxyy,moved,10000,138,1400.85
635,9,108,23,YYYYYYYXyyyyyyx,YYYXXyyx,1000000,24,True,574959,80,20000,39,True,410,38,yyxYY,moved,10000,134,1402.34
637,9,106,25,YYYYYYYYXyyyyyyyx,YYYXyxYX,1000000,24,True,271866,667,20000,33,True,14413,489,xyyy,moved,20000,173,18.86
639,9,106,25,YYYYYYYYXyyyyyyyx,YYYxYXyx,1000000,24,True,272953,669,20000,33,True,14444,489,yyyX,moved,20000,172,18.9
638,9,106,25,YYYYYYYYXyyyyyyyx,YYYxyXYx,1000000,24,True,213878,672,20000,39,True,14469,489,xyX,relabel,20000,173,14.78
636,9,106,25,YYYYYYYYXyyyyyyyx,YYYXYxyX,1000000,24,True,213882,678,20000,34,True,14447,489,xyyyyy,relabel,20000,172,14.8
