pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,kden_w5_solved,kden_w5_nodes,kden_w5_path,kden_w10_solved,kden_w10_nodes,kden_w10_path,kden_w20_solved,kden_w20_nodes,kden_w20_path,kden_w40_solved,kden_w40_nodes,kden_w40_path,kden_w80_solved,kden_w80_nodes,kden_w80_path,k_w0_5_solved,k_w0_5_nodes,k_w0_5_path,k_w1_solved,k_w1_nodes,k_w1_path,k_w2_solved,k_w2_nodes,k_w2_path,k_w2_53_solved,k_w2_53_nodes,k_w2_53_path,k_w5_solved,k_w5_nodes,k_w5_path,k_w8_solved,k_w8_nodes,k_w8_path,k_w10_solved,k_w10_nodes,k_w10_path,k_w16_solved,k_w16_nodes,k_w16_path
0,0,YYXyx,Yx,True,3,2,True,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2
43,1,YYXyx,YYxYxYX,True,13,9,True,14,11,true,14,9,true,14,9,true,15,11,true,16,11,true,21,13,true,14,9,true,14,9,true,15,11,true,15,11,true,15,11,true,15,11,true,15,11,true,15,11
48,1,YYYxxYX,YYXyx,True,18,11,True,13,11,true,18,11,true,18,11,true,14,11,true,15,11,true,36,13,true,18,11,true,19,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11
77,1,YYXyx,YXyXXyxx,True,11,8,True,11,10,true,11,10,true,11,10,true,11,10,true,17,10,true,62,19,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10
141,1,YYXyx,YXyXyxxx,True,12,10,True,12,10,true,12,10,true,12,10,true,12,10,true,17,12,true,63,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10
155,1,YYYYxyXX,YYXyx,True,18,12,True,13,12,true,21,14,true,21,14,true,14,12,true,15,12,true,29,10,true,21,14,true,19,12,true,14,12,true,14,12,true,14,12,true,14,12,true,14,12,true,14,12
201,2,YYYXyyx,YYXYxYx,True,61,15,True,49,20,true,61,15,true,50,20,true,45,17,true,74,21,false,1000,,true,61,15,true,93,20,true,60,20,true,48,17,true,64,17,true,169,17,true,208,17,true,417,17
203,3,YYYXyyx,YYxYXYx,True,116,16,True,98,20,true,107,16,true,79,20,true,74,20,true,210,24,false,1000,,true,102,16,true,116,16,true,74,20,true,78,20,true,151,20,true,241,20,true,321,20,true,768,20
217,2,YYYXyyx,YYYxxyX,True,57,13,True,48,18,true,60,13,true,49,18,true,45,15,true,74,19,false,1000,,true,60,13,true,92,18,true,60,18,true,48,15,true,64,15,true,169,15,true,208,15,true,417,15
228,0,YYYXyyx,YYXXYYx,True,9,7,True,8,7,true,9,7,true,9,7,true,9,7,true,10,8,true,12,8,true,9,7,true,9,7,true,9,7,true,9,7,true,9,8,true,9,8,true,9,8,true,9,8
247,2,YYYXyyx,YYXyyXyx,True,46,9,True,70,13,true,48,9,true,30,13,true,43,13,true,173,17,false,1000,,true,48,9,true,80,9,true,42,13,true,45,13,true,100,13,true,180,13,true,254,13,true,673,13
265,3,YYYXyyx,YYYxYxYX,True,121,21,True,99,25,true,109,21,true,81,25,true,76,25,true,212,29,false,1000,,true,104,21,true,121,21,true,77,25,true,80,25,true,153,25,true,246,25,true,324,25,true,858,25
288,2,YYYYXXYx,YYYXyyx,True,106,17,True,97,21,true,105,17,true,79,21,true,73,21,true,211,25,false,1000,,true,98,17,true,117,19,true,74,21,true,77,21,true,151,21,true,243,21,true,321,21,true,855,21
323,0,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,true,7,6,true,7,6,true,7,6,true,8,6,true,11,7,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6
327,3,YYYYXyyyx,YYxYXX,True,273,29,True,198,34,true,219,29,true,191,33,true,302,34,true,76,25,true,275,30,true,207,29,true,256,32,true,253,32,true,352,34,true,74,25,true,87,25,true,97,25,true,112,25
331,2,YYYYXyyyx,YYXYxYx,True,93,24,True,51,23,true,111,24,true,98,28,true,207,28,true,194,25,false,1000,,true,113,24,true,156,28,true,74,23,true,67,21,true,129,21,true,220,21,true,294,21,true,773,21
333,3,YYYYXyyyx,YYxyXYx,True,313,35,True,224,31,true,271,37,true,257,29,true,307,31,true,77,21,true,210,25,true,270,25,true,247,29,true,245,29,true,362,31,true,79,21,true,86,21,true,92,21,true,106,21
367,2,YYYYXyyyx,YYXYYxYx,True,83,21,True,64,25,true,118,23,true,82,27,true,284,23,true,122,26,false,1000,,true,108,23,true,132,23,true,178,25,true,380,23,true,99,22,true,209,22,true,249,22,true,513,22
380,3,YYYYXyyyx,YYYYxxyX,True,381,39,True,226,36,true,425,41,true,266,34,true,319,36,true,88,26,true,411,30,true,294,30,true,273,34,true,272,34,true,374,36,true,91,26,true,97,26,true,104,26,true,117,26
455,0,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,10,9,true,10,9,true,10,9,true,10,9,true,11,9,true,14,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9
496,0,YYYYYYYXyyyyyyx,YYX,True,4,3,True,4,3,true,4,3,true,4,3,true,6,4,true,6,4,true,6,4,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3,true,4,3
505,1,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,23,17,true,34,23,true,34,23,true,20,17,true,20,17,true,32,19,true,34,23,true,22,17,true,20,17,true,19,17,true,20,17,true,22,17,true,23,17,true,24,17
