pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,kden_w10_solved,kden_w10_nodes,kden_w10_path,kden_w40_solved,kden_w40_nodes,kden_w40_path,kden_w80_solved,kden_w80_nodes,kden_w80_path,kden_w160_solved,kden_w160_nodes,kden_w160_path
0,0,YYXyx,Yx,True,3,2,True,3,2,true,3,2,true,3,2,true,3,2,true,3,2
43,1,YYXyx,YYxYxYX,True,13,9,True,14,11,true,14,9,true,16,11,true,21,13,false,1000,
48,1,YYYxxYX,YYXyx,True,18,11,True,13,11,true,18,11,true,15,11,true,36,13,false,1000,
77,1,YYXyx,YXyXXyxx,True,11,8,True,11,10,true,11,10,true,17,10,true,62,19,false,1000,
141,1,YYXyx,YXyXyxxx,True,12,10,True,12,10,true,12,10,true,17,12,true,63,10,false,1000,
155,1,YYYYxyXX,YYXyx,True,18,12,True,13,12,true,21,14,true,15,12,true,29,10,false,1000,
201,2,YYYXyyx,YYXYxYx,True,61,15,True,49,20,true,50,20,true,74,21,false,1000,,false,1000,
203,3,YYYXyyx,YYxYXYx,True,116,16,True,98,20,true,79,20,true,210,24,false,1000,,false,1000,
217,2,YYYXyyx,YYYxxyX,True,57,13,True,48,18,true,49,18,true,74,19,false,1000,,false,1000,
228,0,YYYXyyx,YYXXYYx,True,9,7,True,8,7,true,9,7,true,10,8,true,12,8,false,1000,
247,2,YYYXyyx,YYXyyXyx,True,46,9,True,70,13,true,30,13,true,173,17,false,1000,,false,1000,
265,3,YYYXyyx,YYYxYxYX,True,121,21,True,99,25,true,81,25,true,212,29,false,1000,,false,1000,
288,2,YYYYXXYx,YYYXyyx,True,106,17,True,97,21,true,79,21,true,211,25,false,1000,,false,1000,
323,0,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,true,7,6,true,8,6,true,11,7,false,1000,
327,3,YYYYXyyyx,YYxYXX,True,273,29,True,198,34,true,191,33,true,76,25,true,275,30,false,1000,
331,2,YYYYXyyyx,YYXYxYx,True,93,24,True,51,23,true,98,28,true,194,25,false,1000,,false,1000,
333,3,YYYYXyyyx,YYxyXYx,True,313,35,True,224,31,true,257,29,true,77,21,true,210,25,false,1000,
367,2,YYYYXyyyx,YYXYYxYx,True,83,21,True,64,25,true,82,27,true,122,26,false,1000,,false,1000,
380,3,YYYYXyyyx,YYYYxxyX,True,381,39,True,226,36,true,266,34,true,88,26,true,411,30,false,1000,
455,0,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,10,9,true,10,9,true,11,9,true,14,9,false,1000,
496,0,YYYYYYYXyyyyyyx,YYX,True,4,3,True,4,3,true,4,3,true,6,4,true,6,4,false,1000,
505,1,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,23,17,true,34,23,true,20,17,true,32,19,false,1000,
521,0,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,5,4,true,5,4,true,7,5,true,7,5,false,1000,
533,4,YYYYXyyyx,YYYXYxYx,True,438,43,True,227,38,true,270,39,true,88,28,true,409,32,false,1000,
538,5,YYYYYXyyyyx,YYxYxYX,False,1000,,True,531,32,true,980,33,false,1000,,false,1000,,false,1000,
543,5,YYYYYXyyyyx,YYYYXYxx,False,1000,,True,160,52,true,993,77,true,267,54,true,189,46,false,1000,
544,5,YYYYYXyyyyx,YYYxyXYx,False,1000,,True,160,48,true,987,71,true,250,50,true,186,42,false,1000,
546,4,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,111,23,true,311,30,true,108,26,true,195,30,false,1000,
