pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,eq_a1_solved,eq_a1_nodes,eq_a1_path,eq_a2_solved,eq_a2_nodes,eq_a2_path,eq_a3_solved,eq_a3_nodes,eq_a3_path,eq_a4_solved,eq_a4_nodes,eq_a4_path,eq_a5_solved,eq_a5_nodes,eq_a5_path,eq_a6_solved,eq_a6_nodes,eq_a6_path,eq_a8_solved,eq_a8_nodes,eq_a8_path,eq_a10_solved,eq_a10_nodes,eq_a10_path,eq_a15_solved,eq_a15_nodes,eq_a15_path,eq_a20_solved,eq_a20_nodes,eq_a20_path,eq_a28_solved,eq_a28_nodes,eq_a28_path,eq_a40_solved,eq_a40_nodes,eq_a40_path
0,0,YYXyx,Yx,True,3,2,True,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2
43,1,YYXyx,YYxYxYX,True,13,9,True,14,11,true,13,9,true,13,9,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11
48,1,YYYxxYX,YYXyx,True,18,11,True,13,11,true,15,11,true,15,11,true,14,11,true,14,11,true,14,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11
77,1,YYXyx,YXyXXyxx,True,11,8,True,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10
141,1,YYXyx,YXyXyxxx,True,12,10,True,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10
155,1,YYYYxyXX,YYXyx,True,18,12,True,13,12,true,18,14,true,18,14,true,14,12,true,14,12,true,14,12,true,13,12,true,13,12,true,13,12,true,13,12,true,13,12,true,13,12,true,13,12
201,2,YYYXyyx,YYXYxYx,True,61,15,True,49,20,true,45,15,true,45,15,true,45,15,true,45,15,true,35,20,true,34,20,true,35,20,true,27,17,true,26,17,true,58,17,true,74,17,true,95,17
203,3,YYYXyyx,YYxYXYx,True,116,16,True,98,20,true,93,16,true,88,16,true,84,16,true,84,16,true,53,20,true,45,20,true,60,20,true,60,20,true,68,20,true,81,20,true,96,20,true,120,20
217,2,YYYXyyx,YYYxxyX,True,57,13,True,48,18,true,44,13,true,44,13,true,44,13,true,44,13,true,34,18,true,33,18,true,34,18,true,27,15,true,26,15,true,58,15,true,74,15,true,95,15
228,0,YYYXyyx,YYXXYYx,True,9,7,True,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7
