pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,mk_w2_solved,mk_w2_nodes,mk_w2_path,mk_w4_solved,mk_w4_nodes,mk_w4_path,mk_w6_418_solved,mk_w6_418_nodes,mk_w6_418_path,mk_w8_solved,mk_w8_nodes,mk_w8_path,mk_w10_solved,mk_w10_nodes,mk_w10_path,mk_w12_solved,mk_w12_nodes,mk_w12_path,mk_w16_solved,mk_w16_nodes,mk_w16_path,mk_w24_solved,mk_w24_nodes,mk_w24_path
0,0,YYXyx,Yx,True,3,2,True,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2
43,1,YYXyx,YYxYxYX,True,13,9,True,14,11,true,15,11,true,15,11,true,15,11,true,15,11,true,15,11,true,15,11,true,15,11,true,15,11
48,1,YYYxxYX,YYXyx,True,18,11,True,13,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11,true,14,11
77,1,YYXyx,YXyXXyxx,True,11,8,True,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10,true,11,10
141,1,YYXyx,YXyXyxxx,True,12,10,True,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10,true,12,10
155,1,YYYYxyXX,YYXyx,True,18,12,True,13,12,true,14,12,true,14,12,true,14,12,true,14,12,true,14,12,true,14,12,true,14,12,true,14,12
201,2,YYYXyyx,YYXYxYx,True,61,15,True,49,20,true,64,15,true,74,15,true,83,15,true,166,15,true,208,15,true,237,15,true,324,15,true,508,15
203,3,YYYXyyx,YYxYXYx,True,116,16,True,98,20,true,112,16,true,158,16,true,211,16,true,241,16,true,302,16,true,367,16,true,517,16,true,931,16
217,2,YYYXyyx,YYYxxyX,True,57,13,True,48,18,true,61,13,true,71,13,true,80,13,true,163,13,true,205,13,true,234,13,true,321,13,true,505,13
228,0,YYYXyyx,YYXXYYx,True,9,7,True,8,7,true,9,7,true,9,7,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8
247,2,YYYXyyx,YYXyyXyx,True,46,9,True,70,13,true,56,9,true,96,9,true,146,9,true,172,9,true,226,9,true,286,9,true,426,9,true,635,9
265,3,YYYXyyx,YYYxYxYX,True,121,21,True,99,25,true,116,21,true,162,21,true,214,21,true,247,21,true,306,21,true,372,21,true,611,21,true,934,21
288,2,YYYYXXYx,YYYXyyx,True,106,17,True,97,21,true,100,17,true,146,17,true,198,17,true,235,17,true,292,17,true,358,17,true,595,17,true,918,17
323,0,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6
327,3,YYYYXyyyx,YYxYXX,True,273,29,True,198,34,true,191,29,true,221,33,true,273,33,true,297,33,true,334,33,true,380,33,true,494,33,true,675,33
331,2,YYYYXyyyx,YYXYxYx,True,93,24,True,51,23,true,94,24,true,116,24,true,80,18,true,165,18,true,199,18,true,228,18,true,317,18,true,498,18
333,3,YYYYXyyyx,YYxyXYx,True,313,35,True,224,31,true,177,25,true,226,29,true,291,29,true,312,29,true,347,29,true,402,29,true,522,29,true,706,29
367,2,YYYYXyyyx,YYXYYxYx,True,83,21,True,64,25,true,78,21,true,155,25,true,105,20,true,187,20,true,210,20,true,244,20,true,328,20,true,515,20
380,3,YYYYXyyyx,YYYYxxyX,True,381,39,True,226,36,true,217,30,true,261,34,true,320,34,true,341,34,true,377,34,true,433,34,true,551,34,true,735,34
