pres_id,bin,aut_class,start_length,r1,r2,nodes_bestcov_b10k,nodes_greedy_b1M,nodes_stdcov_b1M,nodes_dualcov_b1M,nodes_hsearch_base_b100k,nodes_hsearch_reco_b100k,nodes_greedy_b10k,solved_bestcov_b10k,solved_greedy_b1M,solved_stdcov_b1M,solved_dualcov_b1M,solved_hsearch_base_b100k,solved_hsearch_reco_b100k,solved_greedy_b10k,best_z,best_cov_class,x_bestcov_greedy_b1M,x_bestcov_stdcov_b1M,x_bestcov_dualcov_b1M,x_bestcov_hsearch_base_b100k,x_bestcov_hsearch_reco_b100k,x_bestcov_greedy_b10k,nodes_bestcov_b20k,solved_bestcov_b20k,best_technique_is_oracle,best_technique,best_nodes
0,0,0,7,YYXyx,Yx,2,3,3,3,3,3,3,True,True,True,True,True,True,True,Yxy,relabel,1.5,1.5,1.5,1.5,1.5,1.5,2,True,True,bestcov_b10k,2
496,0,68,18,YYYYYYYXyyyyyyx,YYX,3,4,4,3,4,4,4,True,True,True,True,True,True,True,YYYYYxyyyyyyy,relabel,1.33,1.33,1.0,1.33,1.33,1.33,3,True,True,bestcov_b10k,3
521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,3,5,5,3,5,5,5,True,True,True,True,True,True,True,YXyy,relabel,1.67,1.67,1.0,1.67,1.67,1.67,3,True,True,bestcov_b10k,3
323,0,2,15,YYYYYx,YYYYXyyyx,4,7,5,3,7,7,7,True,True,True,True,True,True,True,Xyyy,relabel,1.75,1.25,0.75,1.75,1.75,1.75,4,True,True,dualcov_b1M,3
228,0,52,14,YYYXyyx,YYXXYYx,4,9,7,9,9,8,9,True,True,True,True,True,True,True,yyx,moved,2.25,1.75,2.25,2.25,2.0,2.25,4,True,True,bestcov_b10k,4
455,0,89,19,YYYYYXyyyyx,YYYYxYXX,3,10,7,10,10,10,10,True,True,True,True,True,True,True,yyyyx,moved,3.33,2.33,3.33,3.33,3.33,3.33,3,True,True,bestcov_b10k,3
77,1,25,13,YYXyx,YXyXXyxx,7,11,8,9,11,11,11,True,True,True,True,True,True,True,Xy,moved,1.57,1.14,1.29,1.57,1.57,1.57,7,True,True,bestcov_b10k,7
43,1,7,12,YYXyx,YYxYxYX,7,13,18,13,13,14,13,True,True,True,True,True,True,True,xyX,relabel,1.86,2.57,1.86,1.86,2.0,1.86,7,True,True,bestcov_b10k,7
141,1,46,13,YYXyx,YXyXyxxx,8,12,21,12,12,12,12,True,True,True,True,True,True,True,yx,moved,1.5,2.62,1.5,1.5,1.5,1.5,8,True,True,bestcov_b10k,8
48,1,13,12,YYYxxYX,YYXyx,9,18,27,17,18,13,18,True,True,True,True,True,True,True,Xy,moved,2.0,3.0,1.89,2.0,1.44,2.0,9,True,True,bestcov_b10k,9
155,1,31,13,YYYYxyXX,YYXyx,9,18,31,41,18,13,18,True,True,True,True,True,True,True,xyX,relabel,2.0,3.44,4.56,2.0,1.44,2.0,9,True,True,bestcov_b10k,9
505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,15,34,58,36,34,23,34,True,True,True,True,True,True,True,Yxyy,moved,2.27,3.87,2.4,2.27,1.53,2.27,15,True,True,bestcov_b10k,15
247,2,23,15,YYYXyyx,YYXyyXyx,9,46,18,9,46,70,46,True,True,True,True,True,True,True,XyyXy,relabel,5.11,2.0,1.0,5.11,7.78,5.11,9,True,True,bestcov_b10k,9
217,2,51,14,YYYXyyx,YYYxxyX,9,57,21,56,57,48,57,True,True,True,True,True,True,True,Xyy,moved,6.33,2.33,6.22,6.33,5.33,6.33,9,True,True,bestcov_b10k,9
