pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,s_w2_solved,s_w2_nodes,s_w2_path,s_w4_solved,s_w4_nodes,s_w4_path,s_w8_458_solved,s_w8_458_nodes,s_w8_458_path,s_w12_solved,s_w12_nodes,s_w12_path,s_w16_solved,s_w16_nodes,s_w16_path,s_w20_solved,s_w20_nodes,s_w20_path,s_w24_solved,s_w24_nodes,s_w24_path,s_w32_solved,s_w32_nodes,s_w32_path
0,0,YYXyx,Yx,True,3,2,True,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2,true,3,2
43,1,YYXyx,YYxYxYX,True,13,9,True,14,11,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9,true,10,9
48,1,YYYxxYX,YYXyx,True,18,11,True,13,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11,true,13,11
77,1,YYXyx,YXyXXyxx,True,11,8,True,11,10,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8,true,9,8
141,1,YYXyx,YXyXyxxx,True,12,10,True,12,10,true,11,10,true,11,10,true,11,10,true,18,11,true,28,11,true,28,11,true,28,11,true,28,11
155,1,YYYYxyXX,YYXyx,True,18,12,True,13,12,true,14,12,true,14,12,true,16,12,true,16,12,true,16,12,true,16,12,true,16,12,true,16,12
201,2,YYYXyyx,YYXYxYx,True,61,15,True,49,20,true,37,15,true,29,15,true,30,15,true,31,15,true,59,13,true,54,13,true,54,13,true,54,13
203,3,YYYXyyx,YYxYXYx,True,116,16,True,98,20,true,100,16,true,77,16,true,54,17,true,40,17,true,43,17,true,89,17,true,82,14,true,82,14
217,2,YYYXyyx,YYYxxyX,True,57,13,True,48,18,true,36,13,true,28,13,true,26,13,true,26,13,true,43,11,true,50,13,true,50,13,true,50,13
228,0,YYYXyyx,YYXXYYx,True,9,7,True,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7,true,8,7
247,2,YYYXyyx,YYXyyXyx,True,46,9,True,70,13,true,42,9,true,26,9,true,24,10,true,16,10,true,16,10,true,16,10,true,16,10,true,16,10
265,3,YYYXyyx,YYYxYxYX,True,121,21,True,99,25,true,102,21,true,79,21,true,71,22,true,55,22,true,64,22,true,107,22,true,100,19,true,100,19
288,2,YYYYXXYx,YYYXyyx,True,106,17,True,97,21,true,88,17,true,74,17,true,55,18,true,48,18,true,44,18,true,77,14,true,77,14,true,77,14
323,0,YYYYYx,YYYYXyyyx,True,7,6,True,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6,true,7,6
327,3,YYYYXyyyx,YYxYXX,True,273,29,True,198,34,true,158,29,true,136,29,true,139,30,true,115,24,true,124,24,true,140,24,true,120,26,true,117,26
