pres_id,bin,aut_class,start_length,r1,r2,greedy_solved,greedy_nodes,greedy_path,bestcov_solved,bestcov_nodes,bestcov_path,bestcov_z,bestcov_class,n_cov_tried,heur_solved,heur_nodes,heur_path
0,0,0,7,YYXyx,Yx,True,3,2,True,2,1,Yxy,relabel,11,True,3,2
496,0,68,18,YYYYYYYXyyyyyyx,YYX,True,4,3,True,3,2,YYYYYxyyyyyyy,relabel,110,True,4,3
521,0,83,21,YYYYYYYYXyyyyyyyx,YYYx,True,5,4,True,3,2,YXyy,relabel,143,True,5,4
323,0,2,15,YYYYYx,YYYYXyyyx,True,7,6,True,4,3,Xyyy,relabel,46,True,7,6
228,0,52,14,YYYXyyx,YYXXYYx,True,9,7,True,4,3,yyx,moved,43,True,8,7
455,0,89,19,YYYYYXyyyyx,YYYYxYXX,True,10,9,True,3,2,yyyyx,moved,85,True,10,9
77,1,25,13,YYXyx,YXyXXyxx,True,11,8,True,7,6,Xy,moved,43,True,11,10
43,1,7,12,YYXyx,YYxYxYX,True,13,9,True,7,6,xyX,relabel,36,True,14,11
141,1,46,13,YYXyx,YXyXyxxx,True,12,10,True,8,7,yx,moved,40,True,12,10
48,1,13,12,YYYxxYX,YYXyx,True,18,11,True,9,8,Xy,moved,32,True,13,11
155,1,31,13,YYYYxyXX,YYXyx,True,18,12,True,9,8,xyX,relabel,36,True,13,12
505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,True,34,23,True,15,14,Yxyy,moved,133,True,23,17
247,2,23,15,YYYXyyx,YYXyyXyx,True,46,9,True,9,7,XyyXy,relabel,55,True,70,13
217,2,51,14,YYYXyyx,YYYxxyX,True,57,13,True,9,7,Xyy,moved,43,True,48,18
201,2,19,14,YYYXyyx,YYXYxYx,True,61,15,True,10,8,Xyx,relabel,48,True,49,20
288,2,55,15,YYYYXXYx,YYYXyyx,True,106,17,True,12,9,Xyx,relabel,48,True,97,21
367,2,72,17,YYYYXyyyx,YYXYYxYx,True,83,21,True,25,10,Xyyy,relabel,70,True,64,25
331,2,65,16,YYYYXyyyx,YYXYxYx,True,93,24,True,9,8,Xyx,relabel,65,True,51,23
203,3,10,14,YYYXyyx,YYxYXYx,True,116,16,True,32,9,Xyy,moved,49,True,98,20
265,3,49,15,YYYXyyx,YYYxYxYX,True,121,21,True,62,11,xyX,relabel,52,True,99,25
579,3,100,21,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,11,10,Xyyy,relabel,109,True,101,25
327,3,66,15,YYYYXyyyx,YYxYXX,True,273,29,True,25,16,yyyx,relabel,58,True,198,34
333,3,54,16,YYYYXyyyx,YYxyXYx,True,313,35,True,22,15,YYXyyy,relabel,65,True,224,31
380,3,77,17,YYYYXyyyx,YYYYxxyX,True,381,39,True,22,15,Xyyy,moved,63,True,226,36
546,4,85,19,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,15,12,Xyyyy,relabel,90,True,111,23
548,4,82,19,YYYYYXyyyyx,YYxYYxyX,True,661,28,True,13,12,Xyyy,relabel,91,True,496,34
533,4,69,17,YYYYXyyyx,YYYXYxYx,True,438,43,True,23,16,Xyyy,relabel,69,True,227,38
589,4,94,21,YYYYYYXyyyyyx,YYYXYXYx,True,558,46,True,13,12,xyyyyyy,relabel,113,True,575,38
580,4,101,21,YYYYYYXyyyyyx,YYYxxYYX,True,875,47,True,25,17,Xyyyyy,relabel,109,True,252,42
609,4,104,23,YYYYYYYXyyyyyyx,YYYxYxyX,True,1217,56,True,37,22,Xyyy,moved,140,True,821,45
538,5,81,18,YYYYYXyyyyx,YYxYxYX,True,2261,25,True,13,12,Xyyy,relabel,85,True,531,32
606,5,107,23,YYYYYYYXyyyyyyx,YYYxxYYX,True,2023,39,True,17,14,Xyyyyy,relabel,138,True,829,45
544,5,74,19,YYYYYXyyyyx,YYYxyXYx,True,1569,75,True,117,41,xYXy,relabel,89,True,160,48
549,5,84,19,YYYYYXyyyyx,YYYxYxYX,True,1411,79,True,226,54,Xyyy,moved,89,True,137,47
543,5,88,19,YYYYYXyyyyx,YYYYXYxx,True,1813,81,True,118,42,Xyx,relabel,85,True,160,52
565,5,87,20,YYYYYYXyyyyyx,YYxyXYx,True,1404,145,True,615,99,xYXy,relabel,109,True,422,99
602,6,103,22,YYYYYYYXyyyyyyx,YYYxYXX,True,6285,56,True,37,22,YYxyyyyyyy,relabel,134,True,824,52
632,6,111,25,YYYYYYYYXyyyyyyyx,YYYYXXYx,True,6425,56,True,39,22,YYxyyyyyyyy,relabel,169,True,831,57
573,6,98,21,YYYYYYXyyyyyx,YYYYXYxx,False,10000,,True,3182,42,Xyyy,relabel,109,True,7569,99
586,6,99,21,YYYYYYXyyyyyx,YYYYxYXX,True,9162,153,True,616,100,yyyyyx,relabel,109,True,388,99
581,6,99,21,YYYYYYXyyyyyx,YYYYxxYX,True,9567,153,True,632,100,Xyyyyy,relabel,109,True,385,99
575,6,87,21,YYYYYYXyyyyyx,YYYxyXYx,False,10000,,True,615,99,xYXy,relabel,113,True,422,102
568,7,93,20,YYYYYYXyyyyyx,YYXYXyx,False,10000,,True,3181,42,XYxy,relabel,108,True,7542,85
578,7,93,21,YYYYYYXyyyyyx,YYXYYXyx,False,10000,,True,3181,42,XYxy,relabel,115,True,7543,88
583,7,93,21,YYYYYYXyyyyyx,YYXyxYYx,False,10000,,True,3320,39,XYxy,relabel,116,True,7641,88
628,7,110,25,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,10000,,True,158,51,YYYYYYYxyyyyyyy,relabel,173,True,106,36
633,7,110,25,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,10000,,True,158,51,XYYxyy,relabel,173,True,107,36
596,7,97,22,YYYYYYYXyyyyyyx,YYxyXYx,False,10000,,True,3353,231,xYXy,relabel,138,False,10000,
605,8,97,23,YYYYYYYXyyyyyyx,YYYXyxYX,False,10000,,True,3353,231,YYYxyyyyyyy,relabel,142,False,10000,
610,8,97,23,YYYYYYYXyyyyyyx,YYYxYXyx,False,10000,,True,3359,225,XYxy,relabel,141,False,10000,
625,8,106,24,YYYYYYYYXyyyyyyyx,YYXYxyX,False,10000,,False,,,,,169,False,10000,
622,8,106,24,YYYYYYYYXyyyyyyyx,YYxyXYx,False,10000,,False,,,,,169,False,10000,
624,8,106,24,YYYYYYYYXyyyyyyyx,YYxYXyx,False,10000,,False,,,,,169,False,10000,
623,8,106,24,YYYYYYYYXyyyyyyyx,YYXyxYX,False,10000,,False,,,,,169,False,10000,
