TABLE A - SOLVED: 113 distinct Aut(F2) orbits over the 640 trivial cells,,,,,,,,,TABLE B - UNSOLVED: 124 ACA classes over the 550 unsolved cells
aut_id,rep_r1,rep_r2,rep_len,n_cells,ms_r1,ms_r2,cells,,aca_id,r1,r2,rep_r1,rep_r2,rep_len,n_reps,n_cells,reps
sol_000,YXXyx,YYYXyyx,12,16,YXXyx,YYYXyyx,XXYxxy@1 XYxy@2 YxyXY@2 YxyXYY@2 YxyXYYY@2 yXYxy@2 yxYX@2 yxYXY@2 yxYXYY@2 yxYXYYY@2 yxYXy@2 yxYXyy@2 yxYXyyy@2 yxxYXX@1 yyXYxy@2 yyyXYxy@2,,aca_0,YXXyxYx,YYYYYYXyxyX,YXXyxYx,YYYYYYXyxyX,18,8,14,18_6 18_7 21_1 21_36 22_13 22_14 23_21 23_24
sol_001,X,YYXyx,6,14,YX,YYXyx,Y@1 YY@1 YYY@1 YYYY@1 YYYYY@1 YYYYYY@1 YYYYYYY@1 y@1 yy@1 yyy@1 yyyy@1 yyyyy@1 yyyyyy@1 yyyyyyy@1,,aca_1,YYXXyxx,YYYxyXyX,YYXXyxx,YYYxyXyX,15,6,10,15_12 15_13 15_14 15_15 21_34 21_37
sol_002,X,YYYXyyx,8,14,YX,YYYXyyx,Y@2 YY@2 YYY@2 YYYY@2 YYYYY@2 YYYYYY@2 YYYYYYY@2 y@2 yy@2 yyy@2 yyyy@2 yyyyy@2 yyyyyy@2 yyyyyyy@2,,aca_2,YXXyXyx,YYYXyyyxx,YXXyXyx,YYYXyyyxx,16,5,10,17_41 17_42 19_37 19_38 20_12
sol_003,X,YYYYXyyyx,10,14,YX,YYYYXyyyx,Y@3 YY@3 YYY@3 YYYY@3 YYYYY@3 YYYYYY@3 YYYYYYY@3 y@3 yy@3 yyy@3 yyyy@3 yyyyy@3 yyyyyy@3 yyyyyyy@3,,aca_3,YXXyxYx,YYYYYxyxyX,YXXyxYx,YYYYYxyxyX,17,4,14,17_1 17_35 20_8 20_9
sol_004,X,YYYYYXyyyyx,12,14,YX,YYYYYXyyyyx,Y@4 YY@4 YYY@4 YYYY@4 YYYYY@4 YYYYYY@4 YYYYYYY@4 y@4 yy@4 yyy@4 yyyy@4 yyyyy@4 yyyyyy@4 yyyyyyy@4,,aca_4,YYXXXyx,YYxyxyXyXYX,YYXXXyx,YYxyxyXyXYX,18,4,8,18_11 18_9 19_46 19_52
sol_005,X,YYYYYYXyyyyyx,14,14,YX,YYYYYYXyyyyyx,Y@5 YY@5 YYY@5 YYYY@5 YYYYY@5 YYYYYY@5 YYYYYYY@5 y@5 yy@5 yyy@5 yyyy@5 yyyyy@5 yyyyyy@5 yyyyyyy@5,,aca_5,YYXXXyX,YYYxyXyxyxyx,YYXXXyX,YYYxyXyxyxyx,19,4,8,19_40 19_42 19_47 19_51
sol_006,X,YYYYYYYXyyyyyyx,16,14,YX,YYYYYYYXyyyyyyx,Y@6 YY@6 YYY@6 YYYY@6 YYYYY@6 YYYYYY@6 YYYYYYY@6 y@6 yy@6 yyy@6 yyyy@6 yyyyy@6 yyyyyy@6 yyyyyyy@6,,aca_6,YYXXyxxyx,YXXXXXyxYx,YYXXyxxyx,YXXXXXyxYx,19,4,10,19_43 19_48 23_22 23_23
sol_007,X,YYYYYYYYXyyyyyyyx,18,14,YX,YYYYYYYYXyyyyyyyx,Y@7 YY@7 YYY@7 YYYY@7 YYYYY@7 YYYYYY@7 YYYYYYY@7 y@7 yy@7 yyy@7 yyyy@7 yyyyy@7 yyyyyy@7 yyyyyyy@7,,aca_7,YYXXyxx,YYYYxYXYX,YYXXyxx,YYYYxYXYX,16,3,12,16_10 16_6 16_9
sol_008,YXXYx,YYYXyyx,12,14,YXXYx,YYYXyyx,XYxY@2 YxYXY@2 YxYXYY@2 YxYXYYY@2 yXYxY@2 yxyX@2 yxyXY@2 yxyXYY@2 yxyXYYY@2 yxyXy@2 yxyXyy@2 yxyXyyy@2 yyXYxY@2 yyyXYxY@2,,aca_8,YXyXYxx,YYXYXyyx,YXyXYxx,YYXYXyyx,15,2,18,15_10 15_11
sol_009,YXXyx,YYYYXyyyx,14,14,YXXyx,YYYYXyyyx,XYxy@3 YxyXY@3 YxyXYY@3 YxyXYYY@3 yXYxy@3 yxYX@3 yxYXY@3 yxYXYY@3 yxYXYYY@3 yxYXy@3 yxYXyy@3 yxYXyyy@3 yyXYxy@3 yyyXYxy@3,,aca_9,YXXXyxx,YYYXXyyX,YXXXyxx,YYYXXyyX,15,2,6,15_2 15_6
