index,name,r1,r2,nodes_explored,route
99,ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,1000,incumbent_restart
103,ac19_103,YYXXXXyX,YXXXXXXyxxxxx,1000,incumbent_restart
353,ac19_353,YXYxyx,YYXXXyyXyXyxYxx,1000,incumbent_restart
399,ac19_399,YXyxYXXyx,YYXyXXXyxYX,1000,incumbent_restart
1137,ac19_1137,YXYXyxYXyx,YYYXXXYYxyX,1000,incumbent_restart
1375,ac19_1375,YXXyXYx,YYxyXyXYXYX,1000,incumbent_restart
1779,ac19_1779,YXyxYXXyx,YYXYxyXYxyXyX,1000,incumbent_restart
2149,ac19_2149,YXYXyxYXyx,YYYxyXYxyXX,1000,incumbent_restart
2205,ac19_2205,YYXXXXXXyX,YXXXXyxxxxx,1000,incumbent_restart
2237,ac19_2237,YXYXyxYXyx,YYYXyXYxyXX,1000,incumbent_restart
2668,ac19_2668,YXXyxYXXyxx,YYXXyxYXyxYxyx,1000,incumbent_restart
2696,ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,1000,incumbent_restart
2744,ac19_2744,YXyxYXXyx,YYXYXyxYXyXyX,1000,incumbent_restart
2748,ac19_2748,YXXYxYxx,YYXyxYYxxYX,1000,incumbent_restart
4031,ac19_4031,YXXXXYx,YYxyXXXYXyx,1000,incumbent_restart
4342,ac19_4342,YXXYxYxx,YYxyXYxyX,1000,incumbent_restart
5159,ac19_5159,YYXXXXX,YXyXXYxyXYx,1000,incumbent_restart
5371,ac19_5371,YXyxYXXyx,YYXyxYXyxxyyx,1000,incumbent_restart
5535,ac19_5535,YXyxYXXyx,YYXXXyxYXyXyyX,1000,incumbent_restart
5927,ac19_5927,YYXXXyxx,YYxYXXXXX,1000,incumbent_restart
6512,ac19_6512,YXyxYXXyx,YYXyXyXYXYXyx,1000,incumbent_restart
6554,ac19_6554,YYXyxYXXyx,YXyxYXyxxyXyx,1000,incumbent_restart
6557,ac19_6557,YXXXXYx,YYxyXXYXyx,1000,incumbent_restart
7248,ac19_7248,YYXXXXX,YXYxYXXyXyx,1000,incumbent_restart
7301,ac19_7301,YXXYxYxx,YYXyxYXyx,1000,incumbent_restart
7496,ac19_7496,YYXXXXXXyxx,YXXXXXyxxxxxx,1000,incumbent_restart
7594,ac19_7594,YXYXyxYXyx,YYYXXyxYXXX,1000,incumbent_restart
10083,ac19_10083,YXYxYXXYx,YYXyyxYXyyx,1000,incumbent_restart
10111,ac19_10111,YYXXYXyyX,YXyxYXXyx,1000,incumbent_restart
10193,ac19_10193,YYYXXXX,YYXYxyXYXyyx,1000,incumbent_restart
10229,ac19_10229,YYXXyxxYXXyxx,YYXYXYxYYXXyxx,1000,incumbent_restart
10562,ac19_10562,YXyxYXXyx,YYXyyXXXYx,1000,incumbent_restart
10683,ac19_10683,YXyxYXXyx,YYXXYxyXYxyXyX,1000,incumbent_restart
10913,ac19_10913,YYXYXYxxx,YYXyxYXyx,1000,incumbent_restart
11495,ac19_11495,YXyxYXXyx,YYXyxYXyxyxYx,1000,incumbent_restart
11753,ac19_11753,YYXXYxYXX,YYXXyXYYx,1000,incumbent_restart
11852,ac19_11852,YYXYxxxYX,YYXyxYXyx,1000,incumbent_restart
12358,ac19_12358,YXXXXYx,YYXXyxYXyx,1000,incumbent_restart
14043,ac19_14043,YYXXXyX,YYXYxxyyXyx,1000,incumbent_restart
14231,ac19_14231,YXYxxYXyx,YYXyyxYXyyx,1000,incumbent_restart
14424,ac19_14424,YXyxYXXyx,YYXyXyXYXYxyX,1000,incumbent_restart
14690,ac19_14690,YXXXyxx,YYXyXYxyXYxyX,1000,incumbent_restart
15027,ac19_15027,YXyxYXXyx,YYXyxYXYXyXyX,1000,incumbent_restart
15216,ac19_15216,YXyxYXXyx,YYYXyyXXYxyX,1000,incumbent_restart
15507,ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,1000,incumbent_restart
15815,ac19_15815,YXXyxYXXyxx,YYXyXYXyxYXXyx,1000,incumbent_restart
16343,ac19_16343,YXXYxYxx,YYxyxyXXyyX,1000,incumbent_restart
16657,ac19_16657,YXyxYXXyx,YYYXyyXYxyXX,1000,incumbent_restart
16808,ac19_16808,YYXXXXyXX,YXXXXXyxxxxxx,1000,incumbent_restart
16873,ac19_16873,YXXXXYx,YYXXXYXXyXYxx,1000,incumbent_restart
16968,ac19_16968,YXXXXYx,YYXXYxyXXyx,1000,incumbent_restart
17045,ac19_17045,YYXYXyXXyX,YYXyyXYYXyX,1000,incumbent_restart
17417,ac19_17417,YYXyxYXXyx,YXyXyxxyXYxyx,1000,incumbent_restart
18125,ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,1000,incumbent_restart
18174,ac19_18174,YXXyxYXXyxx,YYXyxYXXyxYXyX,1000,incumbent_restart
18413,ac19_18413,YXYxxYXyxYXyx,YYXYxxYYxxYXyx,1000,incumbent_restart
18708,ac19_18708,YYXXXYx,YYYXXYXyxYX,1000,incumbent_restart
19144,ac19_19144,YYXXYXXyX,YYxxyXXXX,1000,incumbent_restart
20055,ac19_20055,YYXXXXXXXXyx,YXXXXXXyxxxxx,1000,incumbent_restart
20074,ac19_20074,YXXXYxYx,YYXXYxYYxyX,1000,incumbent_restart
20301,ac19_20301,YXyxYXXyx,YYXXyyXYXXYxyX,1000,incumbent_restart
20443,ac19_20443,YXXXYxYx,YYXyxYXyx,1000,incumbent_restart
20791,ac19_20791,YYXYXyXyX,YXyxYXXyx,1000,incumbent_restart
20987,ac19_20987,YXXXXYx,YYXXXYYxyXX,1000,incumbent_restart
21217,ac19_21217,YYXXXyxx,YYXXXYxYXXX,1000,incumbent_restart
21595,ac19_21595,YXYxyx,YYXXyxYxxYxYYxx,1000,incumbent_restart
22263,ac19_22263,YXyXYXyxx,YYXXyxxYxyX,1000,incumbent_restart
22628,ac19_22628,YYXXXXyxxx,YYXXXXXYYxxYX,1000,incumbent_restart
22963,ac19_22963,YXyxYXXyx,YYXyXyxYXXXX,1000,incumbent_restart
23156,ac19_23156,YYXXyxx,YYYxYXYYX,1000,incumbent_restart
23608,ac19_23608,YYXXYXyyX,YXyxYXyxx,1000,incumbent_restart
24097,ac19_24097,YXyxYXXyx,YYXyxYXyyxYxxx,1000,incumbent_restart
24119,ac19_24119,YYXXXXyxxxx,YXXXXXXyxxxxx,1000,incumbent_restart
24135,ac19_24135,YXyxYXXyx,YYXYxyXYxyXXyX,1000,incumbent_restart
24447,ac19_24447,YXyxYXXyx,YYXyXXyxYXX,1000,incumbent_restart
24596,ac19_24596,YXyxYXXyx,YYXXXYXyyX,1000,incumbent_restart
24650,ac19_24650,YXXXXYx,YYXYxyXXyx,1000,incumbent_restart
24668,ac19_24668,YXXyXYx,YYxyxxxyXyXYX,1000,incumbent_restart
24836,ac19_24836,YYXXXyX,YYXYXyxyyxx,1000,incumbent_restart
25325,ac19_25325,YXYxYXXYXyx,YYxYXXXYxYXX,1000,incumbent_restart
25513,ac19_25513,YYXXXXXYx,YXXXXyxxYx,1000,incumbent_restart
26073,ac19_26073,YXyxYXXyx,YYXXYxyXyX,1000,incumbent_restart
26186,ac19_26186,YXyxYXXyx,YYXXyxyXXXyX,1000,incumbent_restart
26438,ac19_26438,YXyxYXXyx,YYXXyxYXXyXyyX,1000,incumbent_restart
26598,ac19_26598,YYXXXyxyxYx,YYXXXXyxyxyx,1000,incumbent_restart
26652,ac19_26652,YYXXXyxx,YYxyXXYXX,1000,incumbent_restart
28104,ac19_28104,YXXXXYx,YYxyXXyxxyx,1000,incumbent_restart
28198,ac19_28198,YXyxYXXyx,YYYXyxyxYXyxx,1000,incumbent_restart
28253,ac19_28253,YYXXXXyxxx,YYxxYXXXXYX,1000,incumbent_restart
28453,ac19_28453,YYXXXXXYx,YXYxYXyXX,1000,incumbent_restart
28510,ac19_28510,YYXXyxx,YYYYYYXYXYYx,1000,incumbent_restart
28832,ac19_28832,YXyxYXXyx,YYXXyxYXXyyXYX,1000,incumbent_restart
29693,ac19_29693,YYXXYxyxx,YXXXyxxYxx,1000,incumbent_restart
30256,ac19_30256,YXyxYXXyx,YYXyxyXXXyX,1000,incumbent_restart
30433,ac19_30433,YXyxYXXyx,YYXyXXyXYYXyx,1000,incumbent_restart
31106,ac19_31106,YYXYXyXyX,YXyxYXyxx,1000,incumbent_restart
31544,ac19_31544,YXYxYXXyx,YYXyyxYXyyx,1000,incumbent_restart
31624,ac19_31624,YYXyxYXXyx,YXyxYXXYxyXyx,1000,incumbent_restart
31979,ac19_31979,YXXXXYx,YYXXyyXYxx,1000,incumbent_restart
32559,ac19_32559,YXYxyx,YYXyXXyXyyXXyxx,1000,incumbent_restart
32654,ac19_32654,YXyxYXXyx,YYYXyxxyXXX,1000,incumbent_restart
33080,ac19_33080,YXYxxYXyxYXyx,YYxYXYxxYXyxyX,1000,incumbent_restart
33204,ac19_33204,YXYXyxYXXyx,YYxyXYxyXYxyXX,1000,incumbent_restart
33256,ac19_33256,YXyxYXXyx,YYYXXyxYXXyyX,1000,incumbent_restart
35421,ac19_35421,YXyxYXXyx,YYXYxyXyxxx,1000,incumbent_restart
35874,ac19_35874,YXXyXyX,YYYXyyyxx,1000,incumbent_restart
36329,ac19_36329,YXXXyxxYx,YYxYXYXXYx,1000,incumbent_restart
36528,ac19_36528,YYXXXXXYx,YYXXXYxYXXX,1000,incumbent_restart
36887,ac19_36887,YXXXXYx,YYXXXYXyyxxx,1000,incumbent_restart
36962,ac19_36962,YXyxYXXyx,YYXyxyXXyX,1000,incumbent_restart
37337,ac19_37337,YXXYxYxx,YYXYxxxyXyX,1000,incumbent_restart
37426,ac19_37426,YXyXYXyxx,YYXyxYxxyX,1000,incumbent_restart
38222,ac19_38222,YYXXYxYXX,YYXXYxyXyyxxYX,1000,incumbent_restart
38468,ac19_38468,YXyxYXXyx,YYXyyXXYXyxYX,1000,incumbent_restart
38715,ac19_38715,YXyxYXXyx,YYXyxyxYxx,1000,incumbent_restart
39147,ac19_39147,YXXXXyxxYx,YXXXYxxxyXX,1000,incumbent_restart
39288,ac19_39288,YYXXXYx,YYxyxyXyXyx,1000,incumbent_restart
39540,ac19_39540,YXyxYXXyx,YYYXXyxxyx,1000,incumbent_restart
40167,ac19_40167,YXYxYXXYx,YYXXYXYxxyyXYx,1000,incumbent_restart
40258,ac19_40258,YXYXyxYXyx,YYXyxYXXYYxyXXX,1000,incumbent_restart
41190,ac19_41190,YXXXXYx,YYxyXXyxyx,1000,incumbent_restart
41277,ac19_41277,YYXXYXXyx,YYXXXXXYx,1000,incumbent_restart
42326,ac19_42326,YXXyXYxxx,YYXyxYxYXYX,1000,incumbent_restart
42908,ac19_42908,YXXXXYx,YYXXXYYXXXyx,1000,incumbent_restart
43611,ac19_43611,YYXXXYx,YYxYxYXYXXXX,1000,incumbent_restart
43831,ac19_43831,YXyxYXXyx,YYXYxyyxxx,1000,incumbent_restart
43835,ac19_43835,YXXXXYx,YYxyXXXyxxxyx,1000,incumbent_restart
44700,ac19_44700,YXyxYXXyx,YYYXyxyxxYXyx,1000,incumbent_restart
45056,ac19_45056,YXYXyXXYXyX,YYYXyXXYXYXyXyyx,1000,incumbent_restart
45684,ac19_45684,YYXXYXYYXXX,YYXYYXyXYYXXXyx,1000,incumbent_restart
46054,ac19_46054,YXXYxxyx,YYxxYxYxyXYxxyX,1000,incumbent_restart
46363,ac19_46363,YXXXyXyxxx,YYYXYxYxxxx,1000,incumbent_restart
46703,ac19_46703,YXyxYXXyx,YYXXyyXYXYxyX,1000,incumbent_restart
46939,ac19_46939,YYXXXXX,YXYxYXyXXyx,1000,incumbent_restart
48579,ac19_48579,YXXXyxxYx,YXYXYxYXXyxx,1000,incumbent_restart
48766,ac19_48766,YXXYxYxx,YYYxxYXYXyx,1000,incumbent_restart
49095,ac19_49095,YYXXXYx,YYXyxYXYXyx,1000,incumbent_restart
49255,ac19_49255,YYXXYxYxyX,YXyxYXyxYXXYx,1000,incumbent_restart
50262,ac19_50262,YYXXXyXYXyX,YXXyxYXXyxx,1000,incumbent_restart
50610,ac19_50610,YXYxxYXyxYXyx,YYxyXYxxYXyxYX,1000,incumbent_restart
50848,ac19_50848,YYXXyXyyX,YXyxYXXyx,1000,incumbent_restart
51034,ac19_51034,YYXXXXYX,YYYXYXyyX,1000,incumbent_restart
51039,ac19_51039,YXyxYXXyx,YYXXYXyxYXyyX,1000,incumbent_restart
51124,ac19_51124,YXyXYXyxx,YYXXyxYXyXYxyx,1000,incumbent_restart
52628,ac19_52628,YXyxYXXyx,YYXXyXYxyXyyX,1000,incumbent_restart
52754,ac19_52754,YXyxYXXyx,YYXXyxyXXyX,1000,incumbent_restart
52981,ac19_52981,YXyxYXXyx,YYYXyxyXXX,1000,incumbent_restart
53085,ac19_53085,YYXXXYx,YYYXXYXYXyx,1000,incumbent_restart
53291,ac19_53291,YXyxYXXyx,YYYXyxYXyxxyx,1000,incumbent_restart
54337,ac19_54337,YXYxYXXYx,YYXXyxxYXYxyXyx,1000,incumbent_restart
54514,ac19_54514,YXYXyXXYXyX,YYYXyXXyxYxyxyx,1000,incumbent_restart
54599,ac19_54599,YXyxYXXyx,YYXyxYXyyXXXyX,1000,incumbent_restart
54616,ac19_54616,YYXYYXXXyX,YYXYXXXYYXXXX,1000,incumbent_restart
54765,ac19_54765,YYXXXYx,YYYYXXYXYYYXX,1000,incumbent_restart
54912,ac19_54912,YXXXXYx,YYXXXYXyyxx,1000,incumbent_restart
55247,ac19_55247,YYXXXYx,YYYXXYXyxyx,1000,incumbent_restart
56259,ac19_56259,YXyxYXXyx,YYXXYXyXyX,1000,incumbent_restart
56260,ac19_56260,YXyXYXyxx,YYXyxYXXyx,1000,incumbent_restart
56897,ac19_56897,YYXXXyxxx,YYXXXYxYXYxx,1000,incumbent_restart
56970,ac19_56970,YYXXyxx,YYYYXXYxYYxYx,1000,incumbent_restart
57192,ac19_57192,YXXyxYXXyxx,YYXXyxYXyXYXyX,1000,incumbent_restart
57273,ac19_57273,YXyxYXXyx,YYYXXXXyyX,1000,incumbent_restart
57570,ac19_57570,YXyxYXXyx,YYXYXXyXyX,1000,incumbent_restart
57787,ac19_57787,YYXyxYXXyx,YYYxyXXYXyx,1000,incumbent_restart
58570,ac19_58570,YYXXYxYxyX,YXYxyXYxxyX,1000,incumbent_restart
59701,ac19_59701,YXXYXXyX,YYYXyyyxx,1000,incumbent_restart
59995,ac19_59995,YXyxYXXyx,YYXXyXXXyxYX,1000,incumbent_restart
60302,ac19_60302,YXyxYXXyx,YYYXXyyxxx,1000,incumbent_restart
60781,ac19_60781,YYXXyxx,YYXYXYxYxYX,1000,incumbent_restart
61193,ac19_61193,YXyxYXXyx,YYXyxYYXXyXyX,1000,incumbent_restart
61253,ac19_61253,YYXXyxx,YYYYYYXYXYxxYYX,1000,incumbent_restart
61376,ac19_61376,YXyxYXXyx,YYYXyXyxYXyXX,1000,incumbent_restart
61464,ac19_61464,YXXyxYXXyxx,YYXXXyXYXyxYXXyx,1000,incumbent_restart
61529,ac19_61529,YXXyxYXXyxx,YYXXyxYxyxYxyx,1000,incumbent_restart
61538,ac19_61538,YYXXYxxxxYx,YYXXyxxxYYx,1000,incumbent_restart
61871,ac19_61871,YYXXXXyxxx,YYXXYYXXXXYxxYX,1000,incumbent_restart
62145,ac19_62145,YXYxYXXYx,YYXXyxxYXXyxx,1000,incumbent_restart
62510,ac19_62510,YXXXXYx,YYXXXyxYXyx,1000,incumbent_restart
62561,ac19_62561,YXyxYXXyx,YYXYXyXXXyx,1000,incumbent_restart
62816,ac19_62816,YXYXyXXYXyX,YYYXyXXXYXyXyx,1000,incumbent_restart
63094,ac19_63094,YXXXYxYx,YYXyyXyxxyx,1000,incumbent_restart
63697,ac19_63697,YYYXXXX,YYXYXyyxYYXYXXX,1000,incumbent_restart
63737,ac19_63737,YXyXYXyxx,YYXXyxYXyx,1000,incumbent_restart
63792,ac19_63792,YXyxYXXyx,YYYXXyxYXXyXyX,1000,incumbent_restart
63990,ac19_63990,YXyxYXXyx,YYXYxyXXyX,1000,incumbent_restart
64081,ac19_64081,YXyxYXXyx,YYYXyyxYXyXX,1000,incumbent_restart
64163,ac19_64163,YXXYxxyx,YYXYXyXyXXyxxyx,1000,incumbent_restart
64498,ac19_64498,YXyxYXXyx,YYYXyxxxyx,1000,incumbent_restart
64607,ac19_64607,YXyxYXXyx,YYYXyxYXyyxxx,1000,incumbent_restart
64974,ac19_64974,YXXXyXyX,YYxYxxyxyxx,1000,incumbent_restart
65737,ac19_65737,YXXYxYxx,YYxyxyXyX,1000,incumbent_restart
65738,ac19_65738,YXyxYXXyx,YYXXyXyXYXYXyx,1000,incumbent_restart
65753,ac19_65753,YXXYxYxxx,YYYYXyXyxxx,1000,incumbent_restart
65876,ac19_65876,YYXyxYXXyx,YXYxyXXYxYXyx,1000,incumbent_restart
65967,ac19_65967,YXYXyXXYXyX,YYXyXyyxYYxyx,1000,incumbent_restart
66183,ac19_66183,YXyxYXXyx,YYXyyXYXXYxyX,1000,incumbent_restart
66385,ac19_66385,YXYxYXXYx,YYYXXyxxYXYXYx,1000,incumbent_restart
66516,ac19_66516,YXyxYXXyx,YYXyxyxYxxx,1000,incumbent_restart
66543,ac19_66543,YXYXyXXYXyX,YYxYxyXYXyXyxyX,1000,incumbent_restart
66724,ac19_66724,YXXyXyxx,YYYxxxxYYxx,1000,incumbent_restart
66801,ac19_66801,YXyxYXXyx,YYYXyxYXyXyxxx,1000,incumbent_restart
66981,ac19_66981,YXYXyxYXyx,YXyXyxYXyxYXyxx,1000,incumbent_restart
67588,ac19_67588,YXyxYXXyx,YYYXyxYXyXXyX,1000,incumbent_restart
67699,ac19_67699,YXXXYxYx,YYYxYXXYXyx,1000,incumbent_restart
67821,ac19_67821,YXYxyx,YYXyxYYxxYxYYxx,1000,incumbent_restart
67987,ac19_67987,YYXXyxx,YYXXYYxYYxYx,1000,incumbent_restart
68740,ac19_68740,YXXYxYxx,YYxYXXXyxyx,1000,incumbent_restart
69125,ac19_69125,YXyxYXXyx,YYYXyxyXYxyXX,1000,incumbent_restart
69139,ac19_69139,YXXYxxyx,YYXYXyXyyxx,1000,incumbent_restart
69315,ac19_69315,YXYXyxYxyx,YYxyXYxYxyX,1000,incumbent_restart
70288,ac19_70288,YXyxYXXyx,YYXyyXXXyX,1000,incumbent_restart
70845,ac19_70845,YYXYXyXXyX,YXYXyXYXXyX,1000,incumbent_restart
71556,ac19_71556,YYXXXYxYx,YYxyXYXXYx,1000,incumbent_restart
71557,ac19_71557,YYXyxYXXyx,YXYxyXXYxyX,1000,incumbent_restart
71828,ac19_71828,YYXXXXX,YXyXXYxYXyx,1000,incumbent_restart
72393,ac19_72393,YXXyXyX,YYYXyxYxxyxyxx,1000,incumbent_restart
72497,ac19_72497,YXyxYXXyx,YYXyxYXyxyxYxx,1000,incumbent_restart
