name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_0,greedy,1,3,2,10000,48
ac19_1,greedy,1,6,5,10000,48
ac19_10,greedy,1,4,3,10000,48
ac19_100,greedy,1,1310,76,10000,48
ac19_1000,greedy,1,10,9,10000,48
ac19_10000,greedy,1,50,12,10000,48
ac19_10001,greedy,1,7,6,10000,48
ac19_10002,greedy,1,108,24,10000,48
ac19_10003,greedy,1,12,9,10000,48
ac19_10004,greedy,1,9,8,10000,48
ac19_10005,greedy,1,5,4,10000,48
ac19_10006,greedy,1,49,11,10000,48
ac19_10007,greedy,1,10,9,10000,48
ac19_10008,greedy,1,81,30,10000,48
ac19_10009,greedy,1,178,40,10000,48
ac19_1001,greedy,1,9,8,10000,48
ac19_10010,greedy,1,8,7,10000,48
ac19_10011,greedy,1,24,16,10000,48
ac19_10012,greedy,1,382,35,10000,48
ac19_10013,greedy,1,12,8,10000,48
ac19_10014,greedy,1,21,9,10000,48
ac19_10015,greedy,1,59,17,10000,48
ac19_10016,greedy,1,484,73,10000,48
ac19_10017,greedy,1,6,5,10000,48
ac19_10018,greedy,1,12,11,10000,48
ac19_10019,greedy,1,6,5,10000,48
ac19_1002,greedy,1,64,15,10000,48
ac19_10020,greedy,1,17,9,10000,48
ac19_10021,greedy,1,3818,190,10000,48
ac19_10022,greedy,1,177,20,10000,48
ac19_10023,greedy,1,8,7,10000,48
ac19_10024,greedy,1,116,13,10000,48
ac19_10025,greedy,1,6,5,10000,48
ac19_10026,greedy,1,11,8,10000,48
ac19_10027,greedy,1,283,15,10000,48
ac19_10028,greedy,1,86,23,10000,48
ac19_10029,greedy,1,12,11,10000,48
ac19_1003,greedy,1,259,11,10000,48
ac19_10030,greedy,1,5,4,10000,48
ac19_10031,greedy,1,6,5,10000,48
ac19_10032,greedy,1,6,5,10000,48
ac19_10033,greedy,1,716,57,10000,48
ac19_10034,greedy,1,10,9,10000,48
ac19_10035,greedy,1,15,11,10000,48
ac19_10036,greedy,1,16,14,10000,48
ac19_10037,greedy,1,8,7,10000,48
ac19_10038,greedy,1,17,15,10000,48
ac19_10039,greedy,1,43,12,10000,48
ac19_1004,greedy,1,10,7,10000,48
ac19_10040,greedy,1,108,25,10000,48
ac19_10041,greedy,1,398,64,10000,48
ac19_10042,greedy,1,11,10,10000,48
ac19_10043,greedy,1,366,40,10000,48
ac19_10044,greedy,1,3818,171,10000,48
ac19_10045,greedy,1,462,69,10000,48
ac19_10046,greedy,1,482,72,10000,48
ac19_10047,greedy,1,4,3,10000,48
ac19_10048,greedy,1,35,19,10000,48
ac19_10049,greedy,1,8,6,10000,48
ac19_1005,greedy,1,22,10,10000,48
ac19_10050,greedy,1,7,6,10000,48
ac19_10051,greedy,1,284,26,10000,48
ac19_10052,greedy,1,5,4,10000,48
ac19_10053,greedy,1,83,21,10000,48
ac19_10054,greedy,1,11,9,10000,48
ac19_10055,greedy,1,12,11,10000,48
ac19_10056,greedy,1,10,9,10000,48
ac19_10057,greedy,1,35,20,10000,48
ac19_10058,greedy,1,1056,74,10000,48
ac19_10059,greedy,1,15,12,10000,48
ac19_1006,greedy,1,3248,161,10000,48
ac19_10060,greedy,1,270,17,10000,48
ac19_10061,greedy,1,2506,10,10000,48
ac19_10062,greedy,1,6,5,10000,48
ac19_10063,greedy,1,8,7,10000,48
ac19_10064,greedy,1,222,57,10000,48
ac19_10065,greedy,1,39,17,10000,48
