name,r1,r2,n_members,members
ac19_0,X,YYXyx,200,0 1 2 3 4 5 8 11 20 29 50 71 120 169 1561 1772 6160 6926 7363 10815 11213 12677 13243 13796 14637 17586 18163 18182 18802 18955 19092 19556 20217 20332 21647 21748 22047 22660 23778 23921 23985 24105 25248 27012 28545 28684 29391 30206 30281 30738 31792 34018 34773 35604 35843 36114 36511 37254 37279 40993 42267 42381 43034 43486 43580 43834 44436 45569 47777 48041 48124 49408 49699 50701 51238 51930 52606 52638 52906 53314 54177 54236 55674 56916 57597 58102 59521 60165 60341 60511 60915 61116 62823 63675 64208 64238 64772 65610 65628 65957 67172 67404 67766 68087 68163 69720 70735 70822 71669 77423 77898 78703 79291 81594 82764 82959 83593 84605 84949 85284 85690 86613 86700 86943 87467 87563 87865 88825 90374 91031 91757 92950 93260 93422 94141 94324 94789 96518 96921 99544 99888 102070 104499 105589 105894 105961 106449 106753 109511 109687 110877 112345 112576 113438 113807 114222 115360 116305 117971 117993 118114 118942 120359 121359 123933 123961 124631 124749 124790 124909 128069 128186 128286 128390 129690 132184 132566 134276 136804 136858 136877 137055 138219 138441 139053 139135 139797 140166 141569 142146 142311 143037 143959 147484 148611 149149 149193 152684 153577 155614
ac19_1,YYXyX,YXXyx,180,6 10 13 14 22 28 35 36 52 67 89 90 122 160 1874 3381 4175 4726 4908 5146 5665 5680 6465 6789 6869 7095 7419 8900 9005 9336 9796 10650 11818 12505 12565 14076 14572 14949 15611 16524 19787 20519 20662 21435 22180 23094 25394 25558 26097 26438 27313 27736 29088 29349 30042 30957 31384 31626 31666 35733 35988 38548 42418 42734 42944 43402 44075 46131 46382 46878 47352 48220 49877 50590 51720 55554 55657 55666 61838 63727 65276 66817 67654 67967 68374 70255 70499 71310 71454 71704 72332 73675 73896 74289 74610 74715 75485 76476 76744 77512 77798 78508 78718 78850 79151 79780 81880 82388 83698 84106 84695 84856 84934 85092 85516 85715 85870 85883 86235 88112 88592 88820 89897 90006 90040 92295 94749 95497 97404 97683 98107 99229 99550 99757 102670 103571 103653 105172 105944 107309 107754 108263 108404 108759 113254 115626 119185 119942 121664 123411 124350 125408 125809 126559 127205 127269 127379 129728 130403 131209 133551 133883 136744 137062 138196 138456 138490 140482 141011 141155 144187 145323 146269 147750 149462 150723 152958 153145 155191 155885
ac19_2,YYXyx,YXXyx,92,7 9 15 16 21 27 37 38 51 66 93 94 121 159 854 3135 5192 5594 5605 5847 6192 7201 8192 12659 12894 13005 23061 26976 27223 27369 27956 29277 30504 30829 33691 37831 38085 52288 54079 54106 57429 59404 62364 65064 65230 73796 79081 81747 83377 84788 85322 85789 89800 91085 91573 91765 95074 99776 104238 104584 105888 108068 109516 109747 113808 115946 116675 116930 119589 122092 122216 123116 125453 128655 129395 130715 133794 134214 140156 142057 142919 143397 143702 146587 146643 147637 148044 148570 152757 153667 155303 156058
ac19_3,YXXyx,YYXXyX,87,12 24 33 34 54 68 87 88 124 161 1274 3002 3298 4096 6144 6799 7023 10915 14191 19171 24216 24763 27922 30364 30479 30987 31967 32278 34417 37430 44615 45679 47051 49342 50343 50376 53388 56546 56996 57150 63838 64321 67779 68341 68696 71199 73667 78258 79501 80709 80811 85741 86674 88531 94713 94970 95884 98292 99683 101423 101533 102188 107093 107772 108406 110904 110969 113015 115263 123169 123552 124924 126455 127773 129938 131633 132054 132408 133134 135011 135081 138360 143128 143774 148324 152906 155963
ac19_4,YXXyx,YYXXyx,67,17 23 39 40 53 65 95 96 123 158 6856 9004 10648 10753 10888 14230 14984 31242 36757 38372 40180 41542 43859 48964 58049 58141 63737 63990 69091 70098 72239 73124 77151 78996 83711 84307 88178 90957 90996 92188 95726 95985 97453 99954 104242 105128 106075 115404 120532 124208 126394 128679 130712 138280 140780 142316 142343 143273 144201 144566 145756 145764 148383 148831 149487 151131 151588
ac19_5,YXXyx,YYXyXX,122,18 26 43 44 56 70 105 106 126 168 2283 4435 5771 6330 7427 7815 8288 8473 10240 11612 11948 16948 17275 17436 17674 19156 19531 22249 22872 29459 30764 31915 37517 39771 40388 42359 43200 43305 44258 44399 47204 47757 49039 51488 51865 52068 52643 54388 58017 60989 61798 62240 62735 63258 66756 70466 72267 73223 76205 78519 80682 82715 83473 83689 83822 84323 85110 85366 85706 86769 88877 89012 89680 90544 93126 96111 96245 96633 97072 99826 101306 104179 106375 107573 108262 110437 110566 114366 114895 115861 116043 116357 116447 116655 117554 120096 121154 121204 121652 122777 125344 127214 128275 128388 128457 130504 136287 138925 140890 142662 142920 143826 144094 146109 150545 151808 152471 152908 153491 154188 155998 156717
ac19_6,YXXyx,YYXyxx,114,19 25 45 46 55 69 107 108 125 167 749 3275 4786 6716 7471 7861 9610 11242 16771 17736 18701 18720 20581 23118 25751 28694 29553 29995 30426 31279 32058 34275 36087 37754 40765 41785 42656 43449 45064 45653 46021 47809 47958 49737 52374 52806 54157 55614 58864 60750 61745 63409 64100 64614 66454 66660 67752 71388 71760 74179 76095 76643 77783 77800 79213 79871 80018 82681 84431 87893 90569 91096 91575 94734 95092 96060 100691 101627 103574 105044 109838 112053 112622 113775 113791 115268 115818 121629 121807 123076 123352 123518 128240 129667 130190 130734 132780 133437 135718 136131 137141 137547 139074 142938 144011 144016 144844 145885 147374 149986 153411 155019 155259 155511
ac19_7,YXXyx,YYYXyyX,91,30 58 1467 9849 11933 12039 13083 13188 15062 15787 16897 20781 21060 23546 25313 27694 31283 31889 33927 34551 36273 37227 40093 41013 44198 44883 50537 51596 52154 57141 62568 62904 64460 66152 66319 67033 71174 72010 72740 72751 73821 74770 85005 85461 87245 90087 94343 94864 96569 96900 97763 98769 100507 100609 101390 101988 103105 104158 104178 106159 111161 112926 113746 114692 120797 120955 122016 122503 123815 125210 128151 128330 129841 130834 132161 134253 136577 137865 138558 142751 143048 143395 143587 146497 148090 152180 152533 152994 154616 154659 155586
ac19_8,YXXyx,YYYXyyx,89,31 57 177 179 185 186 191 197 205 206 219 232 245 246 273 297 2355 6159 7103 8087 8691 9049 10296 11195 12271 13392 15200 15329 15516 16410 19891 24947 29661 32821 37387 38265 38511 39089 39166 41719 42075 45312 51348 51372 52538 54390 59461 61441 65888 66167 67833 71570 71736 72457 75792 82409 84386 85181 87574 88741 96788 99698 105581 105673 106857 112331 118914 120548 122411 122703 123042 126574 127675 127991 131336 131925 132058 132076 133268 133696 136640 137273 142529 147357 148247 151526 152428 154198 155485
ac19_9,YXXyx,YYXXXyX,54,32 60 85 86 132 162 3287 8534 13242 20313 26151 26322 26951 28819 29491 33502 38538 42983 44988 45518 50519 50702 56391 58836 68694 70745 70751 71420 73182 74028 78961 81830 82157 88102 88374 92095 95157 99905 101261 103028 105050 109158 109397 115357 124487 132318 134689 140598 140655 141037 142372 146029 148859 151574
