name,r1,r2,n_members,members
ac19x_0,YYXyx,Yx,1,0
ac19x_1,YYXyx,YX,1,1
ac19x_2,YYXyx,YYx,1,2
ac19x_3,YYX,YYXyx,1,3
ac19x_4,YYYx,YYXyx,1,4
ac19x_5,YYYX,YYXyx,1,5
ac19x_6,YYXyx,YXYxx,1,6
ac19x_7,YYXyx,YXXyx,1,7
ac19x_8,YYYYx,YYXyx,1,8
ac19x_9,YYXyx,YXyxx,1,9
ac19x_10,YYXyx,YXXYx,1,10
ac19x_11,YYYYX,YYXyx,1,11
ac19x_12,YYXYxx,YYXyx,1,12
ac19x_13,YYXyx,YXYxYx,1,13
ac19x_14,YYXyx,YXYxyx,1,14
ac19x_15,YYXyx,YXyXyx,1,15
ac19x_16,YYXyx,YXYXyx,1,16
ac19x_17,YYXXyx,YYXyx,1,17
ac19x_18,YYXyx,YYxxYX,1,18
ac19x_19,YYXyx,YYxxyX,1,19
ac19x_20,YYYYYx,YYXyx,1,20
ac19x_21,YYXyx,YXyxYx,1,21
ac19x_22,YYXyx,YXyXYx,1,22
ac19x_23,YYXyx,YYXyxx,1,23
ac19x_24,YYXXYx,YYXyx,1,24
ac19x_25,YYXyx,YYxyXX,1,25
ac19x_26,YYXyx,YYxYXX,1,26
ac19x_27,YYXyx,YXYxyX,1,27
ac19x_28,YYXyx,YXYXYx,1,28
ac19x_29,YYYYYX,YYXyx,1,29
ac19x_30,YYXyx,YXXYxxx,1,30
ac19x_31,YYXyx,YXXXyxx,1,31
ac19x_32,YYYXYxx,YYXyx,1,32
ac19x_33,YYXYxYx,YYXyx,1,33
ac19x_34,YYXYxyx,YYXyx,1,34
ac19x_35,YYXyx,YYxYXYx,1,35
ac19x_36,YYXyx,YYXyxyX,1,36
ac19x_37,YYXyx,YYxyXYx,1,37
ac19x_38,YYXyxYX,YYXyx,1,38
ac19x_39,YYXyXyx,YYXyx,1,39
ac19x_40,YYXYXyx,YYXyx,1,40
ac19x_41,YYYXXyx,YYXyx,1,41
