name,r1,r2,n_members,members,failed_arms,n_failed_arms,in_complete_10k,missing_arms_10k,baseline_solved,baseline_nodes,baseline_minL,s20_mk2_solved,s20_mk2_nodes,s20_mk2_minL,s20_mk2_mK2_solved,s20_mk2_mK2_nodes,s20_mk2_mK2_minL,s20_f4_solved,s20_f4_nodes,s20_f4_minL
ac19_1007,YYXXXyX,YXYxyXXX,21,1565 4370 9506 9997 21216 27617 44872 44979 44992 47437 51259 73326 77466 81725 87174 93048 112825 116414 131870 132881 143110,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,15,false,10000,15,false,10000,15,false,10000,15
ac19_1011,YYXXyx,YXyXyxxyx,22,1569 8631 10660 11096 12663 19047 22636 24108 31039 32328 34445 36872 41488 46660 53509 58705 95939 101510 112801 115554 136874 155227,s20_f4,1,true,,true,8425,2,true,1712,2,true,4047,2,false,10000,14
ac19_10118,YYXXXYX,YYYXyXyx,4,12392 56883 118423 154501,"baseline,s20_mk2_mK2",2,true,,false,10000,15,true,4097,2,false,10000,15,true,2983,2
ac19_10129,YXyXXXyx,YYXXyXyxyXX,1,12410,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
ac19_102,YYXXyx,YXXXXXXyxxxxx,25,561 563 567 568 570 571 577 578 583 587 11472 11834 14204 21343 24188 35475 49465 50731 73750 75659 86012 100133 106665 138840 147941,s20_f4,1,true,,true,7786,2,true,1641,2,true,3906,2,false,10000,14
ac19_103,YYXXXXyX,YXXXXXXyxxxxx,9,573 584 27118 45332 45525 82259 113134 138359 151580,baseline,1,true,,false,10000,15,true,1746,2,true,3851,2,true,2780,2
ac19_10327,YYYXXXXyyx,YYYYxxyyyXyyx,2,12676 62519,s20_f4,1,true,,true,3456,2,true,1656,2,true,3920,2,false,10000,14
ac19_10379,YXXyx,YYYYYXyyyxyxxx,2,12758 126301,s20_mk2,1,true,,true,2850,2,false,10000,15,true,7747,2,true,743,2
ac19_10430,YXYxyx,YYxYYxxYYxx,8,12825 13458 19753 31660 94480 99130 130004 130221,"s20_mk2,s20_f4",2,false,s20_mk2_mK2,true,3513,2,false,10000,17,missing,,,false,10000,17
ac19_10460,YXXXXyXYx,YXXyxxxxyx,3,12864 43091 138780,baseline,1,true,,false,10000,15,true,1745,2,true,3841,2,true,2779,2
ac19_10469,YXyXYxx,YYYYYYXyxx,1,12873,baseline,1,true,,false,10000,16,true,3207,2,true,869,2,true,3061,2
ac19_10499,YXXXyXYx,YYXXXXXYXXXyx,2,12909 32271,"baseline,s20_f4",2,true,,false,10000,15,true,2291,2,true,6541,2,false,10000,15
ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1,13014,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,19,false,10000,19,false,10000,19
ac19_10617,YXXXyXXYx,YXyxxYXXXX,2,13054 33768,s20_f4,1,true,,true,8471,2,true,1740,2,true,4033,2,false,10000,14
ac19_1062,YXXYx,YYXYYXyxYYxyyX,1,1622,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,18,true,2948,2,false,10000,18,false,10000,18
ac19_10673,YXXXyxYx,YYXXXYXyXYx,1,13119,s20_f4,1,true,,true,49,2,true,456,2,true,236,2,false,10000,17
ac19_10775,YYXXXyx,YXYXyXXYx,2,13251 134139,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,16,false,10000,16,false,10000,16,false,10000,16
ac19_10811,YXXYxxyx,YYYxxxxyXXXYx,1,13293,"baseline,s20_f4",2,true,,false,10000,14,true,4395,2,true,8566,2,false,10000,17
ac19_10820,YYXXXXYX,YYxyXyxxxyX,1,13304,s20_f4,1,true,,true,1965,2,true,1577,2,true,1878,2,false,10000,14
ac19_10826,YYXXyxx,YYYYYXYxyx,3,13314 16600 141876,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,15,true,6094,2,false,10000,15,false,10000,15
