name,r1,r2,nodes_explored,min_relator_length
ac19_11485,YXYXXYx,YYYXXYXyXYx,10000,15
ac19_12557,YXXyXYxxx,YYYYYYXXyx,10000,16
ac19_13202,YYXXXYxx,YYXYxxyXX,10000,17
ac19_13642,YXXyXyx,YYYxxyXyxx,10000,14
ac19_14409,YYXXXXXXyx,YXXXXXyxxxxxx,10000,16
ac19_1670,YYXXyxx,YYxYxyX,10000,14
ac19_22476,YXyXXXyX,YYYxyXXXyyx,10000,17
ac19_35617,YXXXXyXyx,YYYxyxxxyX,10000,16
ac19_3676,YXyXYxx,YYYYYYXYYxx,10000,16
ac19_3820,YXXXyxx,YYXyXYxyxYXXyx,10000,20
ac19_38904,YXXXYxx,YYXyXyxyx,10000,16
ac19_48537,YXXXyXYx,YYxxyxxyXyX,10000,15
