name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_420,YYXXXyX,YYXyyxxyxx,1,950,100000,15
ac19_555,YYXXXyX,YXyxYXXXyxx,16,1091 5089 8923 26851 36479 44034 54710 56750 59686 70467 74772 81095 90460 108712 130332 144781,100000,15
ac19_969,YYXXYXyyx,YYYXXYXXXXX,4,1526 19973 72707 117116,100000,17
ac19_1007,YYXXXyX,YXYxyXXX,21,1565 4370 9506 9997 21216 27617 44872 44979 44992 47437 51259 73326 77466 81725 87174 93048 112825 116414 131870 132881 143110,100000,15
ac19_1062,YXXYx,YYXYYXyxYYxyyX,1,1622,100000,18
ac19_3129,YYXXXyxx,YYxyxxYXXXX,2,3855 34446,100000,15
ac19_3303,YXXyxYx,YYYYYXYxyX,2,4054 99453,100000,17
ac19_3549,YXXYx,YYYXYxyXYYXyyx,3,4338 41292 77914,100000,18
ac19_3696,YYXXyx,YYYXyXXYX,4,4507 4842 49057 118230,100000,15
ac19_3782,YYXXXXYX,YYXYxyyXX,3,4601 69866 96745,100000,15
ac19_3797,YYXXYx,YYYxyXYxyyX,10,4619 17325 27179 30179 60867 85935 119587 127449 129711 144968,100000,15
ac19_4673,YXXYx,YYYXyxYXYYXyyx,2,5622 45011,100000,18
ac19_5262,YXXYx,YYYxyxyyXYXyyx,1,6322,100000,18
ac19_5339,YXXYx,YYYXYYXXyyxyyx,1,6415,100000,18
ac19_5879,YXYXYx,YYYXyyyXyxYYXXYxYYx,1,7052,100000,19
ac19_6525,YXXYx,YYYXyyxYYXyyx,4,7845 21153 134837 139657,100000,18
ac19_6847,YYXXXXYX,YYXXYXyyx,4,8241 60999 84336 133816,100000,17
ac19_7037,YYXXXyX,YYXXXXyxyxx,1,8462,100000,15
ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,8769 16286 101025,100000,17
ac19_8310,YYXXXyxx,YYXYYXXyxxYXX,2,10026 71727,100000,15
ac19_8618,YYXXyx,YXyXXYXXYxx,2,10420 150187,100000,15
ac19_8709,YXXYx,YYYYXYYXXyxyyx,2,10533 26155,100000,18
ac19_8721,YXXYXXyx,YXXXyXXYx,2,10547 66395,100000,15
ac19_9750,YXXYx,YYXYXyyxYYXyyx,1,11898,100000,18
ac19_9822,YYXXXXYX,YYYXXyxyX,1,11989,100000,17
ac19_9954,YXXYXXyxx,YYxyXXYxyX,1,12180,100000,16
ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1,13014,100000,19
ac19_10775,YYXXXyx,YXYXyXXYx,2,13251 134139,100000,16
ac19_11809,YXXYx,YYYXYxyXYXyyyx,1,14636,100000,18
ac19_12112,YYXXXXyx,YXYxxyXXX,3,15060 58409 110734,100000,15
ac19_12445,YYXXYx,YYYxyyxyXyX,1,15526,100000,17
ac19_13290,YYXXyxx,YYxYxxyXYX,1,16686,100000,16
ac19_14043,YYXXXyX,YYXYxxyyXyx,1,17744,100000,17
ac19_14060,YXXXyXyx,YYxyxxYXyxx,2,17769 63585,100000,19
ac19_14513,YYXXXyX,YXyxxxYXXyX,7,18432 24267 26822 48566 69184 130300 138752,100000,15
ac19_14888,YXXYx,YYYYXXyxYYXyyyXYx,1,18982,100000,18
ac19_15145,YXYXYx,YYYxYXyyXYYxyXXyx,1,19360,100000,19
ac19_15242,YYXXXXyx,YYXyXYxyX,3,19501 41161 94851,100000,17
ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,1,19903,100000,16
ac19_15616,YYXXXyxx,YYXyXXYXYYx,1,20059,100000,17
ac19_15866,YXXXyXYx,YXyxxxyxx,1,20430,100000,17
ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,21044 46185 51554 140735,100000,17
ac19_16513,YXXYx,YYYXYYXyyyxxYX,2,21398 135294,100000,18
ac19_17131,YYXXXyX,YYYXyyXX,5,22329 33833 68779 76688 117662,100000,15
ac19_17204,YXXXyxYx,YXYxyXXYxyX,2,22437 121118,100000,17
ac19_17581,YXXYx,YYYXyyxYXyxyyx,2,22983 84358,100000,18
ac19_17957,YYXXXXyx,YXyxYXXXyxx,3,23562 77328 149490,100000,17
ac19_18333,YXXYx,YYYXXyyxyyxyyx,2,24131 52645,100000,18
ac19_18581,YXXYx,YYYYXYXyxYXyyx,1,24537,100000,18
ac19_18844,YYXXXyX,YXyXXYxxxyx,10,24941 33610 58105 71157 77784 93780 114096 119109 146446 149540,100000,15
ac19_19503,YXXYx,YYYXyxYXyyxyyx,2,25981 136910,100000,18
ac19_20050,YYXXXYx,YYXYYXYXXyx,2,26818 42278,100000,16
ac19_20172,YYXXXyX,YXYXyXXX,12,27019 42592 55413 73900 78355 95588 103262 106318 120119 124500 137066 138911,100000,15
ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,1,27180,100000,19
ac19_20708,YYXXXyX,YYXXyXyxx,5,27858 37391 72364 112945 125993,100000,15
ac19_20744,YYXXXyx,YXyxxYXyxxYXXyx,2,27917 75468,100000,19
ac19_20832,YXXYx,YYYXYYXXyxyyyx,1,28062,100000,18
ac19_21761,YXXYx,YYXYxyyXYYxyyX,6,29571 56012 71550 78607 118636 126645,100000,18
ac19_23156,YYXXyxx,YYYxYXYYX,1,31848,100000,16
ac19_23557,YXXYx,YYYXXyyyxyxyyx,2,32545 81127,100000,18
ac19_24379,YYXXYXXyx,YYXyyxxyxxyyx,2,33990 136668,100000,15
ac19_24446,YXXYx,YYYXYxyXYYxyyX,4,34112 76103 100465 126401,100000,18
ac19_24622,YYXXXyX,YYXYxyXyxyX,2,34411 47812,100000,15
ac19_24642,YXXYx,YYYYxyXYXYXyyx,1,34447,100000,18
ac19_24749,YXyXXXXyx,YYxYxyxxyX,1,34634,100000,18
ac19_24805,YXXYx,YYYXYYYXXyxYYX,2,34733 80574,100000,18
ac19_24836,YYXXXyX,YYXYXyxyyxx,1,34777,100000,17
ac19_24884,YXXYx,YYYYXYxyXYXyyx,2,34861 144733,100000,18
ac19_24981,YXXYx,YYYYxYXyyyXYYXXyx,1,35032,100000,18
ac19_25143,YYXXXyx,YXXXYxxYXXXyX,1,35324,100000,16
ac19_25244,YYXXyxx,YYxYxYXXX,1,35486,100000,16
ac19_25941,YYXXXyX,YXyXXYxxxyX,6,36714 63277 82474 123505 133947 151006,100000,15
ac19_26044,YYXXXXyx,YYXYXXXyX,2,36911 42821,100000,17
ac19_26211,YXXXyXyx,YYxyxYXXyxx,1,37189,100000,17
ac19_26260,YYXXyx,YYXXYYXXYxYXX,3,37289 46168 148076,100000,15
ac19_26598,YYXXXyxyxYx,YYXXXXyxyxyx,1,37891,100000,17
ac19_26841,YXYXXYx,YYYXXXyxyx,1,38331,100000,17
ac19_27082,YXXYx,YYXYYXyyxYYXyx,2,38753 83303,100000,18
