name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_1007,YYXXXyX,YXYxyXXX,21,1565 4370 9506 9997 21216 27617 44872 44979 44992 47437 51259 73326 77466 81725 87174 93048 112825 116414 131870 132881 143110,10000,15
ac19_1011,YYXXyx,YXyXyxxyx,22,1569 8631 10660 11096 12663 19047 22636 24108 31039 32328 34445 36872 41488 46660 53509 58705 95939 101510 112801 115554 136874 155227,10000,14
ac19_10129,YXyXXXyx,YYXXyXyxyXX,1,12410,10000,17
ac19_102,YYXXyx,YXXXXXXyxxxxx,25,561 563 567 568 570 571 577 578 583 587 11472 11834 14204 21343 24188 35475 49465 50731 73750 75659 86012 100133 106665 138840 147941,10000,14
ac19_10327,YYYXXXXyyx,YYYYxxyyyXyyx,2,12676 62519,10000,14
ac19_10430,YXYxyx,YYxYYxxYYxx,8,12825 13458 19753 31660 94480 99130 130004 130221,10000,17
ac19_10499,YXXXyXYx,YYXXXXXYXXXyx,2,12909 32271,10000,15
ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1,13014,10000,19
ac19_10617,YXXXyXXYx,YXyxxYXXXX,2,13054 33768,10000,14
ac19_1062,YXXYx,YYXYYXyxYYxyyX,1,1622,10000,18
ac19_10673,YXXXyxYx,YYXXXYXyXYx,1,13119,10000,17
ac19_10775,YYXXXyx,YXYXyXXYx,2,13251 134139,10000,16
ac19_10811,YXXYxxyx,YYYxxxxyXXXYx,1,13293,10000,17
ac19_10820,YYXXXXYX,YYxyXyxxxyX,1,13304,10000,14
ac19_10826,YYXXyxx,YYYYYXYxyx,3,13314 16600 141876,10000,15
ac19_10919,YXXyXyx,YYYxxxYxyyx,1,13435,10000,18
ac19_11000,YXYxyx,YYYXyXXyyyxYx,2,13544 128969,10000,17
ac19_11120,YXXYxxyX,YYXXyXYxx,2,13702 91804,10000,14
ac19_11288,YXYxyx,YYYXyXyxxxYYxYx,1,13933,10000,19
ac19_11753,YYXXYxYXX,YYXXyXYYx,1,14560,10000,18
ac19_11809,YXXYx,YYYXYxyXYXyyyx,1,14636,10000,18
ac19_11931,YYXXXyx,YYYXYXyyX,4,14808 63010 84520 130466,10000,14
ac19_11953,YXXXyXyX,YYxxYxxyxyX,1,14840,10000,19
ac19_12070,YYXXyx,YYYYxyXXyxyXX,1,14996,10000,14
ac19_12112,YYXXXXyx,YXYxxyXXX,3,15060 58409 110734,10000,15
ac19_12148,YYXXYxyxYxyxx,YYXyXYXyxYxyxx,1,15115,10000,15
ac19_12445,YYXXYx,YYYxyyxyXyX,1,15526,10000,17
ac19_12559,YYXXYYx,YYYXYXXYxx,3,15680 90495 103886,10000,14
ac19_12570,YXXyXyx,YYYxxxyxyX,1,15697,10000,14
ac19_12586,YYXXyx,YYXXXYxYXXX,4,15717 18821 79878 130255,10000,14
ac19_12596,YXXyXyx,YYxxxyxYX,4,15729 119535 125502 149027,10000,14
ac19_12647,YXXyXyx,YYxxyxyXYXXyX,1,15801,10000,14
ac19_12660,YXXyXyx,YYXXyxxYXyxx,1,15826,10000,14
ac19_12702,YXyXXXyx,YYXYxxxyXXyyx,1,15885,10000,17
ac19_12878,YXXYXXyX,YXXXXXyXXYx,1,16138,10000,14
ac19_12944,YYXXyx,YYXYXyXyxxx,6,16222 25905 63254 77851 95779 124268,10000,14
ac19_1318,YXXyXyx,YYYXyxYxxyyX,1,1894,10000,14
ac19_13290,YYXXyxx,YYxYxxyXYX,1,16686,10000,16
ac19_1345,YXyXXXyx,YYXyXYXyXYxxyxxyX,1,1924,10000,17
ac19_13642,YXXyXyx,YYYxxyXyxx,3,17155 53972 139969,10000,14
ac19_13840,YYXXyXyyx,YYxxyxxYx,2,17431 113448,10000,16
ac19_13890,YXXXYxx,YYXXYYxyX,2,17514 120720,10000,16
ac19_14000,YXYXXYx,YYYXXyyx,6,17677 29901 73023 73274 102181 139868,10000,14
ac19_14043,YYXXXyX,YYXYxxyyXyx,1,17744,10000,17
ac19_14060,YXXXyXyx,YYxyxxYXyxx,2,17769 63585,10000,19
ac19_14184,YYXXyxx,YYXXYxyXYx,17,17935 34381 52415 56436 61444 69980 89560 106615 111860 123298 128332 130876 131187 135436 136962 145131 148077,10000,14
ac19_1430,YXXyXyx,YYYxxxxyx,4,2012 2391 39841 48478,10000,14
ac19_14333,YXyXXXyx,YYXYxxxxyyx,1,18159,10000,17
ac19_14385,YYXXXyxyx,YYXXXyXyyX,3,18239 91805 119050,10000,14
ac19_14392,YYXXXXYX,YYXyXXyxxYX,1,18249,10000,14
ac19_14513,YYXXXyX,YXyxxxYXXyX,7,18432 24267 26822 48566 69184 130300 138752,10000,15
ac19_14532,YXyXXXyx,YYYxyyXXXyXYxyXyX,1,18457,10000,17
ac19_14550,YYXXYxxyXyx,YYxYXYYxYXYx,1,18482,10000,17
ac19_14569,YYXXyxx,YYXXXYYxyx,2,18511 64389,10000,14
ac19_14690,YXXXyxx,YYXyXYxyXYxyX,6,18686 42350 91270 105757 107011 138475,10000,20
ac19_14786,YYXXXYX,YYxYXXyXX,2,18834 87141,10000,13
ac19_14888,YXXYx,YYYYXXyxYYXyyyXYx,1,18982,10000,18
ac19_14905,YXXyXyxx,YYxYxyxxxYX,2,19008 141763,10000,17
ac19_15145,YXYXYx,YYYxYXyyXYYxyXXyx,1,19360,10000,19
ac19_15183,YYXXyxx,YYYxxYYxxyXXX,1,19412,10000,19
ac19_15242,YYXXXXyx,YYXyXYxyX,3,19501 41161 94851,10000,17
ac19_15490,YYXyXyxyXYxyX,YXyxYXyxYXyxx,1,19875,10000,14
ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,1,19903,10000,16
ac19_15562,YXXXYxxxyx,YYYxxxyXYYx,1,19980,10000,16
ac19_15582,YXXXXyXyx,YYxxxxxyXX,2,20011 133586,10000,16
ac19_15616,YYXXXyxx,YYXyXXYXYYx,1,20059,10000,19
ac19_15727,YXXyXyx,YYXYxxxYxyxx,1,20216,10000,14
ac19_15866,YXXXyXYx,YXyxxxyxx,1,20430,10000,17
ac19_1595,YYXyxxxxyyX,YYXyXXYYXyxxyX,2,2187 25291,10000,14
ac19_16000,YXXXyxYx,YYYXyXXYXyx,1,20623,10000,17
ac19_16078,YYXXyx,YYYYxyyXXyX,4,20738 57544 124546 144748,10000,14
ac19_16158,YYXXYYXXX,YYXyxYxYXyyX,1,20865,10000,17
ac19_16166,YXXyXyx,YYxxxxxyXX,3,20875 54439 129716,10000,14
ac19_16178,YYXXXYX,YYXYxYXyyXX,2,20895 153371,10000,13
ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,21044 46185 51554 140735,10000,17
ac19_16430,YXXXyxYx,YXYXyXXYxxYXX,2,21269 115976,10000,19
ac19_16513,YXXYx,YYYXYYXyyyxxYX,2,21398 135294,10000,18
ac19_1660,YXyXXXyx,YYYxxxyXyxx,1,2253,10000,17
ac19_1670,YYXXyxx,YYxYxyX,26,2263 22554 24328 28457 39429 42855 50372 62180 64140 67298 75687 78196 80979 83179 92412 92982 94496 107962 111977 124099 125591 137290 139252 142594 149866 153323,10000,14
ac19_16808,YYXXXXyXX,YXXXXXyxxxxxx,9,21830 22514 28325 46608 86985 107632 109670 118474 125468,10000,15
ac19_16980,YYXXYxYXXYx,YYYXXYxYXyyxxyX,4,22106 25497 52928 96446,10000,14
ac19_17065,YYXXyxx,YYYYYYXYXYx,7,22225 35163 39350 59011 96161 116117 143725,10000,14
ac19_17131,YYXXXyX,YYYXyyXX,5,22329 33833 68779 76688 117662,10000,15
ac19_17156,YYYXXYXyX,YYXXYYXXX,6,22368 47315 61085 99700 122212 139109,10000,17
ac19_17204,YXXXyxYx,YXYxyXXYxyX,2,22437 121118,10000,17
ac19_1725,YYXXXXYxyxx,YYXXXXyxxxx,9,2320 3640 20298 52094 78630 114361 124037 147300 155737,10000,14
ac19_17343,YYYXXXXyyx,YYYYXXyyyyx,12,22638 28500 37735 83534 91474 96896 102218 105969 120168 127529 135190 141875,10000,14
ac19_17455,YXXYxYxx,YYxyxxyXyXX,1,22796,10000,14
ac19_17484,YXyXXXyx,YYYxxYxxyxYxyyX,1,22839,10000,17
ac19_17581,YXXYx,YYYXyyxYXyxyyx,2,22983 84358,10000,18
ac19_177,YXXXXyXYx,YXXyxYXXXX,10,700 32509 34787 60573 73698 99467 105028 107113 122978 155252,10000,14
ac19_17727,YXYXXYx,YYXYXXyyxx,2,23208 52670,10000,14
ac19_17957,YYXXXXyx,YXyxYXXXyxx,3,23562 77328 149490,10000,17
ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,1,23812,10000,19
ac19_18168,YXYXXYx,YYxyXyxxxyXX,1,23887,10000,14
ac19_18255,YXXyXyx,YYXXyXYxxxyx,1,24014,10000,14
