name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_1007,YYXXXyX,YXYxyXXX,21,1565 4370 9506 9997 21216 27617 44872 44979 44992 47437 51259 73326 77466 81725 87174 93048 112825 116414 131870 132881 143110,10000,15
ac19_10129,YXyXXXyx,YYXXyXyxyXX,1,12410,10000,17
ac19_10379,YXXyx,YYYYYXyyyxyxxx,2,12758 126301,10000,15
ac19_10430,YXYxyx,YYxYYxxYYxx,8,12825 13458 19753 31660 94480 99130 130004 130221,10000,17
ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1,13014,10000,19
ac19_10775,YYXXXyx,YXYXyXXYx,2,13251 134139,10000,16
ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,10,616 617 618 619 620 621 622 623 624 625,10000,18
ac19_11000,YXYxyx,YYYXyXXyyyxYx,2,13544 128969,10000,17
ac19_11288,YXYxyx,YYYXyXyxxxYYxYx,1,13933,10000,19
ac19_12445,YYXXYx,YYYxyyxyXyX,1,15526,10000,17
ac19_12702,YXyXXXyx,YYXYxxxyXXyyx,1,15885,10000,17
ac19_13290,YYXXyxx,YYxYxxyXYX,1,16686,10000,16
ac19_1345,YXyXXXyx,YYXyXYXyXYxxyxxyX,1,1924,10000,17
ac19_14060,YXXXyXyx,YYxyxxYXyxx,2,17769 63585,10000,19
ac19_14215,YXyXXyx,YYXXYxxxyyxx,1,17981,10000,17
ac19_14333,YXyXXXyx,YYXYxxxxyyx,1,18159,10000,17
ac19_14532,YXyXXXyx,YYYxyyXXXyXYxyXyX,1,18457,10000,17
ac19_14690,YXXXyxx,YYXyXYxyXYxyX,6,18686 42350 91270 105757 107011 138475,10000,20
ac19_14905,YXXyXyxx,YYxYxyxxxYX,2,19008 141763,10000,17
ac19_15242,YYXXXXyx,YYXyXYxyX,3,19501 41161 94851,10000,17
ac19_15863,YXXyx,YYXYYXyyxyyxxxYx,1,20425,10000,15
ac19_15866,YXXXyXYx,YXyxxxyxx,1,20430,10000,17
ac19_15872,YXXyx,YYYYYXyxyyyXyXyX,2,20441 73390,10000,15
ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,21044 46185 51554 140735,10000,17
ac19_16358,YXyXXyx,YYYxyxYxxyxyXYX,1,21163,10000,17
ac19_1660,YXyXXXyx,YYYxxxyXyxx,1,2253,10000,17
ac19_17204,YXXXyxYx,YXYxyXXYxyX,2,22437 121118,10000,17
ac19_17484,YXyXXXyx,YYYxxYxxyxYxyyX,1,22839,10000,17
ac19_17957,YYXXXXyx,YXyxYXXXyxx,3,23562 77328 149490,10000,17
ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,1,23812,10000,19
ac19_18400,YXyXXXyx,YYXyXYxYxyxYxxyyX,1,24235,10000,17
ac19_19996,YXXyXyX,YYYXXXyxyxyxx,1,26735,10000,14
ac19_20050,YYXXXYx,YYXYYXYXXyx,2,26818 42278,10000,15
ac19_20118,YXyXXXyx,YYxyxyXXYxxyXXX,1,26930,10000,17
ac19_20125,YXyXXXyx,YYXXyXXYxxyXyyx,1,26943,10000,17
ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,1,27180,10000,19
ac19_20744,YYXXXyx,YXyxxYXyxxYXXyx,2,27917 75468,10000,19
ac19_20771,YXyXXyx,YYXYXyxyxxxYXXyyx,1,27964,10000,17
ac19_21595,YXYxyx,YYXXyxYxxYxYYxx,1,29302,10000,19
ac19_21703,YXYXXYxyX,YYYXyxYXyXyx,1,29480,10000,18
ac19_21915,YXyXXyx,YYxYxxxYXYXyxyxyx,1,29819,10000,17
