name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_1007,YYXXXyX,YXYxyXXX,21,1565 4370 9506 9997 21216 27617 44872 44979 44992 47437 51259 73326 77466 81725 87174 93048 112825 116414 131870 132881 143110,10000,15
ac19_10118,YYXXXYX,YYYXyXyx,4,12392 56883 118423 154501,10000,15
ac19_10129,YXyXXXyx,YYXXyXyxyXX,1,12410,10000,17
ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1,13014,10000,19
ac19_1062,YXXYx,YYXYYXyxYYxyyX,1,1622,10000,18
ac19_10775,YYXXXyx,YXYXyXXYx,2,13251 134139,10000,16
ac19_10826,YYXXyxx,YYYYYXYxyx,3,13314 16600 141876,10000,15
ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,10,616 617 618 619 620 621 622 623 624 625,10000,18
ac19_10919,YXXyXyx,YYYxxxYxyyx,1,13435,10000,18
ac19_11000,YXYxyx,YYYXyXXyyyxYx,2,13544 128969,10000,17
ac19_11288,YXYxyx,YYYXyXyxxxYYxYx,1,13933,10000,19
ac19_11843,YXYXXXX,YYYXyXyX,5,14685 31920 117437 135996 136123,10000,15
ac19_12112,YYXXXXyx,YXYxxyXXX,3,15060 58409 110734,10000,17
ac19_12702,YXyXXXyx,YYXYxxxyXXyyx,1,15885,10000,17
ac19_12979,YYXXXYx,YYXYYxYXyyXyx,1,16269,10000,14
ac19_13024,YXXYXXyX,YYYXyyxyX,1,16327,10000,15
ac19_13142,YYXXXYx,YYxyXYX,10,16484 18047 32037 36007 39996 54035 57407 60760 72659 138390,10000,14
ac19_13202,YYXXXYxx,YYXYxxyXX,4,16568 78496 104218 115591,10000,17
ac19_13214,YYXXyxYXXyxx,YXYxxyXXYXXyx,2,16586 44597,10000,17
ac19_13290,YYXXyxx,YYxYxxyXYX,1,16686,10000,16
ac19_134,YYXXYXyyx,YYYXXXYXyyX,4,656 46796 68445 138605,10000,17
ac19_1345,YXyXXXyx,YYXyXYXyXYxxyxxyX,1,1924,10000,17
ac19_13813,YXXYXXyX,YYXyXYXXyyxYX,1,17396,10000,15
ac19_13840,YYXXyXyyx,YYxxyxxYx,2,17431 113448,10000,16
ac19_1394,YXXXyxYx,YYXYXYxyX,1,1974,10000,17
ac19_14060,YXXXyXyx,YYxyxxYXyxx,2,17769 63585,10000,19
ac19_14215,YXyXXyx,YYXXYxxxyyxx,1,17981,10000,16
ac19_14333,YXyXXXyx,YYXYxxxxyyx,1,18159,10000,17
ac19_14391,YXYXXXX,YYYXXyyXyxYX,1,18248,10000,15
ac19_14419,YXXXYxx,YYYXXXyxxYYXYX,3,18291 46437 134084,10000,17
ac19_14532,YXyXXXyx,YYYxyyXXXyXYxyXyX,1,18457,10000,17
