name,r1,r2,orbit,rep_r1,rep_r2,orbit_members,min_relator_length
ac19x_15526,YYYXyyyxxYX,YYXYxyyx,ac19_12445,YYXXYx,YYYxyyxyXyX,1,19
ac19x_19903,YXXXYxyxxxyXX,YXyXXXyXXXX,ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,1,24
ac19x_21044,YYYYXYxyyyyX,YYYYXyyxyyXYX,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,25
ac19x_46185,YYxYxyXyXyxxYx,YYxyXyXyXyXYxYx,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,29
ac19x_51554,YYxxxYXXyXX,YXyXXXyxxxx,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,22
ac19x_140735,YYXYXyxyxyXXYX,YYXyxyxyxyxYXYX,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,29
ac19x_27180,YYxYxxxyXXyXXyX,YXXyXXyXYxxYxx,ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,1,29
ac19x_31848,YXYxxxyx,YXXXYxyxxxyXX,ac19_23156,YYXXyxx,YYYxYXYYX,1,21
ac19x_38929,YXXYxxxyXXXXyxx,YXXyXXXXYxxxx,ac19_27187,YYXXXXyXX,YYXXyxxxxxxyXXX,2,28
ac19x_151459,YXXYxxyXXXXyxxx,YXXXXyXXYxxxx,ac19_27187,YYXXXXyXX,YYXXyxxxxxxyXXX,2,28
ac19x_39050,YYxxyXX,YXXXXXYxyxxx,ac19_27254,YXXXyXYx,YXXyxxxxyxx,1,19
ac19x_40647,YYXYXYXyxyxyxyXYX,YYXyxyxyxyxYXYX,ac19_28131,YYXXXXyx,YXXyXXXYx,4,32
ac19x_62350,YYYYYXyyyxyyX,YYYYXYxyyyyX,ac19_28131,YYXXXXyx,YXXyXXXYx,4,25
ac19x_130941,YYxYxYxyXyXyXyxYx,YYxyXyXyXyXYxYx,ac19_28131,YYXXXXyx,YXXyXXXYx,4,32
ac19x_137795,YXXXyXXYxxxx,YXyXXXyxxxx,ac19_28131,YYXXXXyx,YXXyXXXYx,4,23
ac19x_41313,YXXYxxyxxxxxx,YXXXYxyxxxyXX,ac19_28510,YYXXyxx,YYYYYYXYXYYx,1,26
ac19x_46444,YYYXyXyyxyX,YYXYxyyx,ac19_31298,YYXXYx,YYYXYYxYXyX,1,19
ac19x_56611,YXXYXXXyXyxYxxYxx,YXXyXXyXYxxYxx,ac19_36350,YYXXXYxx,YYYYXXXyxyxYYYX,1,31
ac19x_65053,YXXXXyxYx,YXXXyXXYxxxx,ac19_40312,YXXXXyXyx,YXXYxxxyxx,1,21
ac19x_74462,YYxxyXX,YXXXXXyxYxxx,ac19_44381,YXXYXXyxx,YXyXyxxxxx,1,19
ac19x_79238,YYYXyyyxx,YYYxyxyxyyxx,ac19_46363,YXXXyXyxxx,YYYXYxYxxxx,1,21
ac19x_90583,YYXYXYxxYX,YYxxyXX,ac19_50841,YXXyXyxx,YYYxxxYYx,2,17
ac19x_139445,YYxYXXYxYx,YYxxyXX,ac19_50841,YXXyXyxx,YYYxxxYYx,2,17
ac19x_90721,YXXyXXYXyxxxxxx,YXXyXXXXYxxxx,ac19_50892,YYXXXXyXX,YXXyXXYxxxxxxyX,1,28
ac19x_91095,YXXyXYxYx,YXyXXyXXYxxYxx,ac19_51034,YYXXXXYX,YYYXYXyyX,1,23
ac19x_101578,YYYXyXyxyyxYX,YYXYxyyx,ac19_54835,YYXXYx,YYYXYxxyXyX,1,21
ac19x_102092,YYYYXYxyyyyX,YYYYXyxyyXYXX,ac19_55019,YXXXXyxYx,YXXYXXyXYxYXXX,2,25
ac19x_143359,YYXYxxxYXyXX,YXyXXXyxxxx,ac19_55019,YXXXXyxYx,YXXYXXyXYxYXXX,2,23
ac19x_107601,YXYxyxxxyxxxxYXX,YXXXYxyxxxyXX,ac19_56970,YYXXyxx,YYYYXXYxYYxYx,1,29
ac19x_110483,YYXXXyXyxxYxx,YXXyXXyXYxxYxx,ac19_57992,YYXXXYxx,YYYXYYXXyyxyx,1,27
ac19x_115001,YYYYXYxyyyyX,YYYxyXYxyyX,ac19_59576,YYXXXXyx,YXyxxxYXXyx,1,23
ac19x_120061,YXXYxyxxxyxxYxxx,YXXXYxyxxxyXX,ac19_61253,YYXXyxx,YYYYYYXYXYxxYYX,1,29
ac19x_132233,YYxYxyXXyXX,YXXyXXyXYxxYxx,ac19_65206,YYXXXYxx,YYXYYxxyXYX,1,25
ac19x_133893,YXyXXyXXYxxYxx,YXyXXyXXyxxYxYxYx,ac19_65753,YXXYxYxxx,YYYYXyXyxxx,1,31
ac19x_137936,YXXXYxyXXYxxx,YXXXyxYxx,ac19_67055,YYXXXyx,YXyxxxxxyXyxx,2,22
ac19x_144949,YXXyxYXXXYxxx,YXyXXyxxx,ac19_67055,YYXXXyx,YXyxxxxxyXyxx,2,22
ac19x_141054,YXYxxyxxxyxxYXX,YXXXYxyxxxyXX,ac19_67987,YYXXyxx,YYXXYYxYYxYx,1,28
ac19x_8769,YYxYxYxyXyXyXyxYx,YXyXyXyxYxYXyx,ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,31
ac19x_16286,YXXXyXXYxxxx,YXyxYXXXyxx,ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,23
ac19x_101025,YYXYXYXyxyxyxyXYX,YXYXyxYXyxyxYX,ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,31
