name,r1,r2,orbit,rep_r1,rep_r2,orbit_members,min_relator_length
ac19x_21044,YYYYXYxyyyyX,YYYYXyyxyyXYX,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,25
ac19x_46185,YYxYxyXyXyxxYx,YYxyXyXyXyXYxYx,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,29
ac19x_51554,YYxxxYXXyXX,YXyXXXyxxxx,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,22
ac19x_140735,YYXYXyxyxyXXYX,YYXyxyxyxyxYXYX,ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,29
ac19x_39050,YYxxyXX,YXXXXXYxyxxx,ac19_27254,YXXXyXYx,YXXyxxxxyxx,1,19
ac19x_40647,YYXYXYXyxyxyxyXYX,YYXyxyxyxyxYXYX,ac19_28131,YYXXXXyx,YXXyXXXYx,4,32
ac19x_62350,YYYYYXyyyxyyX,YYYYXYxyyyyX,ac19_28131,YYXXXXyx,YXXyXXXYx,4,25
ac19x_130941,YYxYxYxyXyXyXyxYx,YYxyXyXyXyXYxYx,ac19_28131,YYXXXXyx,YXXyXXXYx,4,32
ac19x_137795,YXXXyXXYxxxx,YXyXXXyxxxx,ac19_28131,YYXXXXyx,YXXyXXXYx,4,23
ac19x_74462,YYxxyXX,YXXXXXyxYxxx,ac19_44381,YXXYXXyxx,YXyXyxxxxx,1,19
ac19x_90583,YYXYXYxxYX,YYxxyXX,ac19_50841,YXXyXyxx,YYYxxxYYx,2,17
ac19x_139445,YYxYXXYxYx,YYxxyXX,ac19_50841,YXXyXyxx,YYYxxxYYx,2,17
ac19x_91095,YXXyXYxYx,YXyXXyXXYxxYxx,ac19_51034,YYXXXXYX,YYYXYXyyX,1,23
ac19x_115001,YYYYXYxyyyyX,YYYxyXYxyyX,ac19_59576,YYXXXXyx,YXyxxxYXXyx,1,23
ac19x_133893,YXyXXyXXYxxYxx,YXyXXyXXyxxYxYxYx,ac19_65753,YXXYxYxxx,YYYYXyXyxxx,1,31
ac19x_8769,YYxYxYxyXyXyXyxYx,YXyXyXyxYxYXyx,ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,31
ac19x_16286,YXXXyXXYxxxx,YXyxYXXXyxx,ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,23
ac19x_101025,YYXYXYXyxyxyxyXYX,YXYXyxYXyxyxYX,ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,31
