name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_1007,YYXXXyX,YXYxyXXX,21,1565 4370 9506 9997 21216 27617 44872 44979 44992 47437 51259 73326 77466 81725 87174 93048 112825 116414 131870 132881 143110,1000000,15
ac19_10584,YXXYxxyxx,YXXyXXXyxxYXXyxx,1,13014,1000000,19
ac19_10775,YYXXXyx,YXYXyXXYx,2,13251 134139,1000000,16
ac19_12445,YYXXYx,YYYxyyxyXyX,1,15526,1000000,17
ac19_13290,YYXXyxx,YYxYxxyXYX,1,16686,1000000,16
ac19_14060,YXXXyXyx,YYxyxxYXyxx,2,17769 63585,1000000,19
ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,1,19903,1000000,16
ac19_15866,YXXXyXYx,YXyxxxyxx,1,20430,1000000,17
ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,21044 46185 51554 140735,1000000,17
ac19_18581,YXXYx,YYYYXYXyxYXyyx,1,24537,1000000,18
ac19_19503,YXXYx,YYYXyxYXyyxyyx,2,25981 136910,1000000,18
ac19_20172,YYXXXyX,YXYXyXXX,12,27019 42592 55413 73900 78355 95588 103262 106318 120119 124500 137066 138911,1000000,15
ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,1,27180,1000000,19
ac19_20744,YYXXXyx,YXyxxYXyxxYXXyx,2,27917 75468,1000000,19
ac19_20832,YXXYx,YYYXYYXXyxyyyx,1,28062,1000000,18
ac19_23156,YYXXyxx,YYYxYXYYX,1,31848,1000000,16
ac19_24642,YXXYx,YYYYxyXYXYXyyx,1,34447,1000000,18
ac19_25244,YYXXyxx,YYxYxYXXX,1,35486,1000000,16
ac19_25941,YYXXXyX,YXyXXYxxxyX,6,36714 63277 82474 123505 133947 151006,1000000,15
ac19_26211,YXXXyXyx,YYxyxYXXyxx,1,37189,1000000,17
ac19_26598,YYXXXyxyxYx,YYXXXXyxyxyx,1,37891,1000000,17
ac19_26841,YXYXXYx,YYYXXXyxyx,1,38331,1000000,17
ac19_27187,YYXXXXyXX,YYXXyxxxxxxyXXX,2,38929 151459,1000000,20
ac19_27254,YXXXyXYx,YXXyxxxxyxx,1,39050,1000000,19
ac19_27551,YXXYxxyxx,YYxxYxxxxx,1,39609,1000000,19
ac19_27683,YXYxyx,YYXXyXyxxxYxx,2,39837 78449,1000000,17
ac19_28131,YYXXXXyx,YXXyXXXYx,4,40647 62350 130941 137795,1000000,17
ac19_28510,YYXXyxx,YYYYYYXYXYYx,1,41313,1000000,16
ac19_28930,YXYxyx,YYXXyxxxYxxYx,2,42081 88422,1000000,17
ac19_31298,YYXXYx,YYYXYYxYXyX,1,46444,1000000,17
ac19_31687,YXXYx,YYYYXXyxYYXYYX,1,47182,1000000,18
ac19_31763,YYXXXYxYx,YYXYxYxYXX,1,47334,1000000,16
ac19_31991,YYXXXyx,YXyxxYXXyxYXXyx,2,47758 51448,1000000,16
ac19_32717,YXXYx,YYYXYYXYxxyyyX,1,49246,1000000,18
ac19_33435,YXXyXyx,YYxxYXyxyx,1,50640,1000000,17
ac19_35172,YYXXXyX,YYXXyxyxx,4,54158 97465 113728 137098,1000000,15
ac19_36350,YYXXXYxx,YYYYXXXyxyxYYYX,1,56611,1000000,19
ac19_39288,YYXXXYx,YYxyxyXyXyx,1,62834,1000000,17
ac19_40312,YXXXXyXyx,YXXYxxxyxx,1,65053,1000000,19
ac19_40625,YXXyXyx,YYXyxxYxyx,1,65751,1000000,17
ac19_41136,YYXXyxx,YYYYXYxYX,1,66917,1000000,16
ac19_420,YYXXXyX,YYXyyxxyxx,1,950,1000000,15
ac19_42516,YXXYx,YYYYXXyxyyxyyx,3,70089 83378 126421,1000000,18
ac19_42691,YXXYx,YYYXYYxyXYxyyX,3,70474 115337 151707,1000000,18
ac19_42768,YXXYxxyxx,YYXXyXyxxYxx,1,70647,1000000,19
ac19_43611,YYXXXYx,YYxYxYXYXXXX,1,72661,1000000,17
ac19_44158,YYXXXyX,YXyxxxxYXXXyx,1,73915,1000000,16
ac19_44381,YXXYXXyxx,YXyXyxxxxx,1,74462,1000000,19
ac19_45019,YXXYXXyxx,YYXyXyxxxyxx,1,75963,1000000,17
ac19_45389,YXXYx,YYYXyyyXYxyxyx,1,76858,1000000,18
ac19_45978,YXXYxxyxx,YYXXyxxYxxxxx,1,78292,1000000,19
ac19_46363,YXXXyXyxxx,YYYXYxYxxxx,1,79238,1000000,17
ac19_48401,YYXXXyx,YYXXYXyXXYxyX,2,84493 105137,1000000,19
ac19_49095,YYXXXYx,YYXyxYXYXyx,1,86209,1000000,17
ac19_50841,YXXyXyxx,YYYxxxYYx,2,90583 139445,1000000,17
ac19_50892,YYXXXXyXX,YXXyXXYxxxxxxyX,1,90721,1000000,20
ac19_50910,YXXYx,YYYYXYYXYYXXyx,1,90757,1000000,18
ac19_51034,YYXXXXYX,YYYXYXyyX,1,91095,1000000,17
ac19_52553,YXXYx,YYYXYYXYYXXyyx,1,95213,1000000,18
ac19_54616,YYXYYXXXyX,YYXYXXXYYXXXX,1,100913,1000000,17
ac19_54765,YYXXXYx,YYYYXXYXYYYXX,1,101379,1000000,17
ac19_54835,YYXXYx,YYYXYxxyXyX,1,101578,1000000,17
ac19_55019,YXXXXyxYx,YXXYXXyXYxYXXX,2,102092 143359,1000000,19
ac19_555,YYXXXyX,YXyxYXXXyxx,16,1091 5089 8923 26851 36479 44034 54710 56750 59686 70467 74772 81095 90460 108712 130332 144781,1000000,15
ac19_55987,YYXXYx,YYYXYxxyXXYYX,1,104819,1000000,17
ac19_56581,YXYXXYx,YYXyyXYxxYX,1,106510,1000000,17
ac19_56970,YYXXyxx,YYYYXXYxYYxYx,1,107601,1000000,16
ac19_57517,YXYXXYx,YYxyXXYXyx,1,109152,1000000,17
ac19_57992,YYXXXYxx,YYYXYYXXyyxyx,1,110483,1000000,19
ac19_59576,YYXXXXyx,YXyxxxYXXyx,1,115001,1000000,17
ac19_61253,YYXXyxx,YYYYYYXYXYxxYYX,1,120061,1000000,16
ac19_62603,YYXXyxx,YYXXYxYxYX,1,124194,1000000,16
ac19_64974,YXXXyXyX,YYxYxxyxyxx,1,131463,1000000,17
ac19_65206,YYXXXYxx,YYXYYxxyXYX,1,132233,1000000,19
ac19_65753,YXXYxYxxx,YYYYXyXyxxx,1,133893,1000000,17
ac19_66724,YXXyXyxx,YYYxxxxYYxx,1,136825,1000000,19
ac19_67055,YYXXXyx,YXyxxxxxyXyxx,2,137936 144949,1000000,19
ac19_67659,YXYXXYx,YYxyXyXyxyx,1,139896,1000000,17
ac19_67987,YYXXyxx,YYXXYYxYYxYx,1,141054,1000000,16
ac19_68196,YXXYx,YYYXXyyxYYXYYX,1,141769,1000000,18
ac19_68854,YXXXyXXyx,YYxyxxYXyx,1,143855,1000000,19
ac19_70028,YXXYxxyxx,YYXXyXXXyxxxx,1,147594,1000000,19
ac19_7037,YYXXXyX,YYXXXXyxyxx,1,8462,1000000,15
ac19_70767,YXXYx,YYXYYxyXYYXyyx,1,149984,1000000,18
ac19_72113,YXXYXXyxx,YYYXyXyxyxx,1,154435,1000000,17
ac19_72328,YYXXyxx,YYYYYXYxyX,1,155161,1000000,17
ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,8769 16286 101025,1000000,17
ac19_8709,YXXYx,YYYYXYYXXyxyyx,2,10533 26155,1000000,18
