name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_12445,YYXXYx,YYYxyyxyXyX,1,15526,1000000,17
ac19_16286,YYXXXXyx,YYXXXYXXyXX,4,21044 46185 51554 140735,1000000,17
ac19_27254,YXXXyXYx,YXXyxxxxyxx,1,39050,1000000,19
ac19_27683,YXYxyx,YYXXyXyxxxYxx,2,39837 78449,1000000,17
ac19_28131,YYXXXXyx,YXXyXXXYx,4,40647 62350 130941 137795,1000000,17
ac19_28930,YXYxyx,YYXXyxxxYxxYx,2,42081 88422,1000000,17
ac19_31298,YYXXYx,YYYXYYxYXyX,1,46444,1000000,17
ac19_44381,YXXYXXyxx,YXyXyxxxxx,1,74462,1000000,19
ac19_50841,YXXyXyxx,YYYxxxYYx,2,90583 139445,1000000,17
ac19_51034,YYXXXXYX,YYYXYXyyX,1,91095,1000000,17
ac19_54835,YYXXYx,YYYXYxxyXyX,1,101578,1000000,17
ac19_59576,YYXXXXyx,YXyxxxYXXyx,1,115001,1000000,17
ac19_65753,YXXYxYxxx,YYYYXyXyxxx,1,133893,1000000,17
ac19_7284,YYXXXyXX,YXyxYXXXyxx,3,8769 16286 101025,1000000,17
