index,name,r1,r2,nodes_explored,route
99,ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,1000,incumbent_restart
2696,ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,1000,incumbent_restart
6554,ac19_6554,YYXyxYXXyx,YXyxYXyxxyXyx,1000,incumbent_restart
11753,ac19_11753,YYXXYxYXX,YYXXyXYYx,1000,incumbent_restart
14690,ac19_14690,YXXXyxx,YYXyXYxyXYxyX,1000,incumbent_restart
17417,ac19_17417,YYXyxYXXyx,YXyXyxxyXYxyx,1000,incumbent_restart
18125,ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,1000,incumbent_restart
18413,ac19_18413,YXYxxYXyxYXyx,YYXYxxYYxxYXyx,1000,incumbent_restart
22263,ac19_22263,YXyXYXyxx,YYXXyxxYxyX,1000,incumbent_restart
25325,ac19_25325,YXYxYXXYXyx,YYxYXXXYxYXX,1000,incumbent_restart
31624,ac19_31624,YYXyxYXXyx,YXyxYXXYxyXyx,1000,incumbent_restart
33080,ac19_33080,YXYxxYXyxYXyx,YYxYXYxxYXyxyX,1000,incumbent_restart
37426,ac19_37426,YXyXYXyxx,YYXyxYxxyX,1000,incumbent_restart
38222,ac19_38222,YYXXYxYXX,YYXXYxyXyyxxYX,1000,incumbent_restart
40167,ac19_40167,YXYxYXXYx,YYXXYXYxxyyXYx,1000,incumbent_restart
45056,ac19_45056,YXYXyXXYXyX,YYYXyXXYXYXyXyyx,1000,incumbent_restart
45684,ac19_45684,YYXXYXYYXXX,YYXYYXyXYYXXXyx,1000,incumbent_restart
49255,ac19_49255,YYXXYxYxyX,YXyxYXyxYXXYx,1000,incumbent_restart
50262,ac19_50262,YYXXXyXYXyX,YXXyxYXXyxx,1000,incumbent_restart
50610,ac19_50610,YXYxxYXyxYXyx,YYxyXYxxYXyxYX,1000,incumbent_restart
51034,ac19_51034,YYXXXXYX,YYYXYXyyX,1000,incumbent_restart
51124,ac19_51124,YXyXYXyxx,YYXXyxYXyXYxyx,1000,incumbent_restart
54337,ac19_54337,YXYxYXXYx,YYXXyxxYXYxyXyx,1000,incumbent_restart
54514,ac19_54514,YXYXyXXYXyX,YYYXyXXyxYxyxyx,1000,incumbent_restart
56260,ac19_56260,YXyXYXyxx,YYXyxYXXyx,1000,incumbent_restart
57787,ac19_57787,YYXyxYXXyx,YYYxyXXYXyx,1000,incumbent_restart
58570,ac19_58570,YYXXYxYxyX,YXYxyXYxxyX,1000,incumbent_restart
60781,ac19_60781,YYXXyxx,YYXYXYxYxYX,1000,incumbent_restart
62145,ac19_62145,YXYxYXXYx,YYXXyxxYXXyxx,1000,incumbent_restart
62816,ac19_62816,YXYXyXXYXyX,YYYXyXXXYXyXyx,1000,incumbent_restart
63737,ac19_63737,YXyXYXyxx,YYXXyxYXyx,1000,incumbent_restart
64163,ac19_64163,YXXYxxyx,YYXYXyXyXXyxxyx,1000,incumbent_restart
65737,ac19_65737,YXXYxYxx,YYxyxyXyX,1000,incumbent_restart
65753,ac19_65753,YXXYxYxxx,YYYYXyXyxxx,1000,incumbent_restart
65876,ac19_65876,YYXyxYXXyx,YXYxyXXYxYXyx,1000,incumbent_restart
65967,ac19_65967,YXYXyXXYXyX,YYXyXyyxYYxyx,1000,incumbent_restart
66385,ac19_66385,YXYxYXXYx,YYYXXyxxYXYXYx,1000,incumbent_restart
66543,ac19_66543,YXYXyXXYXyX,YYxYxyXYXyXyxyX,1000,incumbent_restart
66724,ac19_66724,YXXyXyxx,YYYxxxxYYxx,1000,incumbent_restart
69139,ac19_69139,YXXYxxyx,YYXYXyXyyxx,1000,incumbent_restart
70845,ac19_70845,YYXYXyXXyX,YXYXyXYXXyX,1000,incumbent_restart
