name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_78,YXXyx,YYYYYXyyyyx,27,412 414 416 417 420 422 424 431 537 541 544 545 551 554 2158 5265 20703 25130 26938 41672 74034 83587 112237 114175 122152 130731 150529,1000,15
ac19_88,YXXyx,YYYYYYXyyyyyx,20,464 466 559 560 562 564 565 566 569 572 575 576 582 588 18756 42582 80564 95063 95680 130078,1000,17
ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,6,527 529 628 629 630 633,1000,19
ac19_100,YYXXXyX,YXXXXyxxxxx,13,539 540 549 550 552 556 50416 79095 113032 117204 124797 128356 131135,1000,15
ac19_103,YYXXXXyX,YXXXXXXyxxxxx,9,573 584 27118 45332 45525 82259 113134 138359 151580,1000,17
ac19_105,YYXXXXyX,YXXXXXyxxxxxx,6,581 586 60449 71264 98145 132273,1000,17
ac19_106,YXXyx,YYYYYYYXyyyyyyx,14,590 591 592 593 594 595 596 597 600 603 604 605 610 613,1000,18
ac19_109,YXXyx,YYYYYYYYXyyyyyyyx,10,616 617 618 619 620 621 622 623 624 625,1000,20
ac19_112,YXXyx,YYYXYYXYxyXyXyyXyX,1,634,1000,18
ac19_113,YXyXXyx,YYYxxxyXyyX,6,635 25772 38420 41490 50383 68259,1000,15
ac19_130,YXYXyx,YYYxxYxyXXyyX,2,652 50815,1000,17
ac19_134,YYXXYXyyx,YYYXXXYXyyX,4,656 46796 68445 138605,1000,17
ac19_139,YXXyx,YYYXyyyXXXXXyXX,2,661 135375,1000,18
ac19_162,YXXyx,YYYYXYxyyyyx,15,685 17117 19194 83609 85545 85600 92345 126028 126551 129251 131672 135725 138135 148921 150837,1000,15
ac19_164,YYXXXYx,YYxYXXYXX,13,687 4043 13503 39667 48203 48271 68500 108623 109626 115746 141149 143401 149827,1000,16
ac19_175,YXYXyx,YYYYXyyyXXXYx,2,698 66077,1000,19
ac19_177,YXXXXyXYx,YXXyxYXXXX,10,700 32509 34787 60573 73698 99467 105028 107113 122978 155252,1000,14
ac19_185,YYXXXyx,YXXXXXYxx,20,709 10265 21266 34872 35848 40921 42396 47221 49437 73185 82256 98631 119693 123085 123726 129302 132448 136886 147088 150025,1000,14
ac19_208,YXXyx,YYXYYxyyxxyxxxx,2,732 2618,1000,19
ac19_226,YXYXyx,YYXXyXyxxYxyx,10,753 15459 23200 75966 85430 91524 98723 119404 133935 156512,1000,15
ac19_227,YXYXyx,YYXyXXyyxxx,5,754 4010 33778 55438 63321,1000,17
ac19_230,YYXXyxx,YYYXYXYYx,3,757 9687 50211,1000,16
ac19_239,YXXYxxyx,YYxxxYxxyXXYx,2,766 144672,1000,19
ac19_242,YXYXyx,YYXyXyyxyxxYx,2,769 35507,1000,19
ac19_252,YYXXyx,YYXXYxxxxyXXX,3,779 67776 97185,1000,15
ac19_253,YXXXyxYx,YYXYXYYXX,5,780 30084 83625 94593 118365,1000,17
ac19_290,YXyXXyx,YYYxYxxxyyX,6,818 3637 74236 79458 93736 149305,1000,13
ac19_294,YXXYxYxx,YYYxxYXYx,2,822 73048,1000,15
ac19_314,YXXX,YYYXYYXyyxyXyyx,1,842,1000,19
ac19_348,YXXXYxx,YYXYYXXXyxx,5,878 21715 35751 49135 56939,1000,14
ac19_353,YXYxyx,YYXXXyyXyXyxYxx,3,883 32987 48765,1000,19
ac19_355,YYXyxxyXXyx,YXXYxYXXYxx,2,885 148811,1000,15
ac19_365,YXXyx,YYYYXyxyXyXXXXX,2,895 99139,1000,16
ac19_368,YYXXyx,YYYYXyyyyxx,8,898 17442 26942 76387 101688 112820 118395 151156,1000,15
ac19_375,YYYXXXXyx,YYYXyyyxyx,1,905,1000,16
ac19_384,YXYXyx,YYYXyxyXyXXXYYx,2,914 8983,1000,19
ac19_420,YYXXXyX,YYXyyxxyxx,1,950,1000,15
ac19_425,YXXX,YYYxYYXyyXyXyyx,1,955,1000,19
ac19_434,YXXyx,YYYYYYXyxyyxxyyx,1,964,1000,18
ac19_460,YXyXXXyX,YYxyXYXXXyxyx,1,990,1000,21
ac19_463,YXYXyx,YYYYXyXyyxx,6,994 7294 16885 46099 61177 91046,1000,15
ac19_472,YXYXyx,YYXYxYYxyyXXX,2,1003 71312,1000,17
ac19_480,YXyXXyx,YYXYXyXyxyx,4,1013 13654 113521 146225,1000,15
ac19_525,YXyXXyx,YYYxxxyyXyX,1,1060,1000,17
ac19_527,YXyXXyx,YYxyxYxyxyxYXYXyxYx,1,1062,1000,17
ac19_548,YXyXXXyx,YYxYxxxyxyX,2,1084 33584,1000,17
ac19_554,YXXYx,YYXXXYXyyxYYxx,2,1090 26157,1000,15
ac19_555,YYXXXyX,YXyxYXXXyxx,16,1091 5089 8923 26851 36479 44034 54710 56750 59686 70467 74772 81095 90460 108712 130332 144781,1000,15
ac19_559,YXYXyx,YYXYxYxyXyyXX,2,1095 133418,1000,17
ac19_564,YXYXyx,YYYXyXXyyxYYx,2,1100 78314,1000,17
ac19_569,YXXXYxx,YYYXXyxxYX,7,1105 60446 104535 115795 124295 131480 156513,1000,14
ac19_575,YXYXyx,YYXyyXXXXYxxx,2,1111 134173,1000,17
ac19_580,YXYXyx,YYYYxxYXyxyyXyX,1,1116,1000,19
ac19_716,YXYXyx,YYXXXYxxYxyXXyX,2,1255 88544,1000,17
ac19_718,YXYXyx,YYYYxxYXyXyXX,2,1257 74614,1000,19
ac19_721,YXXYx,YYYXYxyXyyyxYX,4,1260 56348 72810 83099,1000,15
ac19_728,YXYxyx,YYXXXyyXyyx,1,1267,1000,15
ac19_731,YXXyXYx,YYxyxyXXX,9,1270 19623 97388 99559 102249 105454 112835 136361 140694,1000,16
ac19_733,YYXXyxx,YYYxxyXYxyX,1,1272,1000,15
ac19_739,YXYXyx,YYYxxYXyyXX,4,1279 30301 73752 126110,1000,17
ac19_757,YXyXXyx,YYXYxxyyXyX,4,1299 22877 98319 151411,1000,17
ac19_763,YXYXyx,YYYYYXyXXXXYYXX,2,1306 98919,1000,19
ac19_775,YXYXyx,YYYXXXXyyXYxx,1,1319,1000,15
ac19_789,YXYXyx,YYXyyXXYYxx,5,1334 22745 86011 90772 146982,1000,15
ac19_815,YXXyx,YYYXYYxyxyyyxx,3,1362 55564 112747,1000,18
ac19_823,YXYXyx,YYYxyXXXyXXYx,2,1370 113209,1000,17
ac19_941,YXXyx,YYYXyyyXyXXYYX,2,1498 62353,1000,18
ac19_943,YXYXXYx,YYXyxxxxyXyX,1,1500,1000,14
