name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_130,YXYXyx,YYYxxYxyXXyyX,2,652 50815,501,13
ac19_175,YXYXyx,YYYYXyyyXXXYx,2,698 66077,501,17
ac19_202,YXXXyxx,YYXyxYxyxxx,4,726 77026 98803 149949,501,16
ac19_239,YXXYxxyx,YYxxxYxxyXXYx,2,766 144672,501,19
ac19_242,YXYXyx,YYXyXyyxyxxYx,2,769 35507,501,16
ac19_295,YXXXyxx,YYXyxYXyx,40,823 5379 6853 7708 8518 8848 23134 23890 24313 27191 31951 32002 36127 38351 39739 44888 47275 49539 54253 55459 58038 59145 59966 63281 76978 85530 95537 95671 95943 99183 102477 103143 109757 110467 120499 135506 144379 148166 148966 155569,501,16
ac19_353,YXYxyx,YYXXXyyXyXyxYxx,3,883 32987 48765,501,12
ac19_384,YXYXyx,YYYXyxyXyXXXYYx,2,914 8983,501,17
ac19_427,YXXXyxx,YYXXyXYXyx,13,957 7379 15149 15534 30321 87655 91037 99920 104551 110438 114335 121964 156037,501,16
ac19_460,YXyXXXyX,YYxyXYXXXyxyx,1,990,501,18
ac19_472,YXYXyx,YYXYxYYxyyXXX,2,1003 71312,501,16
ac19_527,YXyXXyx,YYxyxYxyxyxYXYXyxYx,1,1062,501,17
ac19_567,YXXXyxx,YYXyxYXXyx,20,1103 6120 18926 22121 22549 29399 40781 52256 56825 72223 73391 74778 79137 89646 90670 102098 106371 116647 126452 138344,501,16
ac19_573,YXXYxxyx,YYXXXyyxxyxYx,1,1109,501,15
ac19_575,YXYXyx,YYXyyXXXXYxxx,2,1111 134173,501,16
ac19_580,YXYXyx,YYYYxxYXyxyyXyX,1,1116,501,17
ac19_586,YYXXYXX,YYYYXYXXyyXyx,1,1123,501,15
ac19_718,YXYXyx,YYYYxxYXyXyXX,2,1257 74614,501,18
ac19_757,YXyXXyx,YYXYxxyyXyX,4,1299 22877 98319 151411,501,16
ac19_762,YXyXYxx,YYXYxxYxxyyXyyX,2,1305 155440,501,16
ac19_763,YXYXyx,YYYYYXyXXXXYYXX,2,1306 98919,501,17
ac19_823,YXYXyx,YYYxyXXXyXXYx,2,1370 113209,501,17
ac19_991,YXYXyx,YYYYYXXXXXXYXYxyX,2,1548 128745,501,17
ac19_1006,YXYXyx,YYYXXXyXXXYYxyx,1,1564,501,18
ac19_1331,YXYXyx,YYYXYYxxxyXyyXX,2,1909 73620,501,19
ac19_1345,YXyXXXyx,YYXyXYXyXYxxyxxyX,1,1924,501,17
ac19_1349,YXYXyx,YYYYYYxyXXYXyXX,1,1928,501,19
ac19_1358,YYXXXyXYX,YYxyXYXyX,5,1937 5134 64845 79727 149207,501,16
ac19_1373,YXXXyxx,YYXXyXYxyX,17,1952 9033 48297 48938 52125 62593 75089 78446 84562 94625 99705 127133 132991 138314 150365 151633 151998,501,16
ac19_1375,YXXyXYx,YYxyXyXYXYX,3,1954 7373 130867,501,16
ac19_1394,YXXXyxYx,YYXYXYxyX,1,1974,501,17
ac19_1520,YXYXyx,YYYYxxyXXXXYXyX,1,2106,501,19
ac19_1533,YXyXXXyx,YYXyxYxxyyxYx,1,2120,501,17
ac19_1592,YXYXyx,YYYXyXXyXXYYxyx,1,2183,501,17
ac19_1601,YYXXXXXXyXX,YXyXXYxxxxxxyXX,1,2193,501,16
ac19_1660,YXyXXXyx,YYYxxxyXyxx,1,2253,501,17
ac19_1668,YXXYx,YYXYXYYXXyyxx,3,2261 31376 86084,501,15
ac19_1757,YXYXyx,YYYXYxYXyyXXX,1,2354,501,16
ac19_1865,YXYXyx,YYYYYXXXXXXYX,3,2471 10434 141740,501,18
ac19_1889,YXYXyx,YYYxyxYYXyXyyXX,2,2495 106307,501,17
ac19_1903,YXYXyx,YYYYXYxyyyXXXYx,2,2511 117588,501,18
ac19_1909,YXyXXyx,YYYxyxyxxYx,3,2517 93240 150550,501,17
ac19_1926,YXyXXXyX,YYXXXyXyxyXXX,1,2535,501,18
ac19_2094,YYXYXyxxx,YYXyxxyyX,7,2710 19597 68362 95064 103440 112815 128436,501,16
ac19_2161,YXYXyx,YYYYYXYxYXXyXXX,2,2784 40284,501,19
ac19_2276,YXXYx,YYXyxYXYXyyx,2,2908 57768,501,15
ac19_2278,YXyxYXXyxxYXXyx,YYXyxYXXyxYXyxYXyX,1,2911,501,19
ac19_2285,YXYXyx,YYYYXXXXXYXYx,2,2919 129269,501,17
ac19_2327,YXYXyx,YYYxYxyxxyXXXyX,2,2962 58018,501,17
ac19_2346,YXXYx,YYYXXyxYYXYX,3,2981 32918 123820,501,15
ac19_2406,YXyXXXyx,YYxYXyxyxYxyx,1,3049,501,18
ac19_2423,YXXXyxx,YYXyxYxxyx,17,3066 26734 42314 53808 56225 58072 58421 101614 107083 111100 119077 119893 130646 138921 139319 146102 156636,501,16
ac19_2425,YXXXyXYx,YYXyXXYXX,1,3068,501,16
ac19_2482,YXyXXyx,YYYXyyyxx,2,3127 137713,501,16
ac19_2499,YXYXyx,YYxYxxYXyxyXXyX,1,3146,501,16
ac19_2518,YXYXyx,YYYYYYXyXyXXX,1,3165,501,19
ac19_2574,YXYXyx,YYYXyxyXyXXYYYx,2,3226 14518,501,17
ac19_2668,YXXyxYXXyxx,YYXXyxYXyxYxyx,1,3327,501,17
ac19_2669,YXXXyxx,YYXyXXXYxyX,7,3328 18716 69093 102083 110217 144951 148323,501,16
ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,1,3360,501,17
ac19_2708,YXYXyx,YYXyyXyyxYxxx,2,3372 9450,501,18
ac19_2757,YXYXyx,YYYXyXXXXYXYx,2,3425 142004,501,17
ac19_2802,YXyXXyx,YYYxyxyXyXX,2,3474 3525,501,17
ac19_2856,YXXXyxx,YYXyXYxxxxyx,3,3536 61996 145340,501,16
ac19_2887,YXYXyx,YYYYYYXyXXX,4,3570 120739 140793 144640,501,15
ac19_2962,YXYXXYxyX,YYYXyXYxyxYXXyyx,1,3664,501,18
ac19_2972,YXYXyx,YYYXyxyyXyXXYYx,2,3678 119594,501,16
ac19_2977,YXYXyx,YYXyxyXXyXXYYxx,2,3683 154530,501,17
ac19_3076,YXyXXyx,YYXXXXyXyyxyX,2,3796 5653,501,18
ac19_3135,YXYXyx,YYXYxyyXXXyyxxx,2,3861 58327,501,17
ac19_3162,YXYXyx,YYYXXyyyXyxxx,2,3890 27372,501,17
ac19_3170,YXXXyxx,YYXyxYxyX,31,3900 8442 9912 21724 25881 35556 41762 47018 48764 55428 59448 63220 70981 74976 75690 78504 80037 85473 89048 89075 91536 101560 107647 118127 121192 121370 122110 124479 132236 139563 139721,501,16
ac19_3272,YXyXXyX,YYXYxyxxyxxYxxx,1,4020,501,15
ac19_3275,YXyXXXyx,YYxyxxyXYXyXX,1,4023,501,17
ac19_3303,YXXyxYx,YYYYYXYxyX,2,4054 99453,501,17
ac19_3381,YXYXyx,YYXyXXXXXYxYxyx,2,4143 103432,501,17
ac19_3436,YXYXyx,YYXXXyXyxxYxx,2,4213 119004,501,16
ac19_3444,YXYXyx,YYYYxxyXXXyXX,2,4224 28224,501,19
ac19_3514,YXYXyx,YYXyyXXyyxxYx,2,4300 147606,501,17
ac19_3532,YXyXYxx,YYXYXyxYXyxYXYx,1,4319,501,16
ac19_3697,YXXXyxx,YYXyXYXXyXXX,1,4508,501,16
ac19_3741,YXYXyx,YYYYYXXXXXXYxyX,2,4558 25952,501,17
ac19_3807,YXyXXyx,YYYXyxxyxx,4,4629 102028 126014 154318,501,16
ac19_3820,YXXXyxx,YYXyXYxyxYXXyx,4,4643 43409 94866 103456,501,20
ac19_3907,YXYXyx,YYYxYXyXXyXYX,1,4740,501,16
ac19_3965,YXYXyx,YYYYxyxYYXyXXyX,1,4809,501,17
ac19_4034,YXYXyx,YYYxyXyXXYXYx,2,4886 10260,501,16
ac19_4039,YXyXXXyx,YYXyXYXyXYxyXyxyx,1,4891,501,18
ac19_4099,YXYXyx,YYXYxyyXXyyxYxx,2,4960 16764,501,16
ac19_4114,YXXXyxx,YYXyyxYXyyxx,1,4977,501,16
ac19_4130,YXYXyx,YYYYYYxyXXXXX,2,4996 150480,501,18
ac19_4238,YXYxyx,YYYXXyxxxyyXX,1,5120,501,18
ac19_4277,YXYXyx,YYYXyXyXyxxxx,2,5168 97665,501,18
ac19_4280,YXYXyx,YYYxxYXyxyXyyXX,1,5171,501,17
ac19_4397,YXXXyxx,YYXyXYXXyxxx,1,5314,501,16
ac19_4415,YXyXXyx,YYXXXXyyXyxyx,2,5333 129306,501,17
ac19_4453,YXYXyx,YYXXyXXXXYYxx,2,5375 48066,501,18
ac19_4496,YXYxxYXyx,YYxxYYxxYX,7,5426 22970 29552 59300 70728 73409 151009,501,16
ac19_4613,YXYXyx,YYXYxxxyXyXXXYx,1,5554,501,17
ac19_4616,YXXXyxx,YYXyXYxyX,28,5557 8015 16642 17999 19150 20594 27853 35000 47623 50266 56229 62913 70592 79000 82350 83623 90281 98088 121730 122984 125356 127844 130798 136977 149774 149872 151092 156271,501,16
ac19_4627,YXYXyx,YYYYxYXyyXXXX,1,5570,501,18
ac19_4632,YXYXyx,YYXYYxYxyXXXX,1,5575,501,17
ac19_4671,YXyXXyX,YYXXyxxyxYXyx,1,5619,501,15
ac19_4683,YYXXXyxYX,YYXXYYXXyX,4,5635 10584 54979 111512,501,16
ac19_4704,YXYXyx,YYYYYxyXXXyXX,2,5657 131594,501,19
ac19_4756,YXyXXXyx,YYYXyxYxyXXyxyX,1,5719,501,17
ac19_4764,YXYXyx,YYXyyXyyxxYxxYX,2,5727 52793,501,17
ac19_4782,YXyXXyx,YYYXyyxxxx,2,5747 73949,501,17
ac19_4915,YXYXyx,YYXXXyyxyxYxx,2,5913 88135,501,16
ac19_4974,YYXXYYxyX,YYXXYYXXYx,2,5978 104629,501,15
ac19_5031,YXXYx,YYXYxxxYYXXyyX,1,6042,501,15
ac19_5036,YXYXyx,YYXXyXyyxyxxx,2,6047 32216,501,17
ac19_5130,YXYXyx,YYXyXXyyxxxYxYX,1,6161,501,18
ac19_5196,YXYxxyXyx,YYXXyyxYXXyXyx,1,6243,501,18
ac19_5230,YXXyXyx,YYxxYYxxyx,2,6286 107895,501,15
ac19_5248,YXYXyx,YYYYxYxyXXXyX,2,6304 54978,501,17
ac19_5262,YXXYx,YYYxyxyyXYXyyx,1,6322,501,18
ac19_5268,YXXXyxx,YYXXyXYxxyX,10,6331 62986 68882 102997 105126 106144 123656 132767 142401 147072,501,16
ac19_5303,YXYXyx,YYYYXyxyXXXXYYx,2,6371 24930,501,19
ac19_5327,YXYXyx,YYYYxyxYXyXyyXX,2,6398 105754,501,18
