name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19x_0,YYXyx,Yx,1,,4,2
ac19x_1,YYXyx,YX,1,,4,2
ac19x_2,YYXyx,YYx,1,,5,2
ac19x_3,YYX,YYXyx,1,,5,2
ac19x_4,YYYx,YYXyx,1,,6,2
ac19x_5,YYYX,YYXyx,1,,6,2
ac19x_6,YYXyx,YXYxx,1,,8,2
ac19x_8,YYYYx,YYXyx,1,,7,2
ac19x_9,YYXyx,YXyxx,1,,6,2
ac19x_10,YYXyx,YXXYx,1,,8,2
ac19x_11,YYYYX,YYXyx,1,,7,2
ac19x_12,YYXYxx,YYXyx,1,,7,2
ac19x_13,YYXyx,YXYxYx,1,,9,2
ac19x_14,YYXyx,YXYxyx,1,,9,2
ac19x_15,YYXyx,YXyXyx,1,,6,2
ac19x_16,YYXyx,YXYXyx,1,,6,2
ac19x_17,YYXXyx,YYXyx,1,,5,2
ac19x_18,YYXyx,YYxxYX,1,,11,2
ac19x_19,YYXyx,YYxxyX,1,,9,2
ac19x_20,YYYYYx,YYXyx,1,,8,2
ac19x_21,YYXyx,YXyxYx,1,,7,2
ac19x_22,YYXyx,YXyXYx,1,,9,2
ac19x_23,YYXyx,YYXyxx,1,,5,2
ac19x_24,YYXXYx,YYXyx,1,,7,2
ac19x_25,YYXyx,YYxyXX,1,,9,2
ac19x_26,YYXyx,YYxYXX,1,,11,2
ac19x_27,YYXyx,YXYxyX,1,,7,2
ac19x_28,YYXyx,YXYXYx,1,,9,2
ac19x_29,YYYYYX,YYXyx,1,,8,2
ac19x_30,YYXyx,YXXYxxx,1,,12,2
ac19x_31,YYXyx,YXXXyxx,1,,10,2
ac19x_32,YYYXYxx,YYXyx,1,,10,2
ac19x_33,YYXYxYx,YYXyx,1,,8,2
ac19x_34,YYXYxyx,YYXyx,1,,8,2
ac19x_35,YYXyx,YYxYXYx,1,,10,2
ac19x_36,YYXyx,YYXyxyX,1,,10,2
ac19x_37,YYXyx,YYxyXYx,1,,7,2
ac19x_38,YYXyxYX,YYXyx,1,,7,2
ac19x_39,YYXyXyx,YYXyx,1,,6,2
ac19x_40,YYXYXyx,YYXyx,1,,6,2
ac19x_41,YYYXXyx,YYXyx,1,,6,2
ac19x_42,YYXYYxx,YYXyx,1,,8,2
ac19x_43,YYXyx,YYxYxYX,1,,12,2
ac19x_44,YYXyx,YYxyxYX,1,,12,2
ac19x_45,YYXyx,YYxYxyX,1,,10,2
ac19x_46,YYXyx,YYxyxyX,1,,10,2
ac19x_47,YYXXyyx,YYXyx,1,,6,2
ac19x_48,YYYxxYX,YYXyx,1,,14,2
ac19x_49,YYYxxyX,YYXyx,1,,12,2
ac19x_50,YYYYYYx,YYXyx,1,,9,2
ac19x_51,YYXyx,YYxYXyx,1,,8,2
ac19x_52,YYXyx,YYxyXyx,1,,10,2
ac19x_53,YYXyxYx,YYXyx,1,,6,2
ac19x_54,YYXyXYx,YYXyx,1,,8,2
ac19x_55,YYXyx,YYxyXyX,1,,10,2
ac19x_56,YYXyx,YYxYXyX,1,,12,2
ac19x_57,YYXyx,YXXyxxx,1,,10,2
